SED_NAME16	Sex	persons
Albury	F	43275
Albury	M	41715
Auburn	F	56069
Auburn	M	61755
Ballina	F	42816
Ballina	M	39585
Balmain	F	43054
Balmain	M	40216
Bankstown	F	47384
Bankstown	M	47284
Barwon	F	37083
Barwon	M	36866
Bathurst	F	39921
Bathurst	M	40564
Baulkham Hills	F	44944
Baulkham Hills	M	43671
Bega	F	39011
Bega	M	37522
Blacktown	F	45804
Blacktown	M	46455
Blue Mountains	F	37305
Blue Mountains	M	34967
Cabramatta	F	42874
Cabramatta	M	41549
Camden	F	66578
Camden	M	64679
Campbelltown	F	42794
Campbelltown	M	41085
Canterbury	F	46931
Canterbury	M	47136
Castle Hill	F	52724
Castle Hill	M	51175
Cessnock	F	43938
Cessnock	M	43812
Charlestown	F	39025
Charlestown	M	36967
Clarence	F	38996
Clarence	M	38691
Coffs Harbour	F	40746
Coffs Harbour	M	38010
Coogee	F	43308
Coogee	M	39337
Cootamundra	F	36124
Cootamundra	M	36314
Cronulla	F	39843
Cronulla	M	38544
Davidson	F	41685
Davidson	M	39384
Drummoyne	F	42735
Drummoyne	M	39098
Dubbo	F	41535
Dubbo	M	40985
East Hills	F	42156
East Hills	M	40860
Epping	F	45608
Epping	M	42836
Fairfield	F	47166
Fairfield	M	46236
Gosford	F	40427
Gosford	M	38109
Goulburn	F	41070
Goulburn	M	40699
Granville	F	50732
Granville	M	53334
Hawkesbury	F	39019
Hawkesbury	M	39002
Heathcote	F	39617
Heathcote	M	38080
Heffron	F	57176
Heffron	M	60189
Holsworthy	F	45434
Holsworthy	M	44865
Hornsby	F	42260
Hornsby	M	41351
Keira	F	42141
Keira	M	40139
Kiama	F	39973
Kiama	M	39088
Kogarah	F	47129
Kogarah	M	46596
Ku-ring-gai	F	45021
Ku-ring-gai	M	41803
Lake Macquarie	F	40725
Lake Macquarie	M	38981
Lakemba	F	46773
Lakemba	M	49236
Lane Cove	F	45799
Lane Cove	M	43397
Lismore	F	39095
Lismore	M	37661
Liverpool	F	48960
Liverpool	M	48025
Londonderry	F	60690
Londonderry	M	59862
Macquarie Fields	F	56994
Macquarie Fields	M	55415
Maitland	F	46310
Maitland	M	43917
Manly	F	42487
Manly	M	40714
Maroubra	F	44349
Maroubra	M	43223
Miranda	F	41114
Miranda	M	38933
