SED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Albury	0	F	2786
Albury	0	M	2701
Albury	1	F	37890
Albury	1	M	36119
Auburn	0	F	40452
Auburn	0	M	42808
Auburn	1	F	11366
Auburn	1	M	13085
Ballina	0	F	3110
Ballina	0	M	2554
Ballina	1	F	36515
Ballina	1	M	34029
Balmain	0	F	9577
Balmain	0	M	7841
Balmain	1	F	31399
Balmain	1	M	30206
Bankstown	0	F	31477
Bankstown	0	M	30345
Bankstown	1	F	11887
Bankstown	1	M	12527
Barwon	0	F	1183
Barwon	0	M	1109
Barwon	1	F	31256
Barwon	1	M	31060
Bathurst	0	F	1912
Bathurst	0	M	1830
Bathurst	1	F	35593
Bathurst	1	M	34920
Baulkham Hills	0	F	20277
Baulkham Hills	0	M	18817
Baulkham Hills	1	F	23486
Baulkham Hills	1	M	23723
Bega	0	F	1548
Bega	0	M	1265
Bega	1	F	34757
Bega	1	M	33514
Blacktown	0	F	23000
Blacktown	0	M	22670
Blacktown	1	F	19852
Blacktown	1	M	20700
Blue Mountains	0	F	2614
Blue Mountains	0	M	2129
Blue Mountains	1	F	33361
Blue Mountains	1	M	31614
Cabramatta	0	F	31444
Cabramatta	0	M	29054
Cabramatta	1	F	8699
Cabramatta	1	M	9784
Camden	0	F	15915
Camden	0	M	14808
Camden	1	F	48151
Camden	1	M	47309
Campbelltown	0	F	11712
Campbelltown	0	M	10886
Campbelltown	1	F	28156
Campbelltown	1	M	27412
Canterbury	0	F	27882
Canterbury	0	M	26971
Canterbury	1	F	15999
Canterbury	1	M	17098
Castle Hill	0	F	20339
Castle Hill	0	M	18624
Castle Hill	1	F	31062
Castle Hill	1	M	31150
Cessnock	0	F	1909
Cessnock	0	M	1675
Cessnock	1	F	40077
Cessnock	1	M	38645
Charlestown	0	F	2570
Charlestown	0	M	2213
Charlestown	1	F	35092
Charlestown	1	M	33428
Clarence	0	F	1180
Clarence	0	M	877
Clarence	1	F	34872
Clarence	1	M	33891
Coffs Harbour	0	F	3792
Coffs Harbour	0	M	3439
Coffs Harbour	1	F	34550
Coffs Harbour	1	M	32240
Coogee	0	F	8808
Coogee	0	M	7091
Coogee	1	F	32102
Coogee	1	M	30032
Cootamundra	0	F	1307
Cootamundra	0	M	1373
Cootamundra	1	F	32279
Cootamundra	1	M	31427
Cronulla	0	F	4126
Cronulla	0	M	3397
Cronulla	1	F	34397
Cronulla	1	M	33865
Davidson	0	F	13133
Davidson	0	M	11157
Davidson	1	F	27477
Davidson	1	M	27328
Drummoyne	0	F	16838
Drummoyne	0	M	14084
Drummoyne	1	F	24105
Drummoyne	1	M	23442
Dubbo	0	F	2528
Dubbo	0	M	2475
Dubbo	1	F	35489
Dubbo	1	M	34167
East Hills	0	F	19070
East Hills	0	M	17808
East Hills	1	F	20917
East Hills	1	M	20929
Epping	0	F	24002
Epping	0	M	21761
Epping	1	F	20085
Epping	1	M	19788
Fairfield	0	F	34062
Fairfield	0	M	32156
Fairfield	1	F	9299
Fairfield	1	M	10463
Gosford	0	F	4480
Gosford	0	M	3912
Gosford	1	F	33783
Gosford	1	M	32071
Goulburn	0	F	2170
