SED_NAME21	Age	persons
Albury	0-4	5093
Albury	5-14	10587
Albury	15-19	5030
Albury	20-24	4622
Albury	25-34	9893
Albury	35-44	9814
Albury	45-54	10195
Albury	55-64	11228
Albury	65-74	10365
Albury	75-84	5955
Albury	85+	2205
Auburn	0-4	7605
Auburn	5-14	12512
Auburn	15-19	5369
Auburn	20-24	10542
Auburn	25-34	27618
Auburn	35-44	18293
Auburn	45-54	12551
Auburn	55-64	11404
Auburn	65-74	7278
Auburn	75-84	3370
Auburn	85+	1282
Ballina	0-4	3939
Ballina	5-14	9415
Ballina	15-19	4119
Ballina	20-24	3366
Ballina	25-34	9135
Ballina	35-44	10398
Ballina	45-54	11100
Ballina	55-64	11705
Ballina	65-74	11211
Ballina	75-84	5601
Ballina	85+	2422
Balmain	0-4	4426
Balmain	5-14	8013
Balmain	15-19	3276
Balmain	20-24	5549
Balmain	25-34	15425
Balmain	35-44	14321
Balmain	45-54	11947
Balmain	55-64	9054
Balmain	65-74	6946
Balmain	75-84	3237
Balmain	85+	1075
Bankstown	0-4	7157
Bankstown	5-14	13306
Bankstown	15-19	6200
Bankstown	20-24	6784
Bankstown	25-34	14649
Bankstown	35-44	12398
Bankstown	45-54	10993
Bankstown	55-64	10347
Bankstown	65-74	7154
Bankstown	75-84	3764
Bankstown	85+	1919
Barwon	0-4	4499
Barwon	5-14	9510
Barwon	15-19	4069
Barwon	20-24	3586
Barwon	25-34	8820
Barwon	35-44	7759
Barwon	45-54	8845
Barwon	55-64	10715
Barwon	65-74	8899
Barwon	75-84	5201
Barwon	85+	2038
Bathurst	0-4	4277
Bathurst	5-14	10236
Bathurst	15-19	4888
Bathurst	20-24	4557
Bathurst	25-34	9491
Bathurst	35-44	8907
Bathurst	45-54	10149
Bathurst	55-64	10944
Bathurst	65-74	9654
Bathurst	75-84	5444
Bathurst	85+	1941
Baulkham Hills	0-4	4722
Baulkham Hills	5-14	13039
Baulkham Hills	15-19	5369
Baulkham Hills	20-24	5151
Baulkham Hills	25-34	8587
Baulkham Hills	35-44	13963
Baulkham Hills	45-54	12002
Baulkham Hills	55-64	10418
Baulkham Hills	65-74	8888
Baulkham Hills	75-84	4919
Baulkham Hills	85+	1554
Bega	0-4	3153
Bega	5-14	7890
Bega	15-19	3656
Bega	20-24	2624
Bega	25-34	6201
Bega	35-44	6895
Bega	45-54	9107
Bega	55-64	13267
Bega	65-74	14047
Bega	75-84	7104
Bega	85+	2582
Blacktown	0-4	6304
Blacktown	5-14	11726
Blacktown	15-19	5084
Blacktown	20-24	6843
Blacktown	25-34	15398
Blacktown	35-44	14467
Blacktown	45-54	10650
Blacktown	55-64	9587
Blacktown	65-74	7253
Blacktown	75-84	3547
Blacktown	85+	1399
Blue Mountains	0-4	3604
Blue Mountains	5-14	8969
Blue Mountains	15-19	4243
Blue Mountains	20-24	3107
Blue Mountains	25-34	6700
Blue Mountains	35-44	8908
Blue Mountains	45-54	10062
Blue Mountains	55-64	10340
Blue Mountains	65-74	9808
Blue Mountains	75-84	4876
Blue Mountains	85+	1644
Cabramatta	0-4	4202
Cabramatta	5-14	10412
Cabramatta	15-19	5905
Cabramatta	20-24	6201
Cabramatta	25-34	11101
Cabramatta	35-44	10023
Cabramatta	45-54	11201
Cabramatta	55-64	11673
Cabramatta	65-74	8272
Cabramatta	75-84	3696
Cabramatta	85+	1741
Camden	0-4	12042
Camden	5-14	20630
Camden	15-19	8301
Camden	20-24	7765
Camden	25-34	21176
Camden	35-44	20491
Camden	45-54	15774
Camden	55-64	11547
Camden	65-74	8184
Camden	75-84	3922
Camden	85+	1443
Campbelltown	0-4	5916
Campbelltown	5-14	11804
Campbelltown	15-19	5396
Campbelltown	20-24	5727
Campbelltown	25-34	12224
Campbelltown	35-44	11637
Campbelltown	45-54	9591
Campbelltown	55-64	9305
Campbelltown	65-74	7647
Campbelltown	75-84	3668
Campbelltown	85+	962
Canterbury	0-4	5132
Canterbury	5-14	9870
Canterbury	15-19	4773
Canterbury	20-24	6401
Canterbury	25-34	15074
Canterbury	35-44	13657
Canterbury	45-54	12879
Canterbury	55-64	11028
Canterbury	65-74	7751
Canterbury	75-84	5144
Canterbury	85+	2355
Castle Hill	0-4	6389
Castle Hill	5-14	16518
Castle Hill	15-19	7546
Castle Hill	20-24	6324
Castle Hill	25-34	10839
Castle Hill	35-44	17090
Castle Hill	45-54	14958
Castle Hill	55-64	10741
Castle Hill	65-74	8082
Castle Hill	75-84	4120
Castle Hill	85+	1305
Cessnock	0-4	5948
Cessnock	5-14	12046
Cessnock	15-19	5244
Cessnock	20-24	5248
Cessnock	25-34	12545
Cessnock	35-44	11366
Cessnock	45-54	10759
Cessnock	55-64	10164
Cessnock	65-74	8727
Cessnock	75-84	4151
Cessnock	85+	1561
Charlestown	0-4	4325
Charlestown	5-14	10147
Charlestown	15-19	4512
Charlestown	20-24	4311
Charlestown	25-34	9115
Charlestown	35-44	9923
Charlestown	45-54	9887
Charlestown	55-64	8975
Charlestown	65-74	7483
Charlestown	75-84	5096
Charlestown	85+	2215
Clarence	0-4	3764
Clarence	5-14	9209
