SED_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Albury					591
Albury	0	0	0	1	2619
Albury	0	0	1	0	676
Albury	0	0	1	1	352
Albury	0	1	0	0	4293
Albury	0	1	0	1	550
Albury	0	1	1	0	994
Albury	0	1	1	1	237
Albury	1	0	0	1	4625
Albury	1	0	1	0	1878
Albury	1	0	1	1	1482
Albury	1	1	0	0	18707
Albury	1	1	0	1	1198
Albury	1	1	1	0	4022
Albury	1	1	1	1	944
Auburn					1750
Auburn	0	0	0	1	4238
Auburn	0	0	1	0	1053
Auburn	0	0	1	1	632
Auburn	0	1	0	0	3298
Auburn	0	1	0	1	447
Auburn	0	1	1	0	900
Auburn	0	1	1	1	416
Auburn	1	0	0	1	8525
Auburn	1	0	1	0	3468
Auburn	1	0	1	1	3336
Auburn	1	1	0	0	28624
Auburn	1	1	0	1	1372
Auburn	1	1	1	0	6117
Auburn	1	1	1	1	2079
Ballina					535
Ballina	0	0	0	1	2919
Ballina	0	0	1	0	791
Ballina	0	0	1	1	305
Ballina	0	1	0	0	3621
Ballina	0	1	0	1	405
Ballina	0	1	1	0	888
Ballina	0	1	1	1	157
Ballina	1	0	0	1	4773
Ballina	1	0	1	0	1931
Ballina	1	0	1	1	1101
Ballina	1	1	0	0	17032
Ballina	1	1	0	1	1040
Ballina	1	1	1	0	3245
Ballina	1	1	1	1	518
Balmain					835
Balmain	0	0	0	1	2119
Balmain	0	0	1	0	861
Balmain	0	0	1	1	284
Balmain	0	1	0	0	2261
Balmain	0	1	0	1	126
Balmain	0	1	1	0	553
Balmain	0	1	1	1	56
Balmain	1	0	0	1	2595
Balmain	1	0	1	0	3190
Balmain	1	0	1	1	949
Balmain	1	1	0	0	20593
Balmain	1	1	0	1	217
Balmain	1	1	1	0	2869
Balmain	1	1	1	1	180
Bankstown					1116
Bankstown	0	0	0	1	4756
Bankstown	0	0	1	0	1079
Bankstown	0	0	1	1	1069
Bankstown	0	1	0	0	4385
Bankstown	0	1	0	1	731
Bankstown	0	1	1	0	1464
Bankstown	0	1	1	1	566
Bankstown	1	0	0	1	8323
Bankstown	1	0	1	0	3161
Bankstown	1	0	1	1	3422
Bankstown	1	1	0	0	23832
Bankstown	1	1	0	1	1867
Bankstown	1	1	1	0	6483
Bankstown	1	1	1	1	2306
Barwon					725
Barwon	0	0	0	1	2730
Barwon	0	0	1	0	427
Barwon	0	0	1	1	231
Barwon	0	1	0	0	4541
Barwon	0	1	0	1	667
Barwon	0	1	1	0	700
Barwon	0	1	1	1	266
Barwon	1	0	0	1	3764
Barwon	1	0	1	0	1167
Barwon	1	0	1	1	785
Barwon	1	1	0	0	14029
Barwon	1	1	0	1	1066
Barwon	1	1	1	0	2815
Barwon	1	1	1	1	591
Bathurst					624
Bathurst	0	0	0	1	2911
Bathurst	0	0	1	0	590
Bathurst	0	0	1	1	365
Bathurst	0	1	0	0	4191
Bathurst	0	1	0	1	618
Bathurst	0	1	1	0	956
Bathurst	0	1	1	1	274
Bathurst	1	0	0	1	4856
Bathurst	1	0	1	0	1878
Bathurst	1	0	1	1	1435
Bathurst	1	1	0	0	16668
Bathurst	1	1	0	1	1368
Bathurst	1	1	1	0	3638
Bathurst	1	1	1	1	982
Baulkham Hills					434
Baulkham Hills	0	0	0	1	2408
Baulkham Hills	0	0	1	0	826
Baulkham Hills	0	0	1	1	560
Baulkham Hills	0	1	0	0	1864
Baulkham Hills	0	1	0	1	173
Baulkham Hills	0	1	1	0	544
Baulkham Hills	0	1	1	1	129
Baulkham Hills	1	0	0	1	9122
Baulkham Hills	1	0	1	0	5775
Baulkham Hills	1	0	1	1	4020
Baulkham Hills	1	1	0	0	29021
Baulkham Hills	1	1	0	1	853
Baulkham Hills	1	1	1	0	6734
Baulkham Hills	1	1	1	1	857
Bega					441
Bega	0	0	0	1	2622
Bega	0	0	1	0	476
Bega	0	0	1	1	246
Bega	0	1	0	0	3270
Bega	0	1	0	1	441
Bega	0	1	1	0	779
Bega	0	1	1	1	238
Bega	1	0	0	1	4230
Bega	1	0	1	0	1250
Bega	1	0	1	1	937
Bega	1	1	0	0	12525
Bega	1	1	0	1	1251
Bega	1	1	1	0	2868
Bega	1	1	1	1	545
Blacktown					1208
Blacktown	0	0	0	1	4432
Blacktown	0	0	1	0	741
Blacktown	0	0	1	1	705
Blacktown	0	1	0	0	3663
Blacktown	0	1	0	1	685
Blacktown	0	1	1	0	1084
Blacktown	0	1	1	1	367
Blacktown	1	0	0	1	8100
Blacktown	1	0	1	0	3289
Blacktown	1	0	1	1	2909
Blacktown	1	1	0	0	25519
Blacktown	1	1	0	1	1405
Blacktown	1	1	1	0	5154
Blacktown	1	1	1	1	1377
Blue Mountains					412
Blue Mountains	0	0	0	1	2531
Blue Mountains	0	0	1	0	839
Blue Mountains	0	0	1	1	288
Blue Mountains	0	1	0	0	2822
Blue Mountains	0	1	0	1	298
Blue Mountains	0	1	1	0	702
Blue Mountains	0	1	1	1	131
Blue Mountains	1	0	0	1	4955
Blue Mountains	1	0	1	0	2639
Blue Mountains	1	0	1	1	1796
Blue Mountains	1	1	0	0	16848
Blue Mountains	1	1	0	1	991
Blue Mountains	1	1	1	0	4177
Blue Mountains	1	1	1	1	823
Cabramatta					1193
Cabramatta	0	0	0	1	6018
Cabramatta	0	0	1	0	1402
Cabramatta	0	0	1	1	1100
Cabramatta	0	1	0	0	4207
Cabramatta	0	1	0	1	703
Cabramatta	0	1	1	0	1604
Cabramatta	0	1	1	1	562
Cabramatta	1	0	0	1	10873
Cabramatta	1	0	1	0	3219
Cabramatta	1	0	1	1	4281
Cabramatta	1	1	0	0	16282
Cabramatta	1	1	0	1	1577
Cabramatta	1	1	1	0	5227
Cabramatta	1	1	1	1	1861
Camden					741
Camden	0	0	0	1	3875
Camden	0	0	1	0	901
Camden	0	0	1	1	920
Camden	0	1	0	0	5871
Camden	0	1	0	1	963
Camden	0	1	1	0	1396
Camden	0	1	1	1	490
Camden	1	0	0	1	10688
Camden	1	0	1	0	3901
Camden	1	0	1	1	4531
Camden	1	1	0	0	46715
Camden	1	1	0	1	3213
Camden	1	1	1	0	8853
Camden	1	1	1	1	2430
Campbelltown					862
Campbelltown	0	0	0	1	4225
Campbelltown	0	0	1	0	835
Campbelltown	0	0	1	1	687
Campbelltown	0	1	0	0	5576
Campbelltown	0	1	0	1	1028
Campbelltown	0	1	1	0	1317
Campbelltown	0	1	1	1	617
Campbelltown	1	0	0	1	7140
Campbelltown	1	0	1	0	2084
Campbelltown	1	0	1	1	2333
Campbelltown	1	1	0	0	19676
Campbelltown	1	1	0	1	1972
Campbelltown	1	1	1	0	4367
Campbelltown	1	1	1	1	1947
Canterbury					1343
Canterbury	0	0	0	1	4785
Canterbury	0	0	1	0	1191
Canterbury	0	0	1	1	692
Canterbury	0	1	0	0	3037
Canterbury	0	1	0	1	347
Canterbury	0	1	1	0	710
Canterbury	0	1	1	1	295
Canterbury	1	0	0	1	9065
Canterbury	1	0	1	0	3692
Canterbury	1	0	1	1	2940
Canterbury	1	1	0	0	21758
Canterbury	1	1	0	1	902
Canterbury	1	1	1	0	4871
Canterbury	1	1	1	1	980
Castle Hill					450
Castle Hill	0	0	0	1	2542
Castle Hill	0	0	1	0	955
Castle Hill	0	0	1	1	669
Castle Hill	0	1	0	0	2470
Castle Hill	0	1	0	1	223
Castle Hill	0	1	1	0	790
Castle Hill	0	1	1	1	159
Castle Hill	1	0	0	1	9901
Castle Hill	1	0	1	0	6697
Castle Hill	1	0	1	1	5323
Castle Hill	1	1	0	0	35967
Castle Hill	1	1	0	1	1425
Castle Hill	1	1	1	0	9246
Castle Hill	1	1	1	1	1465
Cessnock					669
Cessnock	0	0	0	1	3700
Cessnock	0	0	1	0	620
Cessnock	0	0	1	1	477
Cessnock	0	1	0	0	5843
Cessnock	0	1	0	1	924
Cessnock	0	1	1	0	1183
Cessnock	0	1	1	1	449
Cessnock	1	0	0	1	6583
Cessnock	1	0	1	0	1728
Cessnock	1	0	1	1	1879
Cessnock	1	1	0	0	21426
Cessnock	1	1	0	1	2076
Cessnock	1	1	1	0	3782
Cessnock	1	1	1	1	1052
Charlestown					627
Charlestown	0	0	0	1	3079
Charlestown	0	0	1	0	780
Charlestown	0	0	1	1	459
Charlestown	0	1	0	0	3374
Charlestown	0	1	0	1	494
Charlestown	0	1	1	0	793
Charlestown	0	1	1	1	149
Charlestown	1	0	0	1	5134
Charlestown	1	0	1	0	2731
Charlestown	1	0	1	1	1934
Charlestown	1	1	0	0	19494
Charlestown	1	1	0	1	1010
Charlestown	1	1	1	0	4051
Charlestown	1	1	1	1	722
Clarence					710
Clarence	0	0	0	1	3045
Clarence	0	0	1	0	495
Clarence	0	0	1	1	359
Clarence	0	1	0	0	4464
Clarence	0	1	0	1	676
Clarence	0	1	1	0	808
Clarence	0	1	1	1	215
Clarence	1	0	0	1	4788
Clarence	1	0	1	0	1325
Clarence	1	0	1	1	995
Clarence	1	1	0	0	13536
Clarence	1	1	0	1	1462
Clarence	1	1	1	0	3010
Clarence	1	1	1	1	729
Coffs Harbour					578
Coffs Harbour	0	0	0	1	3136
Coffs Harbour	0	0	1	0	691
Coffs Harbour	0	0	1	1	348
Coffs Harbour	0	1	0	0	4341
Coffs Harbour	0	1	0	1	594
Coffs Harbour	0	1	1	0	914
Coffs Harbour	0	1	1	1	206
Coffs Harbour	1	0	0	1	4751
Coffs Harbour	1	0	1	0	1781
Coffs Harbour	1	0	1	1	1193
Coffs Harbour	1	1	0	0	16751
Coffs Harbour	1	1	0	1	1245
Coffs Harbour	1	1	1	0	3548
Coffs Harbour	1	1	1	1	716
Coogee					778
Coogee	0	0	0	1	1774
Coogee	0	0	1	0	883
Coogee	0	0	1	1	289
Coogee	0	1	0	0	2176
Coogee	0	1	0	1	69
Coogee	0	1	1	0	551
Coogee	0	1	1	1	52
Coogee	1	0	0	1	3039
Coogee	1	0	1	0	3407
Coogee	1	0	1	1	1298
Coogee	1	1	0	0	20687
Coogee	1	1	0	1	298
Coogee	1	1	1	0	3570
Coogee	1	1	1	1	279
Cootamundra					617
Cootamundra	0	0	0	1	2240
Cootamundra	0	0	1	0	456
Cootamundra	0	0	1	1	257
Cootamundra	0	1	0	0	3645
Cootamundra	0	1	0	1	583
Cootamundra	0	1	1	0	811
Cootamundra	0	1	1	1	186
Cootamundra	1	0	0	1	4048
Cootamundra	1	0	1	0	1346
Cootamundra	1	0	1	1	1002
Cootamundra	1	1	0	0	14331
Cootamundra	1	1	0	1	1274
Cootamundra	1	1	1	0	3341
Cootamundra	1	1	1	1	1105
Cronulla					424
Cronulla	0	0	0	1	2501
Cronulla	0	0	1	0	702
Cronulla	0	0	1	1	451
Cronulla	0	1	0	0	1924
Cronulla	0	1	0	1	141
Cronulla	0	1	1	0	586
Cronulla	0	1	1	1	135
Cronulla	1	0	0	1	6933
Cronulla	1	0	1	0	3628
Cronulla	1	0	1	1	3377
Cronulla	1	1	0	0	21230
Cronulla	1	1	0	1	804
Cronulla	1	1	1	0	4728
Cronulla	1	1	1	1	759
Davidson					385
Davidson	0	0	0	1	1911
Davidson	0	0	1	0	1083
Davidson	0	0	1	1	367
Davidson	0	1	0	0	1806
Davidson	0	1	0	1	133
Davidson	0	1	1	0	772
Davidson	0	1	1	1	102
Davidson	1	0	0	1	6269
Davidson	1	0	1	0	6725
Davidson	1	0	1	1	3749
Davidson	1	1	0	0	25419
Davidson	1	1	0	1	589
Davidson	1	1	1	0	7390
Davidson	1	1	1	1	492
Drummoyne					836
Drummoyne	0	0	0	1	2814
Drummoyne	0	0	1	0	971
Drummoyne	0	0	1	1	377
Drummoyne	0	1	0	0	2060
Drummoyne	0	1	0	1	125
Drummoyne	0	1	1	0	516
Drummoyne	0	1	1	1	101
Drummoyne	1	0	0	1	5779
Drummoyne	1	0	1	0	3706
Drummoyne	1	0	1	1	2196
Drummoyne	1	1	0	0	21704
Drummoyne	1	1	0	1	455
Drummoyne	1	1	1	0	3984
Drummoyne	1	1	1	1	479
Dubbo					688
Dubbo	0	0	0	1	2611
Dubbo	0	0	1	0	470
Dubbo	0	0	1	1	263
Dubbo	0	1	0	0	4949
Dubbo	0	1	0	1	728
Dubbo	0	1	1	0	815
Dubbo	0	1	1	1	204
Dubbo	1	0	0	1	4500
Dubbo	1	0	1	0	1611
Dubbo	1	0	1	1	1119
Dubbo	1	1	0	0	19670
Dubbo	1	1	0	1	1313
Dubbo	1	1	1	0	3829
Dubbo	1	1	1	1	945
East Hills					768
East Hills	0	0	0	1	4047
East Hills	0	0	1	0	836
East Hills	0	0	1	1	801
East Hills	0	1	0	0	3064
East Hills	0	1	0	1	455
East Hills	0	1	1	0	1000
East Hills	0	1	1	1	395
East Hills	1	0	0	1	8738
East Hills	1	0	1	0	3604
East Hills	1	0	1	1	3601
East Hills	1	1	0	0	21740
East Hills	1	1	0	1	1353
East Hills	1	1	1	0	5623
East Hills	1	1	1	1	1516
Epping					530
Epping	0	0	0	1	2136
Epping	0	0	1	0	1100
Epping	0	0	1	1	505
Epping	0	1	0	0	1925
Epping	0	1	0	1	117
Epping	0	1	1	0	637
Epping	0	1	1	1	60
Epping	1	0	0	1	8293
Epping	1	0	1	0	6761
Epping	1	0	1	1	3750
Epping	1	1	0	0	26992
Epping	1	1	0	1	609
Epping	1	1	1	0	7156
Epping	1	1	1	1	542
Fairfield					1241
Fairfield	0	0	0	1	6177
Fairfield	0	0	1	0	1147
Fairfield	0	0	1	1	1220
Fairfield	0	1	0	0	4107
Fairfield	0	1	0	1	780
Fairfield	0	1	1	0	1434
Fairfield	0	1	1	1	632
Fairfield	1	0	0	1	10865
Fairfield	1	0	1	0	3377
Fairfield	1	0	1	1	4061
Fairfield	1	1	0	0	19774
Fairfield	1	1	0	1	2100
Fairfield	1	1	1	0	6772
Fairfield	1	1	1	1	2590
Gosford					706
Gosford	0	0	0	1	3678
Gosford	0	0	1	0	781
Gosford	0	0	1	1	419
Gosford	0	1	0	0	4030
Gosford	0	1	0	1	504
Gosford	0	1	1	0	889
Gosford	0	1	1	1	242
Gosford	1	0	0	1	5319
Gosford	1	0	1	0	1998
Gosford	1	0	1	1	1454
Gosford	1	1	0	0	16671
Gosford	1	1	0	1	938
Gosford	1	1	1	0	3000
Gosford	1	1	1	1	669
Goulburn					491
Goulburn	0	0	0	1	2581
Goulburn	0	0	1	0	569
Goulburn	0	0	1	1	402
Goulburn	0	1	0	0	3170
Goulburn	0	1	0	1	594
Goulburn	0	1	1	0	625
Goulburn	0	1	1	1	192
Goulburn	1	0	0	1	5577
Goulburn	1	0	1	0	2182
Goulburn	1	0	1	1	1559
Goulburn	1	1	0	0	18387
Goulburn	1	1	0	1	1541
Goulburn	1	1	1	0	3805
Goulburn	1	1	1	1	967
Granville					1402
Granville	0	0	0	1	4466
Granville	0	0	1	0	946
Granville	0	0	1	1	782
Granville	0	1	0	0	3470
Granville	0	1	0	1	490
Granville	0	1	1	0	948
Granville	0	1	1	1	443
Granville	1	0	0	1	8245
Granville	1	0	1	0	3017
Granville	1	0	1	1	3238
Granville	1	1	0	0	29822
Granville	1	1	0	1	1516
Granville	1	1	1	0	5943
Granville	1	1	1	1	1909
Hawkesbury					447
