SED_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Albury		1	1	0	4
Albury		1	1	3600	4
Albury		1	1	7200	11
Albury		1	1	9600	11
Albury		1	1	12000	6
Albury		1	1	14400	7
Albury		1	1	16800	10
Albury		1	1	36000	3
Albury	0	1	0	0	19
Albury	0	1	0	1800	5
Albury	0	1	0	3600	18
Albury	0	1	0	5400	10
Albury	0	1	0	7200	42
Albury	0	1	0	9600	51
Albury	0	1	0	12000	67
Albury	0	1	0	14400	68
Albury	0	1	0	16800	47
Albury	0	1	0	19200	39
Albury	0	1	0	21600	14
Albury	0	1	0	24000	23
Albury	0	1	0	28800	6
Albury	0	1	0	31200	11
Albury	0	1	0	36000	8
Albury	0	1	0	48000	5
Albury	0	1	1	0	15
Albury	0	1	1	1800	6
Albury	0	1	1	3600	13
Albury	0	1	1	5400	17
Albury	0	1	1	7200	41
Albury	0	1	1	9600	58
Albury	0	1	1	12000	96
Albury	0	1	1	14400	76
Albury	0	1	1	16800	68
Albury	0	1	1	19200	61
Albury	0	1	1	21600	36
Albury	0	1	1	24000	33
Albury	0	1	1	26400	6
Albury	0	1	1	28800	4
Albury	0	1	1	31200	13
Albury	0	1	1	36000	8
Albury	0	1	1	48000	3
Albury	0	1	1	60000	4
Albury	1	0	0	0	137
Albury	1	0	0	1800	47
Albury	1	0	0	3600	97
Albury	1	0	0	5400	65
Albury	1	0	0	7200	140
Albury	1	0	0	9600	232
Albury	1	0	0	12000	257
Albury	1	0	0	14400	304
Albury	1	0	0	16800	246
Albury	1	0	0	19200	239
Albury	1	0	0	21600	135
Albury	1	0	0	24000	193
Albury	1	0	0	26400	60
Albury	1	0	0	28800	40
Albury	1	0	0	31200	99
Albury	1	0	0	36000	107
Albury	1	0	0	48000	42
Albury	1	0	0	60000	32
Albury	1	1	0	0	50
Albury	1	1	0	1800	20
Albury	1	1	0	3600	30
Albury	1	1	0	5400	22
Albury	1	1	0	7200	52
Albury	1	1	0	9600	76
Albury	1	1	0	12000	116
Albury	1	1	0	14400	164
Albury	1	1	0	16800	127
Albury	1	1	0	19200	116
Albury	1	1	0	21600	77
Albury	1	1	0	24000	119
Albury	1	1	0	26400	19
Albury	1	1	0	28800	16
Albury	1	1	0	31200	57
Albury	1	1	0	36000	56
Albury	1	1	0	48000	27
Albury	1	1	0	60000	17
Albury	1	1	1	0	80
Albury	1	1	1	1800	17
Albury	1	1	1	3600	31
Albury	1	1	1	5400	47
Albury	1	1	1	7200	114
Albury	1	1	1	9600	231
Albury	1	1	1	12000	344
Albury	1	1	1	14400	458
Albury	1	1	1	16800	402
Albury	1	1	1	19200	467
Albury	1	1	1	21600	288
Albury	1	1	1	24000	362
Albury	1	1	1	26400	117
Albury	1	1	1	28800	79
Albury	1	1	1	31200	205
Albury	1	1	1	36000	184
Albury	1	1	1	48000	79
Albury	1	1	1	60000	43
Auburn		1	1	0	10
Auburn		1	1	12000	3
Auburn		1	1	14400	4
Auburn		1	1	16800	5
Auburn		1	1	19200	8
Auburn		1	1	21600	6
Auburn		1	1	24000	23
Auburn		1	1	26400	8
Auburn		1	1	28800	8
Auburn		1	1	31200	6
Auburn		1	1	36000	14
Auburn		1	1	48000	3
Auburn		1	1	60000	4
Auburn	0	1	0	0	43
Auburn	0	1	0	1800	3
Auburn	0	1	0	3600	17
Auburn	0	1	0	5400	13
Auburn	0	1	0	7200	15
Auburn	0	1	0	9600	29
Auburn	0	1	0	12000	33
Auburn	0	1	0	14400	29
Auburn	0	1	0	16800	47
Auburn	0	1	0	19200	35
Auburn	0	1	0	21600	40
Auburn	0	1	0	24000	75
Auburn	0	1	0	26400	36
Auburn	0	1	0	28800	25
Auburn	0	1	0	31200	65
Auburn	0	1	0	36000	72
Auburn	0	1	0	48000	25
Auburn	0	1	0	60000	13
Auburn	0	1	1	0	18
Auburn	0	1	1	1800	3
Auburn	0	1	1	3600	9
Auburn	0	1	1	5400	4
Auburn	0	1	1	7200	9
Auburn	0	1	1	9600	13
Auburn	0	1	1	12000	16
Auburn	0	1	1	14400	23
Auburn	0	1	1	16800	19
Auburn	0	1	1	19200	14
Auburn	0	1	1	21600	20
Auburn	0	1	1	24000	44
Auburn	0	1	1	26400	16
Auburn	0	1	1	28800	26
Auburn	0	1	1	31200	39
Auburn	0	1	1	36000	64
Auburn	0	1	1	48000	21
Auburn	0	1	1	60000	16
Auburn	1	0	0	0	122
Auburn	1	0	0	1800	18
Auburn	1	0	0	3600	24
Auburn	1	0	0	5400	21
Auburn	1	0	0	7200	48
Auburn	1	0	0	9600	54
Auburn	1	0	0	12000	63
Auburn	1	0	0	14400	122
Auburn	1	0	0	16800	113
Auburn	1	0	0	19200	160
Auburn	1	0	0	21600	140
Auburn	1	0	0	24000	313
Auburn	1	0	0	26400	203
Auburn	1	0	0	28800	252
Auburn	1	0	0	31200	286
Auburn	1	0	0	36000	384
Auburn	1	0	0	48000	100
Auburn	1	0	0	60000	103
Auburn	1	1	0	0	109
Auburn	1	1	0	1800	22
Auburn	1	1	0	3600	31
Auburn	1	1	0	5400	24
Auburn	1	1	0	7200	43
Auburn	1	1	0	9600	61
Auburn	1	1	0	12000	67
Auburn	1	1	0	14400	75
Auburn	1	1	0	16800	101
Auburn	1	1	0	19200	76
Auburn	1	1	0	21600	46
Auburn	1	1	0	24000	176
Auburn	1	1	0	26400	66
Auburn	1	1	0	28800	72
Auburn	1	1	0	31200	135
Auburn	1	1	0	36000	224
Auburn	1	1	0	48000	97
Auburn	1	1	0	60000	75
Auburn	1	1	1	0	112
Auburn	1	1	1	1800	8
Auburn	1	1	1	3600	21
Auburn	1	1	1	5400	25
Auburn	1	1	1	7200	39
Auburn	1	1	1	9600	77
Auburn	1	1	1	12000	85
Auburn	1	1	1	14400	107
Auburn	1	1	1	16800	121
Auburn	1	1	1	19200	150
Auburn	1	1	1	21600	195
Auburn	1	1	1	24000	431
Auburn	1	1	1	26400	238
Auburn	1	1	1	28800	274
Auburn	1	1	1	31200	367
Auburn	1	1	1	36000	661
Auburn	1	1	1	48000	259
Auburn	1	1	1	60000	214
Ballina		1	1	0	9
Ballina		1	1	9600	5
Ballina		1	1	14400	6
Ballina		1	1	16800	6
Ballina		1	1	24000	4
Ballina		1	1	31200	11
Ballina		1	1	36000	3
Ballina	0	1	0	0	21
Ballina	0	1	0	1800	10
Ballina	0	1	0	3600	14
Ballina	0	1	0	7200	24
Ballina	0	1	0	9600	32
Ballina	0	1	0	12000	40
Ballina	0	1	0	14400	56
Ballina	0	1	0	16800	27
Ballina	0	1	0	19200	33
Ballina	0	1	0	21600	37
Ballina	0	1	0	24000	42
Ballina	0	1	0	26400	18
Ballina	0	1	0	28800	6
Ballina	0	1	0	31200	25
Ballina	0	1	0	36000	30
Ballina	0	1	0	48000	11
Ballina	0	1	0	60000	12
Ballina	0	1	1	0	22
Ballina	0	1	1	3600	11
Ballina	0	1	1	5400	5
Ballina	0	1	1	7200	17
Ballina	0	1	1	9600	24
Ballina	0	1	1	12000	26
Ballina	0	1	1	14400	49
Ballina	0	1	1	16800	41
Ballina	0	1	1	19200	45
Ballina	0	1	1	21600	18
Ballina	0	1	1	24000	57
Ballina	0	1	1	26400	28
Ballina	0	1	1	28800	10
Ballina	0	1	1	31200	38
Ballina	0	1	1	36000	50
Ballina	0	1	1	48000	12
Ballina	0	1	1	60000	18
Ballina	1	0	0	0	134
Ballina	1	0	0	1800	46
Ballina	1	0	0	3600	59
Ballina	1	0	0	5400	53
Ballina	1	0	0	7200	74
Ballina	1	0	0	9600	107
Ballina	1	0	0	12000	118
Ballina	1	0	0	14400	132
Ballina	1	0	0	16800	110
Ballina	1	0	0	19200	156
Ballina	1	0	0	21600	105
