SED_NAME21	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Albury	0	1	10183
Albury	0	2	834
Albury	0	3	148
Albury	0	4	51
Albury	0	5	14
Albury	0	6	5
Albury	1	2	11139
Albury	1	3	4170
Albury	1	4	3938
Albury	1	5	1831
Albury	1	6	834
Auburn	0	1	8024
Auburn	0	2	1344
Auburn	0	3	648
Auburn	0	4	429
Auburn	0	5	226
Auburn	0	6	152
Auburn	1	2	9626
Auburn	1	3	6281
Auburn	1	4	5437
Auburn	1	5	2745
Auburn	1	6	2773
Ballina	0	1	8596
Ballina	0	2	1181
Ballina	0	3	383
Ballina	0	4	164
Ballina	0	5	61
Ballina	0	6	26
Ballina	1	2	10215
Ballina	1	3	4345
Ballina	1	4	3887
Ballina	1	5	1573
Ballina	1	6	731
Balmain	0	1	11660
Balmain	0	2	1426
Balmain	0	3	588
Balmain	0	4	224
Balmain	0	5	64
Balmain	0	6	24
Balmain	1	2	10833
Balmain	1	3	4612
Balmain	1	4	4252
Balmain	1	5	1005
Balmain	1	6	231
Bankstown	0	1	5948
Bankstown	0	2	525
Bankstown	0	3	149
Bankstown	0	4	87
Bankstown	0	5	39
Bankstown	0	6	36
Bankstown	1	2	6211
Bankstown	1	3	4704
Bankstown	1	4	4717
Bankstown	1	5	2968
Bankstown	1	6	2671
Barwon	0	1	9086
Barwon	0	2	593
Barwon	0	3	62
Barwon	0	4	17
Barwon	0	5	7
Barwon	1	2	8987
Barwon	1	3	3428
Barwon	1	4	2770
Barwon	1	5	1537
Barwon	1	6	851
Bathurst	0	1	9065
Bathurst	0	2	698
Bathurst	0	3	126
Bathurst	0	4	24
Bathurst	0	5	17
Bathurst	1	2	10119
Bathurst	1	3	3990
Bathurst	1	4	3706
Bathurst	1	5	1751
Bathurst	1	6	870
Baulkham Hills	0	1	3762
Baulkham Hills	0	2	267
Baulkham Hills	0	3	71
Baulkham Hills	0	4	55
Baulkham Hills	0	5	28
Baulkham Hills	0	6	15
