SED_NAME16	AgeStudent	Sex	students
Albury	0-4	F	728
Albury	0-4	M	743
Albury	5-14	F	4747
Albury	5-14	M	5003
Albury	15-19	F	1849
Albury	15-19	M	1710
Albury	20-24	F	798
Albury	20-24	M	547
Albury	25+	F	1877
Albury	25+	M	951
Auburn	0-4	F	864
Auburn	0-4	M	900
Auburn	5-14	F	5599
Auburn	5-14	M	5609
Auburn	15-19	F	2196
Auburn	15-19	M	2153
Auburn	20-24	F	2675
Auburn	20-24	M	2970
Auburn	25+	F	4205
Auburn	25+	M	3878
Ballina	0-4	F	565
Ballina	0-4	M	618
Ballina	5-14	F	4128
Ballina	5-14	M	4418
Ballina	15-19	F	1459
Ballina	15-19	M	1498
Ballina	20-24	F	536
Ballina	20-24	M	397
Ballina	25+	F	2206
Ballina	25+	M	1115
Balmain	0-4	F	679
Balmain	0-4	M	727
Balmain	5-14	F	3773
Balmain	5-14	M	3901
Balmain	15-19	F	1427
Balmain	15-19	M	1430
Balmain	20-24	F	1797
Balmain	20-24	M	1424
Balmain	25+	F	3243
Balmain	25+	M	2385
Bankstown	0-4	F	805
Bankstown	0-4	M	892
Bankstown	5-14	F	5736
Bankstown	5-14	M	5985
Bankstown	15-19	F	2409
Bankstown	15-19	M	2468
Bankstown	20-24	F	1493
Bankstown	20-24	M	1477
Bankstown	25+	F	2258
Bankstown	25+	M	1787
Barwon	0-4	F	587
Barwon	0-4	M	603
Barwon	5-14	F	3943
Barwon	5-14	M	4078
Barwon	15-19	F	1203
Barwon	15-19	M	1112
Barwon	20-24	F	336
Barwon	20-24	M	245
Barwon	25+	F	1309
Barwon	25+	M	479
Bathurst	0-4	F	635
Bathurst	0-4	M	668
Bathurst	5-14	F	4604
Bathurst	5-14	M	4802
Bathurst	15-19	F	1699
Bathurst	15-19	M	1734
Bathurst	20-24	F	744
Bathurst	20-24	M	584
Bathurst	25+	F	1658
Bathurst	25+	M	845
Baulkham Hills	0-4	F	856
Baulkham Hills	0-4	M	886
Baulkham Hills	5-14	F	6099
Baulkham Hills	5-14	M	6550
Baulkham Hills	15-19	F	2339
Baulkham Hills	15-19	M	2505
Baulkham Hills	20-24	F	1451
Baulkham Hills	20-24	M	1450
Baulkham Hills	25+	F	1941
Baulkham Hills	25+	M	1365
Bega	0-4	F	436
Bega	0-4	M	459
Bega	5-14	F	3483
Bega	5-14	M	3660
Bega	15-19	F	1181
Bega	15-19	M	1295
Bega	20-24	F	310
Bega	20-24	M	239
Bega	25+	F	1328
Bega	25+	M	590
Blacktown	0-4	F	797
Blacktown	0-4	M	790
Blacktown	5-14	F	5199
Blacktown	5-14	M	5514
Blacktown	15-19	F	1929
Blacktown	15-19	M	2063
Blacktown	20-24	F	1501
Blacktown	20-24	M	1586
Blacktown	25+	F	2815
Blacktown	25+	M	1997
Blue Mountains	0-4	F	604
Blue Mountains	0-4	M	602
Blue Mountains	5-14	F	4187
Blue Mountains	5-14	M	4365
Blue Mountains	15-19	F	1639
Blue Mountains	15-19	M	1791
Blue Mountains	20-24	F	657
Blue Mountains	20-24	M	650
Blue Mountains	25+	F	2064
Blue Mountains	25+	M	1066
Cabramatta	0-4	F	472
Cabramatta	0-4	M	526
Cabramatta	5-14	F	4494
Cabramatta	5-14	M	4967
Cabramatta	15-19	F	2433
Cabramatta	15-19	M	2326
Cabramatta	20-24	F	1435
Cabramatta	20-24	M	1347
Cabramatta	25+	F	1770
Cabramatta	25+	M	1201
Camden	0-4	F	1674
Camden	0-4	M	1783
