SED_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Albury					285
Albury	0	0	0	1	1223
Albury	0	0	1	0	310
Albury	0	0	1	1	108
Albury	0	1	0	0	1611
Albury	0	1	0	1	151
Albury	0	1	1	0	278
Albury	0	1	1	1	52
Albury	1	0	0	1	1477
Albury	1	0	1	0	584
Albury	1	0	1	1	354
Albury	1	1	0	0	4708
Albury	1	1	0	1	266
Albury	1	1	1	0	860
Albury	1	1	1	1	175
Auburn					791
Auburn	0	0	0	1	1832
Auburn	0	0	1	0	439
Auburn	0	0	1	1	184
Auburn	0	1	0	0	1179
Auburn	0	1	0	1	114
Auburn	0	1	1	0	225
Auburn	0	1	1	1	80
Auburn	1	0	0	1	2518
Auburn	1	0	1	0	982
Auburn	1	0	1	1	732
Auburn	1	1	0	0	7320
Auburn	1	1	0	1	265
Auburn	1	1	1	0	1201
Auburn	1	1	1	1	328
Ballina					253
Ballina	0	0	0	1	1359
Ballina	0	0	1	0	377
Ballina	0	0	1	1	99
Ballina	0	1	0	0	1443
Ballina	0	1	0	1	117
Ballina	0	1	1	0	282
Ballina	0	1	1	1	34
Ballina	1	0	0	1	1530
Ballina	1	0	1	0	602
Ballina	1	0	1	1	269
Ballina	1	1	0	0	4388
Ballina	1	1	0	1	232
Ballina	1	1	1	0	725
Ballina	1	1	1	1	89
Balmain					404
Balmain	0	0	0	1	991
Balmain	0	0	1	0	408
Balmain	0	0	1	1	91
Balmain	0	1	0	0	1000
Balmain	0	1	0	1	39
Balmain	0	1	1	0	181
Balmain	0	1	1	1	16
Balmain	1	0	0	1	834
Balmain	1	0	1	0	940
Balmain	1	0	1	1	234
Balmain	1	1	0	0	5608
Balmain	1	1	0	1	52
Balmain	1	1	1	0	665
Balmain	1	1	1	1	33
Bankstown					502
Bankstown	0	0	0	1	2014
Bankstown	0	0	1	0	433
Bankstown	0	0	1	1	293
Bankstown	0	1	0	0	1439
Bankstown	0	1	0	1	190
Bankstown	0	1	1	0	374
Bankstown	0	1	1	1	107
Bankstown	1	0	0	1	2417
Bankstown	1	0	1	0	879
Bankstown	1	0	1	1	743
Bankstown	1	1	0	0	5715
Bankstown	1	1	0	1	357
Bankstown	1	1	1	0	1250
Bankstown	1	1	1	1	366
Barwon					342
Barwon	0	0	0	1	1241
Barwon	0	0	1	0	212
Barwon	0	0	1	1	71
Barwon	0	1	0	0	1562
Barwon	0	1	0	1	171
Barwon	0	1	1	0	187
Barwon	0	1	1	1	54
Barwon	1	0	0	1	1211
Barwon	1	0	1	0	382
Barwon	1	0	1	1	195
Barwon	1	1	0	0	3522
Barwon	1	1	0	1	240
Barwon	1	1	1	0	613
Barwon	1	1	1	1	105
Bathurst					301
Bathurst	0	0	0	1	1368
Bathurst	0	0	1	0	278
Bathurst	0	0	1	1	116
Bathurst	0	1	0	0	1524
Bathurst	0	1	0	1	169
Bathurst	0	1	1	0	270
Bathurst	0	1	1	1	56
Bathurst	1	0	0	1	1545
Bathurst	1	0	1	0	575
Bathurst	1	0	1	1	338
Bathurst	1	1	0	0	4189
Bathurst	1	1	0	1	297
Bathurst	1	1	1	0	777
Bathurst	1	1	1	1	181
Baulkham Hills					204
Baulkham Hills	0	0	0	1	1063
Baulkham Hills	0	0	1	0	347
Baulkham Hills	0	0	1	1	167
Baulkham Hills	0	1	0	0	728
Baulkham Hills	0	1	0	1	49
Baulkham Hills	0	1	1	0	161
Baulkham Hills	0	1	1	1	33
Baulkham Hills	1	0	0	1	2770
Baulkham Hills	1	0	1	0	1623
Baulkham Hills	1	0	1	1	943
Baulkham Hills	1	1	0	0	7458
Baulkham Hills	1	1	0	1	192
Baulkham Hills	1	1	1	0	1485
Baulkham Hills	1	1	1	1	152
Bega					214
Bega	0	0	0	1	1233
Bega	0	0	1	0	220
Bega	0	0	1	1	80
Bega	0	1	0	0	1215
Bega	0	1	0	1	123
Bega	0	1	1	0	218
Bega	0	1	1	1	54
Bega	1	0	0	1	1358
Bega	1	0	1	0	388
Bega	1	0	1	1	234
Bega	1	1	0	0	3191
Bega	1	1	0	1	273
Bega	1	1	1	0	622
Bega	1	1	1	1	98
Blacktown					561
Blacktown	0	0	0	1	1921
Blacktown	0	0	1	0	320
Blacktown	0	0	1	1	208
Blacktown	0	1	0	0	1335
Blacktown	0	1	0	1	174
Blacktown	0	1	1	0	275
Blacktown	0	1	1	1	79
Blacktown	1	0	0	1	2425
Blacktown	1	0	1	0	928
Blacktown	1	0	1	1	658
Blacktown	1	1	0	0	6593
Blacktown	1	1	0	1	294
Blacktown	1	1	1	0	1088
Blacktown	1	1	1	1	226
Blue Mountains					198
Blue Mountains	0	0	0	1	1175
Blue Mountains	0	0	1	0	389
Blue Mountains	0	0	1	1	96
Blue Mountains	0	1	0	0	1109
Blue Mountains	0	1	0	1	83
Blue Mountains	0	1	1	0	220
Blue Mountains	0	1	1	1	31
Blue Mountains	1	0	0	1	1555
Blue Mountains	1	0	1	0	786
Blue Mountains	1	0	1	1	421
Blue Mountains	1	1	0	0	4298
Blue Mountains	1	1	0	1	211
Blue Mountains	1	1	1	0	902
Blue Mountains	1	1	1	1	149
Cabramatta					538
Cabramatta	0	0	0	1	2452
Cabramatta	0	0	1	0	552
Cabramatta	0	0	1	1	308
Cabramatta	0	1	0	0	1407
Cabramatta	0	1	0	1	176
Cabramatta	0	1	1	0	409
Cabramatta	0	1	1	1	114
Cabramatta	1	0	0	1	3114
Cabramatta	1	0	1	0	873
Cabramatta	1	0	1	1	936
Cabramatta	1	1	0	0	3922
Cabramatta	1	1	0	1	316
Cabramatta	1	1	1	0	1046
Cabramatta	1	1	1	1	304
Camden					342
Camden	0	0	0	1	1664
Camden	0	0	1	0	381
Camden	0	0	1	1	266
Camden	0	1	0	0	2082
Camden	0	1	0	1	257
Camden	0	1	1	0	379
Camden	0	1	1	1	107
Camden	1	0	0	1	3146
Camden	1	0	1	0	1105
Camden	1	0	1	1	1028
Camden	1	1	0	0	11823
Camden	1	1	0	1	665
Camden	1	1	1	0	1858
Camden	1	1	1	1	423
Campbelltown					407
Campbelltown	0	0	0	1	1833
Campbelltown	0	0	1	0	361
Campbelltown	0	0	1	1	197
Campbelltown	0	1	0	0	1949
Campbelltown	0	1	0	1	265
Campbelltown	0	1	1	0	346
Campbelltown	0	1	1	1	127
Campbelltown	1	0	0	1	2152
Campbelltown	1	0	1	0	601
Campbelltown	1	0	1	1	525
Campbelltown	1	1	0	0	4984
Campbelltown	1	1	0	1	401
Campbelltown	1	1	1	0	876
Campbelltown	1	1	1	1	315
Canterbury					610
Canterbury	0	0	0	1	2091
Canterbury	0	0	1	0	509
Canterbury	0	0	1	1	198
Canterbury	0	1	0	0	1156
Canterbury	0	1	0	1	87
Canterbury	0	1	1	0	203
Canterbury	0	1	1	1	60
Canterbury	1	0	0	1	2680
Canterbury	1	0	1	0	1028
Canterbury	1	0	1	1	665
Canterbury	1	1	0	0	5648
Canterbury	1	1	0	1	195
Canterbury	1	1	1	0	1030
Canterbury	1	1	1	1	161
Castle Hill					212
Castle Hill	0	0	0	1	1100
Castle Hill	0	0	1	0	388
Castle Hill	0	0	1	1	210
Castle Hill	0	1	0	0	937
Castle Hill	0	1	0	1	65
Castle Hill	0	1	1	0	255
Castle Hill	0	1	1	1	32
Castle Hill	1	0	0	1	2949
Castle Hill	1	0	1	0	1836
Castle Hill	1	0	1	1	1219
Castle Hill	1	1	0	0	9138
Castle Hill	1	1	0	1	309
Castle Hill	1	1	1	0	2003
Castle Hill	1	1	1	1	268
Cessnock					320
Cessnock	0	0	0	1	1665
Cessnock	0	0	1	0	277
Cessnock	0	0	1	1	146
Cessnock	0	1	0	0	2101
Cessnock	0	1	0	1	248
Cessnock	0	1	1	0	324
Cessnock	0	1	1	1	95
Cessnock	1	0	0	1	2036
Cessnock	1	0	1	0	522
Cessnock	1	0	1	1	445
Cessnock	1	1	0	0	5504
Cessnock	1	1	0	1	452
Cessnock	1	1	1	0	808
Cessnock	1	1	1	1	185
Charlestown					299
Charlestown	0	0	0	1	1412
Charlestown	0	0	1	0	348
Charlestown	0	0	1	1	142
Charlestown	0	1	0	0	1294
Charlestown	0	1	0	1	137
Charlestown	0	1	1	0	245
Charlestown	0	1	1	1	34
Charlestown	1	0	0	1	1609
Charlestown	1	0	1	0	794
Charlestown	1	0	1	1	467
Charlestown	1	1	0	0	4988
Charlestown	1	1	0	1	226
Charlestown	1	1	1	0	891
Charlestown	1	1	1	1	134
Clarence					338
Clarence	0	0	0	1	1425
