SED_NAME16	FamilyHousehold	IncomeHousehold.max	households
Albury	0		647
Albury	0	0	314
Albury	0	7875	127
Albury	0	15750	396
Albury	0	21000	739
Albury	0	26250	2034
Albury	0	34125	1400
Albury	0	42000	881
Albury	0	52500	1045
Albury	0	65625	1075
Albury	0	78750	722
Albury	0	91875	549
Albury	0	105000	353
Albury	0	131250	562
Albury	0	157500	84
Albury	0	183750	109
Albury	0	210000	41
Albury	0	Inf	178
Albury	1		1798
Albury	1	0	200
Albury	1	7875	95
Albury	1	15750	109
Albury	1	21000	106
Albury	1	26250	426
Albury	1	34125	524
Albury	1	42000	1599
Albury	1	52500	1301
Albury	1	65625	1564
Albury	1	78750	1868
Albury	1	91875	1398
Albury	1	105000	1479
Albury	1	131250	3040
Albury	1	157500	2103
Albury	1	183750	1574
Albury	1	210000	912
Albury	1	Inf	1821
Auburn	0		654
Auburn	0	0	610
Auburn	0	7875	114
Auburn	0	15750	319
Auburn	0	21000	732
Auburn	0	26250	1012
Auburn	0	34125	578
Auburn	0	42000	522
Auburn	0	52500	684
Auburn	0	65625	927
Auburn	0	78750	786
Auburn	0	91875	768
Auburn	0	105000	617
Auburn	0	131250	1173
Auburn	0	157500	297
Auburn	0	183750	351
Auburn	0	210000	146
Auburn	0	Inf	526
Auburn	1		1824
Auburn	1	0	580
Auburn	1	7875	113
Auburn	1	15750	185
Auburn	1	21000	235
Auburn	1	26250	565
Auburn	1	34125	596
Auburn	1	42000	1452
Auburn	1	52500	1390
Auburn	1	65625	1861
Auburn	1	78750	2118
Auburn	1	91875	1639
Auburn	1	105000	1643
Auburn	1	131250	3532
Auburn	1	157500	2453
Auburn	1	183750	1938
Auburn	1	210000	1339
Auburn	1	Inf	3402
Ballina	0		666
Ballina	0	0	291
Ballina	0	7875	144
Ballina	0	15750	274
Ballina	0	21000	580
Ballina	0	26250	1697
Ballina	0	34125	1350
Ballina	0	42000	806
Ballina	0	52500	955
Ballina	0	65625	844
Ballina	0	78750	640
Ballina	0	91875	477
Ballina	0	105000	352
Ballina	0	131250	587
Ballina	0	157500	173
Ballina	0	183750	175
Ballina	0	210000	57
Ballina	0	Inf	327
Ballina	1		1708
Ballina	1	0	173
Ballina	1	7875	91
Ballina	1	15750	75
Ballina	1	21000	103
Ballina	1	26250	332
Ballina	1	34125	392
Ballina	1	42000	1266
Ballina	1	52500	1206
Ballina	1	65625	1520
Ballina	1	78750	1753
