SED_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Albury	0-4	0		23
Albury	0-4	0	Both	728
Albury	0-4	0	Father only	18
Albury	0-4	0	Mother only	44
Albury	0-4	0	Neither	25
Albury	0-4	1		15
Albury	0-4	1	Both	3062
Albury	0-4	1	Father only	183
Albury	0-4	1	Mother only	183
Albury	0-4	1	Neither	404
Albury	5-9	0		31
Albury	5-9	0	Both	943
Albury	5-9	0	Father only	34
Albury	5-9	0	Mother only	55
Albury	5-9	0	Neither	45
Albury	5-9	1		15
Albury	5-9	1	Both	3050
Albury	5-9	1	Father only	196
Albury	5-9	1	Mother only	194
Albury	5-9	1	Neither	367
Albury	10-12	0		22
Albury	10-12	0	Both	616
Albury	10-12	0	Father only	24
Albury	10-12	0	Mother only	42
Albury	10-12	0	Neither	30
Albury	10-12	1		3
Albury	10-12	1	Both	1796
Albury	10-12	1	Father only	98
Albury	10-12	1	Mother only	115
Albury	10-12	1	Neither	177
Albury	13-14	0		16
Albury	13-14	0	Both	444
Albury	13-14	0	Father only	20
Albury	13-14	0	Mother only	26
Albury	13-14	0	Neither	20
Albury	13-14	1		5
Albury	13-14	1	Both	1145
Albury	13-14	1	Father only	63
Albury	13-14	1	Mother only	71
Albury	13-14	1	Neither	94
Albury	15-17	0		6
Albury	15-17	0	Both	533
Albury	15-17	0	Father only	24
Albury	15-17	0	Mother only	41
Albury	15-17	0	Neither	26
Albury	15-17	1		10
Albury	15-17	1	Both	1387
Albury	15-17	1	Father only	70
Albury	15-17	1	Mother only	103
Albury	15-17	1	Neither	123
Albury	18-20	0		3
Albury	18-20	0	Both	101
Albury	18-20	0	Father only	4
Albury	18-20	0	Mother only	17
Albury	18-20	0	Neither	20
Albury	18-20	1	Both	341
Albury	18-20	1	Father only	25
Albury	18-20	1	Mother only	25
Albury	18-20	1	Neither	59
Albury	21-24	0	Both	30
Albury	21-24	0	Mother only	4
Albury	21-24	1	Both	109
Albury	21-24	1	Father only	4
Albury	21-24	1	Mother only	3
Albury	21-24	1	Neither	11
Auburn	0-4	0		21
Auburn	0-4	0	Both	172
Auburn	0-4	0	Father only	62
Auburn	0-4	0	Mother only	95
Auburn	0-4	0	Neither	329
Auburn	0-4	1		59
Auburn	0-4	1	Both	915
Auburn	0-4	1	Father only	487
Auburn	0-4	1	Mother only	634
Auburn	0-4	1	Neither	4365
Auburn	5-9	0		28
Auburn	5-9	0	Both	194
Auburn	5-9	0	Father only	74
Auburn	5-9	0	Mother only	134
Auburn	5-9	0	Neither	464
Auburn	5-9	1		66
Auburn	5-9	1	Both	577
Auburn	5-9	1	Father only	374
Auburn	5-9	1	Mother only	551
Auburn	5-9	1	Neither	3799
Auburn	10-12	0		16
Auburn	10-12	0	Both	90
Auburn	10-12	0	Father only	51
Auburn	10-12	0	Mother only	79
Auburn	10-12	0	Neither	341
Auburn	10-12	1		28
Auburn	10-12	1	Both	266
Auburn	10-12	1	Father only	228
Auburn	10-12	1	Mother only	337
Auburn	10-12	1	Neither	1945
Auburn	13-14	0		17
Auburn	13-14	0	Both	53
Auburn	13-14	0	Father only	31
Auburn	13-14	0	Mother only	63
Auburn	13-14	0	Neither	217
Auburn	13-14	1		10
Auburn	13-14	1	Both	147
Auburn	13-14	1	Father only	118
Auburn	13-14	1	Mother only	190
Auburn	13-14	1	Neither	1135
Auburn	15-17	0		15
