SA4_NAME21	medianTotalHouseholdIncome
Capital Region	80288
Central Coast	78364
Central West	74568
Coffs Harbour - Grafton	65208
Far West and Orana	71604
Hunter Valley exc Newcastle	80964
Illawarra	87568
Mid North Coast	58864
Murray	69732
New England and North West	69056
Newcastle and Lake Macquarie	87152
Richmond - Tweed	69108
Riverina	76960
Southern Highlands and Shoalhaven	70564
Sydney - Baulkham Hills and Hawkesbury	140556
Sydney - Blacktown	109668
Sydney - City and Inner South	114764
Sydney - Eastern Suburbs	130676
Sydney - Inner South West	90168
Sydney - Inner West	117000
Sydney - North Sydney and Hornsby	136396
Sydney - Northern Beaches	134784
Sydney - Outer South West	99632
Sydney - Outer West and Blue Mountains	96408
Sydney - Parramatta	95056
Sydney - Ryde	114712
Sydney - South West	89076
Sydney - Sutherland	118872
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	71552
Bendigo	74464
Geelong	86216
Hume	71396
Latrobe - Gippsland	65520
Melbourne - Inner	104312
Melbourne - Inner East	107068
Melbourne - Inner South	113048
Melbourne - North East	98124
Melbourne - North West	93132
Melbourne - Outer East	99164
Melbourne - South East	94172
Melbourne - West	97084
Mornington Peninsula	83408
North West	66248
Shepparton	68328
Warrnambool and South West	69420
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	98280
Brisbane - North	101452
Brisbane - South	105144
Brisbane - West	120432
Brisbane Inner City	112060
Cairns	75140
Darling Downs - Maranoa	66560
Central Queensland	84552
Gold Coast	87984
Ipswich	83980
Logan - Beaudesert	82836
Mackay - Isaac - Whitsunday	95836
Moreton Bay - North	71916
Moreton Bay - South	104884
Queensland - Outback	81952
Sunshine Coast	81848
Toowoomba	78104
Townsville	84292
Wide Bay	56992
Migratory - Offshore - Shipping (Qld)	90948
No usual address (Qld)	
Adelaide - Central and Hills	94380
Adelaide - North	74256
Adelaide - South	80080
Adelaide - West	78832
Barossa - Yorke - Mid North	61516
South Australia - Outback	66716
South Australia - South East	60424
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	76856
Mandurah	66872
Perth - Inner	116636
Perth - North East	94484
Perth - North West	99892
Perth - South East	93392
Perth - South West	98644
Western Australia - Wheat Belt	69628
Western Australia - Outback (North)	124592
Western Australia - Outback (South)	88816
Migratory - Offshore - Shipping (WA)	117000
No usual address (WA)	
Hobart	80184
Launceston and North East	65520
South East	61672
West and North West	62140
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	114868
Northern Territory - Outback	88712
Migratory - Offshore - Shipping (NT)	10823800
No usual address (NT)	
Australian Capital Territory	123396
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	77844
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
