SA4_NAME21	Age5yr	ChildrenEverBorn	females
Capital Region	15-19		631
Capital Region	15-19	0	5410
Capital Region	15-19	1	40
Capital Region	15-19	2	4
Capital Region	20-24		483
Capital Region	20-24	0	4082
Capital Region	20-24	1	436
Capital Region	20-24	2	162
Capital Region	20-24	3	27
Capital Region	20-24	4	7
Capital Region	20-24	6	4
Capital Region	25-29		522
Capital Region	25-29	0	3664
Capital Region	25-29	1	1111
Capital Region	25-29	2	744
Capital Region	25-29	3	238
Capital Region	25-29	4	80
Capital Region	25-29	5	19
Capital Region	25-29	6	6
Capital Region	30-34		496
Capital Region	30-34	0	2278
Capital Region	30-34	1	1451
Capital Region	30-34	2	1794
Capital Region	30-34	3	772
Capital Region	30-34	4	220
Capital Region	30-34	5	72
Capital Region	30-34	6	37
Capital Region	35-39		475
Capital Region	35-39	0	1380
Capital Region	35-39	1	1100
Capital Region	35-39	2	2397
Capital Region	35-39	3	1189
Capital Region	35-39	4	377
Capital Region	35-39	5	116
Capital Region	35-39	6	70
Capital Region	40-44		445
Capital Region	40-44	0	1126
Capital Region	40-44	1	873
Capital Region	40-44	2	2325
Capital Region	40-44	3	1329
Capital Region	40-44	4	505
Capital Region	40-44	5	152
Capital Region	40-44	6	99
Capital Region	45-49		470
Capital Region	45-49	0	1112
Capital Region	45-49	1	940
Capital Region	45-49	2	2602
Capital Region	45-49	3	1579
Capital Region	45-49	4	563
Capital Region	45-49	5	185
Capital Region	45-49	6	107
Capital Region	50-54		512
Capital Region	50-54	0	1404
Capital Region	50-54	1	972
Capital Region	50-54	2	2945
Capital Region	50-54	3	1719
Capital Region	50-54	4	641
Capital Region	50-54	5	189
Capital Region	50-54	6	114
Capital Region	55-59		593
Capital Region	55-59	0	1343
Capital Region	55-59	1	1024
Capital Region	55-59	2	2969
Capital Region	55-59	3	1834
Capital Region	55-59	4	691
Capital Region	55-59	5	199
Capital Region	55-59	6	116
Capital Region	60-64		581
Capital Region	60-64	0	1316
Capital Region	60-64	1	937
Capital Region	60-64	2	3011
Capital Region	60-64	3	2054
Capital Region	60-64	4	833
Capital Region	60-64	5	205
Capital Region	60-64	6	122
Capital Region	65-69		560
Capital Region	65-69	0	1076
Capital Region	65-69	1	790
Capital Region	65-69	2	2782
Capital Region	65-69	3	1871
Capital Region	65-69	4	817
Capital Region	65-69	5	239
Capital Region	65-69	6	113
Capital Region	70-74		583
Capital Region	70-74	0	732
Capital Region	70-74	1	587
Capital Region	70-74	2	2530
Capital Region	70-74	3	1701
Capital Region	70-74	4	785
Capital Region	70-74	5	211
Capital Region	70-74	6	125
Capital Region	75-79		424
Capital Region	75-79	0	455
Capital Region	75-79	1	349
Capital Region	75-79	2	1561
Capital Region	75-79	3	1210
Capital Region	75-79	4	628
Capital Region	75-79	5	202
Capital Region	75-79	6	130
Capital Region	80-84		353
Capital Region	80-84	0	242
Capital Region	80-84	1	171
Capital Region	80-84	2	854
Capital Region	80-84	3	810
Capital Region	80-84	4	495
Capital Region	80-84	5	205
Capital Region	80-84	6	168
Capital Region	85+		451
Capital Region	85+	0	239
Capital Region	85+	1	237
Capital Region	85+	2	729
Capital Region	85+	3	748
Capital Region	85+	4	540
Capital Region	85+	5	248
Capital Region	85+	6	250
Central Coast	15-19		760
Central Coast	15-19	0	8925
Central Coast	15-19	1	65
Central Coast	15-19	2	7
Central Coast	20-24		633
Central Coast	20-24	0	7518
Central Coast	20-24	1	665
Central Coast	20-24	2	246
Central Coast	20-24	3	30
Central Coast	20-24	4	10
Central Coast	20-24	6	4
Central Coast	25-29		615
Central Coast	25-29	0	5559
Central Coast	25-29	1	1557
Central Coast	25-29	2	1149
Central Coast	25-29	3	336
Central Coast	25-29	4	73
Central Coast	25-29	5	21
Central Coast	25-29	6	6
Central Coast	30-34		543
Central Coast	30-34	0	3331
Central Coast	30-34	1	2235
Central Coast	30-34	2	2605
Central Coast	30-34	3	1068
Central Coast	30-34	4	295
Central Coast	30-34	5	65
Central Coast	30-34	6	34
Central Coast	35-39		528
Central Coast	35-39	0	1910
Central Coast	35-39	1	1841
Central Coast	35-39	2	3982
Central Coast	35-39	3	1792
Central Coast	35-39	4	541
Central Coast	35-39	5	154
Central Coast	35-39	6	70
Central Coast	40-44		535
Central Coast	40-44	0	1415
Central Coast	40-44	1	1470
Central Coast	40-44	2	3981
Central Coast	40-44	3	2144
Central Coast	40-44	4	726
Central Coast	40-44	5	222
Central Coast	40-44	6	124
Central Coast	45-49		543
Central Coast	45-49	0	1541
Central Coast	45-49	1	1476
Central Coast	45-49	2	4273
Central Coast	45-49	3	2299
Central Coast	45-49	4	837
Central Coast	45-49	5	242
Central Coast	45-49	6	143
Central Coast	50-54		466
Central Coast	50-54	0	1488
Central Coast	50-54	1	1533
Central Coast	50-54	2	4217
