SA4_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Capital Region	15-19		F	487
Capital Region	15-19		M	596
Capital Region	15-19	0	F	5255
Capital Region	15-19	0	M	5779
Capital Region	15-19	1	F	347
Capital Region	15-19	1	M	321
Capital Region	20-24		F	369
Capital Region	20-24		M	466
Capital Region	20-24	0	F	4440
Capital Region	20-24	0	M	4889
Capital Region	20-24	1	F	388
Capital Region	20-24	1	M	311
Capital Region	25-34		F	968
Capital Region	25-34		M	1287
Capital Region	25-34	0	F	11127
Capital Region	25-34	0	M	11112
Capital Region	25-34	1	F	1404
Capital Region	25-34	1	M	857
Capital Region	35-44		F	950
Capital Region	35-44		M	1064
Capital Region	35-44	0	F	10744
Capital Region	35-44	0	M	10670
Capital Region	35-44	1	F	2265
Capital Region	35-44	1	M	1431
Capital Region	45-54		F	937
Capital Region	45-54		M	1209
Capital Region	45-54	0	F	11789
Capital Region	45-54	0	M	12182
Capital Region	45-54	1	F	3315
Capital Region	45-54	1	M	2027
Capital Region	55-64		F	1105
Capital Region	55-64		M	1310
Capital Region	55-64	0	F	12892
Capital Region	55-64	0	M	13605
Capital Region	55-64	1	F	3841
Capital Region	55-64	1	M	2619
Capital Region	65-74		F	1018
Capital Region	65-74		M	1097
Capital Region	65-74	0	F	12022
Capital Region	65-74	0	M	12832
Capital Region	65-74	1	F	2476
Capital Region	65-74	1	M	1819
Capital Region	75-84		F	755
Capital Region	75-84		M	673
Capital Region	75-84	0	F	6507
Capital Region	75-84	0	M	6431
Capital Region	75-84	1	F	995
Capital Region	75-84	1	M	805
Capital Region	85+		F	456
Capital Region	85+		M	289
Capital Region	85+	0	F	2832
Capital Region	85+	0	M	1809
Capital Region	85+	1	F	164
Capital Region	85+	1	M	232
Central Coast	15-19		F	538
Central Coast	15-19		M	615
Central Coast	15-19	0	F	8703
Central Coast	15-19	0	M	9443
Central Coast	15-19	1	F	511
Central Coast	15-19	1	M	467
Central Coast	20-24		F	506
Central Coast	20-24		M	513
Central Coast	20-24	0	F	7956
Central Coast	20-24	0	M	8337
Central Coast	20-24	1	F	646
Central Coast	20-24	1	M	531
Central Coast	25-34		F	1137
Central Coast	25-34		M	1204
Central Coast	25-34	0	F	16368
Central Coast	25-34	0	M	16189
Central Coast	25-34	1	F	1999
Central Coast	25-34	1	M	1224
Central Coast	35-44		F	1135
Central Coast	35-44		M	1154
Central Coast	35-44	0	F	16730
Central Coast	35-44	0	M	16767
Central Coast	35-44	1	F	3582
Central Coast	35-44	1	M	2000
Central Coast	45-54		F	1006
Central Coast	45-54		M	1197
Central Coast	45-54	0	F	17055
Central Coast	45-54	0	M	17431
Central Coast	45-54	1	F	4733
Central Coast	45-54	1	M	2762
Central Coast	55-64		F	994
Central Coast	55-64		M	1045
Central Coast	55-64	0	F	17454
Central Coast	55-64	0	M	17193
Central Coast	55-64	1	F	5146
Central Coast	55-64	1	M	3053
Central Coast	65-74		F	1200
Central Coast	65-74		M	1043
Central Coast	65-74	0	F	17222
Central Coast	65-74	0	M	15729
Central Coast	65-74	1	F	3372
Central Coast	65-74	1	M	2118
Central Coast	75-84		F	1420
Central Coast	75-84		M	1005
Central Coast	75-84	0	F	10995
Central Coast	75-84	0	M	9534
Central Coast	75-84	1	F	1430
Central Coast	75-84	1	M	1306
Central Coast	85+		F	1481
Central Coast	85+		M	716
Central Coast	85+	0	F	4853
Central Coast	85+	0	M	2885
Central Coast	85+	1	F	278
Central Coast	85+	1	M	323
Central West	15-19		F	506
Central West	15-19		M	640
Central West	15-19	0	F	5168
Central West	15-19	0	M	5772
Central West	15-19	1	F	338
Central West	15-19	1	M	268
Central West	20-24		F	413
Central West	20-24		M	650
Central West	20-24	0	F	4557
Central West	20-24	0	M	4872
Central West	20-24	1	F	384
Central West	20-24	1	M	286
Central West	25-34		F	912
Central West	25-34		M	1395
Central West	25-34	0	F	10309
Central West	25-34	0	M	10137
Central West	25-34	1	F	1368
Central West	25-34	1	M	738
Central West	35-44		F	890
Central West	35-44		M	1312
Central West	35-44	0	F	9248
Central West	35-44	0	M	9429
Central West	35-44	1	F	2051
Central West	35-44	1	M	1202
Central West	45-54		F	894
