SA4_NAME21	medianTotalPersonalIncome
Capital Region	41444
Central Coast	37804
Central West	38376
Coffs Harbour - Grafton	33124
Far West and Orana	38636
Hunter Valley exc Newcastle	38116
Illawarra	39156
Mid North Coast	30732
Murray	37648
New England and North West	36504
Newcastle and Lake Macquarie	41236
Richmond - Tweed	35464
Riverina	40352
Southern Highlands and Shoalhaven	35516
Sydney - Baulkham Hills and Hawkesbury	51376
Sydney - Blacktown	43316
Sydney - City and Inner South	61048
Sydney - Eastern Suburbs	67392
Sydney - Inner South West	36712
Sydney - Inner West	53664
Sydney - North Sydney and Hornsby	63336
Sydney - Northern Beaches	57668
Sydney - Outer South West	41808
Sydney - Outer West and Blue Mountains	44356
Sydney - Parramatta	38532
Sydney - Ryde	51064
Sydney - South West	32240
Sydney - Sutherland	52884
Migratory - Offshore - Shipping (NSW)	85748
No usual address (NSW)	
Ballarat	36660
Bendigo	37908
Geelong	40924
Hume	38168
Latrobe - Gippsland	33956
Melbourne - Inner	59124
Melbourne - Inner East	45396
Melbourne - Inner South	53144
Melbourne - North East	41964
Melbourne - North West	38064
Melbourne - Outer East	42432
Melbourne - South East	38740
Melbourne - West	40872
Mornington Peninsula	40560
North West	35776
Shepparton	35308
Warrnambool and South West	37180
Migratory - Offshore - Shipping (Vic.)	114400
No usual address (Vic.)	
Brisbane - East	43524
Brisbane - North	48464
Brisbane - South	45500
Brisbane - West	50388
Brisbane Inner City	58864
Cairns	38896
Darling Downs - Maranoa	35048
Central Queensland	40872
Gold Coast	40820
Ipswich	38948
Logan - Beaudesert	37960
Mackay - Isaac - Whitsunday	45656
Moreton Bay - North	35100
Moreton Bay - South	46176
Queensland - Outback	41028
Sunshine Coast	39000
Toowoomba	39416
Townsville	42952
Wide Bay	28964
Migratory - Offshore - Shipping (Qld)	62192
No usual address (Qld)	
Adelaide - Central and Hills	45396
Adelaide - North	36036
Adelaide - South	39936
Adelaide - West	39780
Barossa - Yorke - Mid North	32604
South Australia - Outback	36608
South Australia - South East	33176
Migratory - Offshore - Shipping (SA)	94224
No usual address (SA)	
Bunbury	38428
Mandurah	32760
Perth - Inner	59488
Perth - North East	43992
Perth - North West	45292
Perth - South East	42692
Perth - South West	45292
Western Australia - Wheat Belt	37336
Western Australia - Outback (North)	66612
Western Australia - Outback (South)	45604
Migratory - Offshore - Shipping (WA)	110396
No usual address (WA)	
Hobart	40352
Launceston and North East	34528
South East	31720
West and North West	33020
Migratory - Offshore - Shipping (Tas.)	116948
No usual address (Tas.)	
Darwin	58240
Northern Territory - Outback	28028
Migratory - Offshore - Shipping (NT)	76856
No usual address (NT)	
Australian Capital Territory	62608
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	43212
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
