SA4_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Capital Region			167
Capital Region		1951	158
Capital Region		1960	450
Capital Region		1970	778
Capital Region		1980	739
Capital Region		1990	565
Capital Region		2000	424
Capital Region		2010	645
Capital Region		2015	352
Capital Region		2016	99
Capital Region		2017	86
Capital Region		2018	91
Capital Region		2019	157
Capital Region		2020	62
Capital Region		2021	50
Capital Region	AFG		3
Capital Region	AFG	1990	5
Capital Region	AFG	2000	3
Capital Region	AFG	2010	14
Capital Region	AFG	2015	11
Capital Region	AFG	2020	4
Capital Region	BGD		4
Capital Region	BGD	1980	4
Capital Region	BGD	2000	11
Capital Region	BGD	2010	61
Capital Region	BGD	2015	56
Capital Region	BGD	2016	21
Capital Region	BGD	2017	24
Capital Region	BGD	2018	23
Capital Region	BGD	2019	41
Capital Region	CAN		12
Capital Region	CAN	1960	11
Capital Region	CAN	1970	39
Capital Region	CAN	1980	75
Capital Region	CAN	1990	61
Capital Region	CAN	2000	62
Capital Region	CAN	2010	89
Capital Region	CAN	2015	54
Capital Region	CAN	2016	12
Capital Region	CAN	2017	9
Capital Region	CAN	2018	8
Capital Region	CAN	2019	15
Capital Region	CAN	2020	6
Capital Region	CAN	2021	5
Capital Region	CHN		31
Capital Region	CHN	1951	13
Capital Region	CHN	1960	14
Capital Region	CHN	1970	16
Capital Region	CHN	1980	11
Capital Region	CHN	1990	40
Capital Region	CHN	2000	72
Capital Region	CHN	2010	170
Capital Region	CHN	2015	90
Capital Region	CHN	2016	28
Capital Region	CHN	2017	31
Capital Region	CHN	2018	14
Capital Region	CHN	2019	93
Capital Region	CHN	2020	14
Capital Region	CHN	2021	14
Capital Region	DEU		42
Capital Region	DEU	1951	170
Capital Region	DEU	1960	342
Capital Region	DEU	1970	205
Capital Region	DEU	1980	114
Capital Region	DEU	1990	122
Capital Region	DEU	2000	76
Capital Region	DEU	2010	84
Capital Region	DEU	2015	38
Capital Region	DEU	2016	6
Capital Region	DEU	2018	7
Capital Region	DEU	2019	13
Capital Region	DEU	2020	4
Capital Region	EGY		7
Capital Region	EGY	1951	3
Capital Region	EGY	1960	18
Capital Region	EGY	1970	17
Capital Region	EGY	1980	4
Capital Region	EGY	1990	6
Capital Region	EGY	2000	6
Capital Region	EGY	2010	21
Capital Region	EGY	2015	9
Capital Region	EGY	2017	10
Capital Region	EGY	2019	8
Capital Region	EGY	2020	3
Capital Region	FJI		14
Capital Region	FJI	1960	7
Capital Region	FJI	1970	10
Capital Region	FJI	1980	29
Capital Region	FJI	1990	43
Capital Region	FJI	2000	51
Capital Region	FJI	2010	71
Capital Region	FJI	2015	23
Capital Region	FJI	2016	6
Capital Region	FJI	2017	9
Capital Region	FJI	2018	19
Capital Region	FJI	2019	17
Capital Region	FJI	2020	6
Capital Region	FJI	2021	4
Capital Region	GBR		359
Capital Region	GBR	1951	317
Capital Region	GBR	1960	1137
Capital Region	GBR	1970	2629
Capital Region	GBR	1980	1532
Capital Region	GBR	1990	1016
Capital Region	GBR	2000	582
Capital Region	GBR	2010	847
Capital Region	GBR	2015	392
Capital Region	GBR	2016	35
Capital Region	GBR	2017	41
Capital Region	GBR	2018	35
Capital Region	GBR	2019	70
Capital Region	GBR	2020	25
Capital Region	GBR	2021	11
Capital Region	GRC		9
Capital Region	GRC	1951	11
Capital Region	GRC	1960	61
Capital Region	GRC	1970	143
Capital Region	GRC	1980	28
Capital Region	GRC	1990	12
Capital Region	GRC	2000	7
Capital Region	GRC	2010	3
Capital Region	GRC	2015	6
Capital Region	HKG		7
Capital Region	HKG	1951	3
Capital Region	HKG	1960	12
Capital Region	HKG	1970	16
Capital Region	HKG	1980	24
Capital Region	HKG	1990	27
Capital Region	HKG	2000	14
Capital Region	HKG	2010	18
Capital Region	HKG	2015	11
Capital Region	HKG	2016	4
Capital Region	HKG	2018	3
Capital Region	HKG	2019	3
Capital Region	HKG	2020	7
Capital Region	HRV		10
Capital Region	HRV	1951	10
Capital Region	HRV	1960	68
Capital Region	HRV	1970	191
Capital Region	HRV	1980	61
Capital Region	HRV	1990	21
Capital Region	HRV	2000	26
Capital Region	HRV	2010	3
Capital Region	HRV	2015	7
Capital Region	HRV	2017	5
Capital Region	IDN		8
Capital Region	IDN	1951	3
