SA4_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Capital Region	15-19		F	360
Capital Region	15-19		M	417
Capital Region	15-19	Did not go to school	F	3
Capital Region	15-19	Did not go to school	M	4
Capital Region	15-19	Year 8 or below	F	29
Capital Region	15-19	Year 8 or below	M	58
Capital Region	15-19	Year 9	F	129
Capital Region	15-19	Year 9	M	200
Capital Region	15-19	Year 10	F	462
Capital Region	15-19	Year 10	M	870
Capital Region	15-19	Year 11	F	285
Capital Region	15-19	Year 11	M	395
Capital Region	15-19	Year 12	F	1313
Capital Region	15-19	Year 12	M	1111
Capital Region	20-24		F	334
Capital Region	20-24		M	430
Capital Region	20-24	Did not go to school	F	4
Capital Region	20-24	Did not go to school	M	11
Capital Region	20-24	Year 8 or below	F	17
Capital Region	20-24	Year 8 or below	M	25
Capital Region	20-24	Year 9	F	66
Capital Region	20-24	Year 9	M	148
Capital Region	20-24	Year 10	F	569
Capital Region	20-24	Year 10	M	920
Capital Region	20-24	Year 11	F	406
Capital Region	20-24	Year 11	M	582
Capital Region	20-24	Year 12	F	3787
Capital Region	20-24	Year 12	M	3554
Capital Region	25-34		F	901
Capital Region	25-34		M	1214
Capital Region	25-34	Did not go to school	F	23
Capital Region	25-34	Did not go to school	M	33
Capital Region	25-34	Year 8 or below	F	88
Capital Region	25-34	Year 8 or below	M	151
Capital Region	25-34	Year 9	F	261
Capital Region	25-34	Year 9	M	358
Capital Region	25-34	Year 10	F	1770
Capital Region	25-34	Year 10	M	2660
Capital Region	25-34	Year 11	F	784
Capital Region	25-34	Year 11	M	939
Capital Region	25-34	Year 12	F	9667
Capital Region	25-34	Year 12	M	7897
Capital Region	35-44		F	889
Capital Region	35-44		M	1028
Capital Region	35-44	Did not go to school	F	31
Capital Region	35-44	Did not go to school	M	33
Capital Region	35-44	Year 8 or below	F	123
Capital Region	35-44	Year 8 or below	M	192
Capital Region	35-44	Year 9	F	314
Capital Region	35-44	Year 9	M	407
Capital Region	35-44	Year 10	F	1873
Capital Region	35-44	Year 10	M	2727
Capital Region	35-44	Year 11	F	841
Capital Region	35-44	Year 11	M	920
Capital Region	35-44	Year 12	F	9881
Capital Region	35-44	Year 12	M	7850
Capital Region	45-54		F	922
Capital Region	45-54		M	1200
Capital Region	45-54	Did not go to school	F	30
Capital Region	45-54	Did not go to school	M	45
Capital Region	45-54	Year 8 or below	F	179
Capital Region	45-54	Year 8 or below	M	337
Capital Region	45-54	Year 9	F	485
Capital Region	45-54	Year 9	M	663
Capital Region	45-54	Year 10	F	4025
Capital Region	45-54	Year 10	M	4473
Capital Region	45-54	Year 11	F	1090
Capital Region	45-54	Year 11	M	1119
Capital Region	45-54	Year 12	F	9301
Capital Region	45-54	Year 12	M	7577
Capital Region	55-64		F	1152
Capital Region	55-64		M	1346
Capital Region	55-64	Did not go to school	F	46
Capital Region	55-64	Did not go to school	M	56
Capital Region	55-64	Year 8 or below	F	438
Capital Region	55-64	Year 8 or below	M	631
Capital Region	55-64	Year 9	F	975
Capital Region	55-64	Year 9	M	1111
Capital Region	55-64	Year 10	F	6026
Capital Region	55-64	Year 10	M	6486
Capital Region	55-64	Year 11	F	1279
Capital Region	55-64	Year 11	M	1184
Capital Region	55-64	Year 12	F	7924
Capital Region	55-64	Year 12	M	6710
Capital Region	65-74		F	1183
Capital Region	65-74		M	1264
Capital Region	65-74	Did not go to school	F	66
Capital Region	65-74	Did not go to school	M	83
Capital Region	65-74	Year 8 or below	F	955
Capital Region	65-74	Year 8 or below	M	1188
Capital Region	65-74	Year 9	F	1581
Capital Region	65-74	Year 9	M	1670
Capital Region	65-74	Year 10	F	5185
Capital Region	65-74	Year 10	M	4440
Capital Region	65-74	Year 11	F	913
Capital Region	65-74	Year 11	M	804
Capital Region	65-74	Year 12	F	5620
Capital Region	65-74	Year 12	M	6315
Capital Region	75-84		F	897
