SA4_NAME16	PrivateDwelling	Sex	persons
Capital Region	0	F	12379
Capital Region	0	M	14620
Capital Region	1	F	110231
Capital Region	1	M	108345
Central Coast	0	F	10620
Central Coast	0	M	9238
Central Coast	1	F	167893
Central Coast	1	M	158003
Central West	0	F	9439
Central West	0	M	11805
Central West	1	F	97647
Central West	1	M	95395
Coffs Harbour - Grafton	0	F	6866
Coffs Harbour - Grafton	0	M	7516
Coffs Harbour - Grafton	1	F	68816
Coffs Harbour - Grafton	1	M	64798
Far West and Orana	0	F	8153
Far West and Orana	0	M	9135
Far West and Orana	1	F	51007
Far West and Orana	1	M	49251
Hunter Valley exc Newcastle	0	F	7943
Hunter Valley exc Newcastle	0	M	10667
Hunter Valley exc Newcastle	1	F	138693
Hunter Valley exc Newcastle	1	M	133955
Illawarra	0	F	8355
Illawarra	0	M	7785
Illawarra	1	F	150730
Illawarra	1	M	145296
Mid North Coast	0	F	10192
Mid North Coast	0	M	10308
Mid North Coast	1	F	108801
Mid North Coast	1	M	102003
Murray	0	F	5679
Murray	0	M	5937
Murray	1	F	56525
Murray	1	M	54508
New England and North West	0	F	10931
New England and North West	0	M	11608
New England and North West	1	F	83762
New England and North West	1	M	80689
Newcastle and Lake Macquarie	0	F	10983
Newcastle and Lake Macquarie	0	M	10176
Newcastle and Lake Macquarie	1	F	186948
Newcastle and Lake Macquarie	1	M	178655
Richmond - Tweed	0	F	12574
Richmond - Tweed	0	M	12065
Richmond - Tweed	1	F	121031
Richmond - Tweed	1	M	113185
Riverina	0	F	7709
Riverina	0	M	9928
Riverina	1	F	74923
Riverina	1	M	72367
Southern Highlands and Shoalhaven	0	F	6392
Southern Highlands and Shoalhaven	0	M	7109
Southern Highlands and Shoalhaven	1	F	76259
Southern Highlands and Shoalhaven	1	M	72164
Sydney - Baulkham Hills and Hawkesbury	0	F	4406
Sydney - Baulkham Hills and Hawkesbury	0	M	3744
Sydney - Baulkham Hills and Hawkesbury	1	F	129044
Sydney - Baulkham Hills and Hawkesbury	1	M	126435
Sydney - Blacktown	0	F	10470
Sydney - Blacktown	0	M	11322
Sydney - Blacktown	1	F	190326
Sydney - Blacktown	1	M	188426
Sydney - City and Inner South	0	F	15216
Sydney - City and Inner South	0	M	21126
Sydney - City and Inner South	1	F	145636
