SA4_NAME16	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Capital Region			Couple family with children	59
Capital Region			Couple family with no children	75
Capital Region			Group household	17
Capital Region			Lone-person household	172
Capital Region			One parent family with children	19
Capital Region			Other family	5
Capital Region	(Other)	Cabin household	Couple family with children	21
Capital Region	(Other)	Cabin household	Couple family with no children	108
Capital Region	(Other)	Cabin household	Group household	11
Capital Region	(Other)	Cabin household	Lone-person household	257
Capital Region	(Other)	Cabin household	One parent family with children	13
Capital Region	(Other)	Caravan	Couple family with children	15
Capital Region	(Other)	Caravan	Couple family with no children	65
Capital Region	(Other)	Caravan	Group household	13
Capital Region	(Other)	Caravan	Lone-person household	150
Capital Region	(Other)	Caravan	One parent family with children	19
Capital Region	(Other)	House or flat attached to a shop, office, etc	Couple family with children	31
Capital Region	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	49
Capital Region	(Other)	House or flat attached to a shop, office, etc	Group household	10
Capital Region	(Other)	House or flat attached to a shop, office, etc	Lone-person household	66
Capital Region	(Other)	House or flat attached to a shop, office, etc	One parent family with children	16
Capital Region	(Other)	House or flat attached to a shop, office, etc	Other family	6
Capital Region	(Other)	Improvised home, tent sleepers	Couple family with no children	4
Capital Region	(Other)	Improvised home, tent sleepers	Lone-person household	15
Capital Region	(Other)	Improvised home, tent sleepers	One parent family with children	6
Capital Region	Flat/apartment		Couple family with children	20
Capital Region	Flat/apartment		Couple family with no children	20
Capital Region	Flat/apartment		Group household	7
Capital Region	Flat/apartment		Lone-person household	56
Capital Region	Flat/apartment		One parent family with children	14
Capital Region	Flat/apartment		Other family	4
Capital Region	Flat/apartment	1 or 2 storey block	Couple family with children	264
Capital Region	Flat/apartment	1 or 2 storey block	Couple family with no children	574
Capital Region	Flat/apartment	1 or 2 storey block	Group household	198
Capital Region	Flat/apartment	1 or 2 storey block	Lone-person household	2158
Capital Region	Flat/apartment	1 or 2 storey block	One parent family with children	298
Capital Region	Flat/apartment	1 or 2 storey block	Other family	32
Capital Region	Flat/apartment	3 storey block	Couple family with children	75
Capital Region	Flat/apartment	3 storey block	Couple family with no children	142
Capital Region	Flat/apartment	3 storey block	Group household	55
Capital Region	Flat/apartment	3 storey block	Lone-person household	436
Capital Region	Flat/apartment	3 storey block	One parent family with children	48
Capital Region	Flat/apartment	3 storey block	Other family	8
Capital Region	Flat/apartment	4-8 storey block	Couple family with children	123
Capital Region	Flat/apartment	4-8 storey block	Couple family with no children	210
Capital Region	Flat/apartment	4-8 storey block	Group household	43
Capital Region	Flat/apartment	4-8 storey block	Lone-person household	535
Capital Region	Flat/apartment	4-8 storey block	One parent family with children	59
Capital Region	Flat/apartment	4-8 storey block	Other family	17
Capital Region	Flat/apartment	9 or more storey block	Couple family with children	7
Capital Region	Flat/apartment	9 or more storey block	Couple family with no children	20
Capital Region	Flat/apartment	9 or more storey block	Group household	3
Capital Region	Flat/apartment	9 or more storey block	Lone-person household	40
Capital Region	Flat/apartment	9 or more storey block	One parent family with children	7
Capital Region	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	468
Capital Region	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	723
Capital Region	Semi-detached, row/terrace house, townhouse etc.		Group household	144
Capital Region	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	1371
Capital Region	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	313
Capital Region	Semi-detached, row/terrace house, townhouse etc.		Other family	33
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	521
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	966
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	124
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	2855
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	484
Capital Region	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	45
Capital Region	Separate house		Couple family with children	22754
Capital Region	Separate house		Couple family with no children	25856
Capital Region	Separate house		Group household	1662
Capital Region	Separate house		Lone-person household	17787
Capital Region	Separate house		One parent family with children	7692
Capital Region	Separate house		Other family	585
Central Coast			Couple family with children	36
Central Coast			Couple family with no children	54
Central Coast			Group household	5
Central Coast			Lone-person household	154
Central Coast			One parent family with children	25
Central Coast	(Other)	Cabin household	Couple family with children	24
Central Coast	(Other)	Cabin household	Couple family with no children	83
Central Coast	(Other)	Cabin household	Group household	25
Central Coast	(Other)	Cabin household	Lone-person household	293
Central Coast	(Other)	Cabin household	One parent family with children	60
Central Coast	(Other)	Caravan	Couple family with children	13
Central Coast	(Other)	Caravan	Couple family with no children	70
Central Coast	(Other)	Caravan	Group household	16
Central Coast	(Other)	Caravan	Lone-person household	224
Central Coast	(Other)	Caravan	One parent family with children	20
Central Coast	(Other)	House or flat attached to a shop, office, etc	Couple family with children	20
Central Coast	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	29
Central Coast	(Other)	House or flat attached to a shop, office, etc	Group household	12
Central Coast	(Other)	House or flat attached to a shop, office, etc	Lone-person household	60
Central Coast	(Other)	House or flat attached to a shop, office, etc	One parent family with children	18
Central Coast	(Other)	Improvised home, tent sleepers	Couple family with no children	6
Central Coast	(Other)	Improvised home, tent sleepers	Lone-person household	5
Central Coast	(Other)	Improvised home, tent sleepers	One parent family with children	3
Central Coast	Flat/apartment		Couple family with children	63
Central Coast	Flat/apartment		Couple family with no children	117
Central Coast	Flat/apartment		Group household	14
Central Coast	Flat/apartment		Lone-person household	156
