SA4_NAME21	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Capital Region		1	1	0	11
Capital Region		1	1	1800	5
Capital Region		1	1	3600	4
Capital Region		1	1	5400	5
Capital Region		1	1	7200	10
Capital Region		1	1	9600	13
Capital Region		1	1	12000	10
Capital Region		1	1	14400	21
Capital Region		1	1	16800	18
Capital Region		1	1	19200	13
Capital Region		1	1	21600	3
Capital Region		1	1	24000	7
Capital Region		1	1	26400	4
Capital Region		1	1	31200	4
Capital Region		1	1	36000	5
Capital Region		1	1	48000	3
Capital Region	0	1	0	0	59
Capital Region	0	1	0	1800	20
Capital Region	0	1	0	3600	45
Capital Region	0	1	0	5400	43
Capital Region	0	1	0	7200	71
Capital Region	0	1	0	9600	119
Capital Region	0	1	0	12000	137
Capital Region	0	1	0	14400	139
Capital Region	0	1	0	16800	124
Capital Region	0	1	0	19200	113
Capital Region	0	1	0	21600	52
Capital Region	0	1	0	24000	83
Capital Region	0	1	0	26400	49
Capital Region	0	1	0	28800	11
Capital Region	0	1	0	31200	57
Capital Region	0	1	0	36000	73
Capital Region	0	1	0	48000	12
Capital Region	0	1	0	60000	22
Capital Region	0	1	1	0	21
Capital Region	0	1	1	1800	13
Capital Region	0	1	1	3600	22
Capital Region	0	1	1	5400	31
Capital Region	0	1	1	7200	80
Capital Region	0	1	1	9600	99
Capital Region	0	1	1	12000	129
Capital Region	0	1	1	14400	138
Capital Region	0	1	1	16800	141
Capital Region	0	1	1	19200	178
Capital Region	0	1	1	21600	95
Capital Region	0	1	1	24000	128
Capital Region	0	1	1	26400	66
Capital Region	0	1	1	28800	25
Capital Region	0	1	1	31200	91
Capital Region	0	1	1	36000	92
Capital Region	0	1	1	48000	31
Capital Region	0	1	1	60000	20
Capital Region	1	0	0	0	403
Capital Region	1	0	0	1800	134
Capital Region	1	0	0	3600	239
Capital Region	1	0	0	5400	199
Capital Region	1	0	0	7200	366
Capital Region	1	0	0	9600	455
Capital Region	1	0	0	12000	582
Capital Region	1	0	0	14400	592
Capital Region	1	0	0	16800	576
Capital Region	1	0	0	19200	711
Capital Region	1	0	0	21600	493
Capital Region	1	0	0	24000	772
Capital Region	1	0	0	26400	354
Capital Region	1	0	0	28800	285
Capital Region	1	0	0	31200	610
Capital Region	1	0	0	36000	740
Capital Region	1	0	0	48000	290
Capital Region	1	0	0	60000	221
Capital Region	1	1	0	0	117
Capital Region	1	1	0	1800	36
Capital Region	1	1	0	3600	75
Capital Region	1	1	0	5400	67
Capital Region	1	1	0	7200	124
Capital Region	1	1	0	9600	188
Capital Region	1	1	0	12000	214
Capital Region	1	1	0	14400	283
Capital Region	1	1	0	16800	265
Capital Region	1	1	0	19200	311
Capital Region	1	1	0	21600	195
Capital Region	1	1	0	24000	371
Capital Region	1	1	0	26400	148
Capital Region	1	1	0	28800	113
Capital Region	1	1	0	31200	335
Capital Region	1	1	0	36000	424
Capital Region	1	1	0	48000	145
Capital Region	1	1	0	60000	125
Capital Region	1	1	1	0	169
Capital Region	1	1	1	1800	33
Capital Region	1	1	1	3600	88
Capital Region	1	1	1	5400	95
Capital Region	1	1	1	7200	216
Capital Region	1	1	1	9600	347
Capital Region	1	1	1	12000	506
Capital Region	1	1	1	14400	795
Capital Region	1	1	1	16800	804
Capital Region	1	1	1	19200	865
Capital Region	1	1	1	21600	765
Capital Region	1	1	1	24000	1188
Capital Region	1	1	1	26400	591
Capital Region	1	1	1	28800	443
Capital Region	1	1	1	31200	1083
Capital Region	1	1	1	36000	1389
Capital Region	1	1	1	48000	407
Capital Region	1	1	1	60000	291
Central Coast		1	1	0	8
Central Coast		1	1	3600	3
Central Coast		1	1	5400	10
Central Coast		1	1	7200	13
Central Coast		1	1	9600	14
Central Coast		1	1	12000	13
Central Coast		1	1	14400	14
Central Coast		1	1	16800	24
Central Coast		1	1	19200	24
Central Coast		1	1	21600	19
Central Coast		1	1	24000	13
Central Coast		1	1	26400	4
Central Coast		1	1	28800	7
Central Coast		1	1	31200	21
Central Coast		1	1	36000	14
Central Coast		1	1	48000	6
Central Coast	0	1	0	0	98
Central Coast	0	1	0	1800	33
Central Coast	0	1	0	3600	64
Central Coast	0	1	0	5400	78
Central Coast	0	1	0	7200	108
Central Coast	0	1	0	9600	169
Central Coast	0	1	0	12000	189
Central Coast	0	1	0	14400	251
Central Coast	0	1	0	16800	255
Central Coast	0	1	0	19200	278
Central Coast	0	1	0	21600	159
Central Coast	0	1	0	24000	236
Central Coast	0	1	0	26400	104
Central Coast	0	1	0	28800	51
Central Coast	0	1	0	31200	157
Central Coast	0	1	0	36000	122
Central Coast	0	1	0	48000	45
Central Coast	0	1	0	60000	28
Central Coast	0	1	1	0	54
Central Coast	0	1	1	1800	18
Central Coast	0	1	1	3600	31
Central Coast	0	1	1	5400	34
Central Coast	0	1	1	7200	72
