SA4_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Capital Region		5250	11
Capital Region		7875	16
Capital Region		10500	11
Capital Region		11812	10
Capital Region		14437	18
Capital Region		18375	19
Capital Region	(Other)	52	50
Capital Region	(Other)	3937	19
Capital Region	(Other)	5250	88
Capital Region	(Other)	7875	82
Capital Region	(Other)	10500	77
Capital Region	(Other)	11812	204
Capital Region	(Other)	14437	256
Capital Region	(Other)	18375	278
Capital Region	(Other)	23625	61
Capital Region	(Other)	28875	22
Capital Region	(Other)	34125	19
Capital Region	(Other)	39375	9
Capital Region	(Other)	49875	41
Capital Region	Co-op/church group etc	52	4
Capital Region	Co-op/church group etc	3937	22
Capital Region	Co-op/church group etc	5250	113
Capital Region	Co-op/church group etc	7875	233
Capital Region	Co-op/church group etc	10500	80
Capital Region	Co-op/church group etc	11812	132
Capital Region	Co-op/church group etc	14437	78
Capital Region	Co-op/church group etc	18375	39
Capital Region	Person not in same household	52	64
Capital Region	Person not in same household	3937	44
Capital Region	Person not in same household	5250	264
Capital Region	Person not in same household	7875	471
Capital Region	Person not in same household	10500	491
Capital Region	Person not in same household	11812	689
Capital Region	Person not in same household	14437	977
Capital Region	Person not in same household	18375	1094
Capital Region	Person not in same household	23625	474
Capital Region	Person not in same household	28875	189
Capital Region	Person not in same household	34125	69
Capital Region	Person not in same household	39375	48
Capital Region	Person not in same household	44625	12
Capital Region	Person not in same household	49875	37
Capital Region	Real estate agent	52	10
Capital Region	Real estate agent	3937	15
Capital Region	Real estate agent	5250	116
Capital Region	Real estate agent	7875	391
Capital Region	Real estate agent	10500	544
Capital Region	Real estate agent	11812	1553
Capital Region	Real estate agent	14437	2760
Capital Region	Real estate agent	18375	3514
Capital Region	Real estate agent	23625	1630
Capital Region	Real estate agent	28875	558
Capital Region	Real estate agent	34125	321
Capital Region	Real estate agent	39375	130
Capital Region	Real estate agent	44625	29
Capital Region	Real estate agent	49875	50
Capital Region	State or territory housing authority	52	46
Capital Region	State or territory housing authority	3937	91
Capital Region	State or territory housing authority	5250	581
Capital Region	State or territory housing authority	7875	381
Capital Region	State or territory housing authority	10500	153
Capital Region	State or territory housing authority	11812	205
Capital Region	State or territory housing authority	14437	211
Capital Region	State or territory housing authority	18375	108
Capital Region	State or territory housing authority	23625	31
Capital Region	State or territory housing authority	28875	3
Capital Region	State or territory housing authority	34125	5
Central Coast		52	5
Central Coast		5250	10
Central Coast		7875	17
Central Coast		10500	16
Central Coast		11812	18
Central Coast		14437	16
Central Coast		18375	22
Central Coast		23625	16
Central Coast		28875	5
Central Coast		39375	3
Central Coast	(Other)	52	15
Central Coast	(Other)	3937	7
Central Coast	(Other)	5250	69
Central Coast	(Other)	7875	220
Central Coast	(Other)	10500	85
Central Coast	(Other)	11812	109
Central Coast	(Other)	14437	115
Central Coast	(Other)	18375	161
Central Coast	(Other)	23625	49
Central Coast	(Other)	28875	20
Central Coast	(Other)	34125	10
