SA4_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
Capital Region				14331
Capital Region		0	0	472
Capital Region		0	1	89
Capital Region		1	0	92
Capital Region		1	1	1571
Capital Region	Australian			1008
Capital Region	Australian		1	79469
Capital Region	Australian	0	0	1402
Capital Region	Australian	0	1	8007
Capital Region	Australian	1	0	6133
Capital Region	Australian Aboriginal			155
Capital Region	Australian Aboriginal	0	0	28
Capital Region	Australian Aboriginal	0	1	362
Capital Region	Australian Aboriginal	1	0	183
Capital Region	Australian Aboriginal	1	1	8712
Capital Region	Chinese			14
Capital Region	Chinese	0	0	1463
Capital Region	Chinese	0	1	96
Capital Region	Chinese	1	0	155
Capital Region	Chinese	1	1	530
Capital Region	Croatian			18
Capital Region	Croatian	0	0	817
Capital Region	Croatian	0	1	184
Capital Region	Croatian	1	0	79
Capital Region	Croatian	1	1	417
Capital Region	Dutch			31
Capital Region	Dutch	0	0	1663
Capital Region	Dutch	0	1	577
Capital Region	Dutch	1	0	399
Capital Region	Dutch	1	1	1198
Capital Region	English			1088
Capital Region	English	0	0	13171
Capital Region	English	0	1	7383
Capital Region	English	1	0	5657
Capital Region	English	1	1	69262
Capital Region	Filipino			12
Capital Region	Filipino	0	0	1406
Capital Region	Filipino	0	1	66
Capital Region	Filipino	1	0	274
Capital Region	Filipino	1	1	51
Capital Region	French			10
Capital Region	French	0	0	491
Capital Region	French	0	1	122
Capital Region	French	1	0	97
Capital Region	French	1	1	553
Capital Region	German			98
Capital Region	German	0	0	2574
Capital Region	German	0	1	815
Capital Region	German	1	0	657
Capital Region	German	1	1	6373
Capital Region	Greek			19
Capital Region	Greek	0	0	682
Capital Region	Greek	0	1	192
Capital Region	Greek	1	0	87
Capital Region	Greek	1	1	566
Capital Region	Hungarian			7
Capital Region	Hungarian	0	0	414
Capital Region	Hungarian	0	1	126
Capital Region	Hungarian	1	0	60
Capital Region	Hungarian	1	1	192
Capital Region	Indian	0	0	1962
Capital Region	Indian	0	1	75
Capital Region	Indian	1	0	61
Capital Region	Indian	1	1	70
Capital Region	Irish			280
Capital Region	Irish	0	0	2698
Capital Region	Irish	0	1	1752
Capital Region	Irish	1	0	1228
Capital Region	Irish	1	1	25081
Capital Region	Italian			58
Capital Region	Italian	0	0	2091
Capital Region	Italian	0	1	760
Capital Region	Italian	1	0	315
Capital Region	Italian	1	1	3005
Capital Region	Korean			5
Capital Region	Korean	0	0	191
Capital Region	Korean	0	1	13
Capital Region	Korean	1	0	29
Capital Region	Korean	1	1	7
Capital Region	Lebanese			8
Capital Region	Lebanese	0	0	384
Capital Region	Lebanese	0	1	138
Capital Region	Lebanese	1	0	57
Capital Region	Lebanese	1	1	256
Capital Region	Macedonian			17
Capital Region	Macedonian	0	0	991
Capital Region	Macedonian	0	1	162
Capital Region	Macedonian	1	0	76
Capital Region	Macedonian	1	1	215
Capital Region	Maltese			15
Capital Region	Maltese	0	0	517
Capital Region	Maltese	0	1	186
Capital Region	Maltese	1	0	91
Capital Region	Maltese	1	1	578
Capital Region	Maori			7
Capital Region	Maori	0	0	449
Capital Region	Maori	0	1	193
Capital Region	Maori	1	0	140
Capital Region	Maori	1	1	146
Capital Region	NZ			4
Capital Region	NZ	0	0	615
Capital Region	NZ	0	1	338
Capital Region	NZ	1	0	256
Capital Region	NZ	1	1	213
Capital Region	(Other)			149
Capital Region	(Other)	0	0	9971
Capital Region	(Other)	0	1	1801
Capital Region	(Other)	1	0	1402
Capital Region	(Other)	1	1	3066
Capital Region	Polish			20
Capital Region	Polish	0	0	828
Capital Region	Polish	0	1	190
Capital Region	Polish	1	0	129
Capital Region	Polish	1	1	465
Capital Region	Russian			9
Capital Region	Russian	0	0	360
Capital Region	Russian	0	1	78
Capital Region	Russian	1	0	54
Capital Region	Russian	1	1	178
Capital Region	Samoan	0	0	179
Capital Region	Samoan	0	1	66
Capital Region	Samoan	1	0	16
Capital Region	Samoan	1	1	24
Capital Region	Scottish			163
Capital Region	Scottish	0	0	3409
Capital Region	Scottish	0	1	1930
Capital Region	Scottish	1	0	1496
Capital Region	Scottish	1	1	19202
Capital Region	Serbian			6
Capital Region	Serbian	0	0	533
Capital Region	Serbian	0	1	93
Capital Region	Serbian	1	0	63
Capital Region	Serbian	1	1	120
Capital Region	South African	0	0	406
Capital Region	South African	0	1	88
Capital Region	South African	1	0	68
Capital Region	South African	1	1	59
Capital Region	Spanish			4
Capital Region	Spanish	0	0	432
Capital Region	Spanish	0	1	45
Capital Region	Spanish	1	0	57
Capital Region	Spanish	1	1	211
Capital Region	Sri Lankan	0	0	141
Capital Region	Sri Lankan	0	1	28
