SA4_NAME21	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Capital Region	15-19				F	492
Capital Region	15-19				M	594
Capital Region	15-19	0			F	5109
Capital Region	15-19	0			M	5832
Capital Region	15-19	1	0	1	F	446
Capital Region	15-19	1	0	1	M	244
Capital Region	15-19	1	1	0	F	43
Capital Region	15-19	1	1	0	M	25
Capital Region	15-19	1	1	1	F	5
Capital Region	20-24				F	366
Capital Region	20-24				M	456
Capital Region	20-24	0			F	3958
Capital Region	20-24	0			M	4818
Capital Region	20-24	1	0	1	F	348
Capital Region	20-24	1	0	1	M	171
Capital Region	20-24	1	1	0	F	506
Capital Region	20-24	1	1	0	M	217
Capital Region	20-24	1	1	1	F	31
Capital Region	20-24	1	1	1	M	10
Capital Region	25-34				F	924
Capital Region	25-34				M	1256
Capital Region	25-34	0			F	6233
Capital Region	25-34	0			M	7971
Capital Region	25-34	1	0	1	F	538
Capital Region	25-34	1	0	1	M	326
Capital Region	25-34	1	1	0	F	5509
Capital Region	25-34	1	1	0	M	3612
Capital Region	25-34	1	1	1	F	295
Capital Region	25-34	1	1	1	M	89
Capital Region	35-44				F	895
Capital Region	35-44				M	1030
Capital Region	35-44	0			F	4053
Capital Region	35-44	0			M	4881
Capital Region	35-44	1	0	1	F	409
Capital Region	35-44	1	0	1	M	269
Capital Region	35-44	1	1	0	F	8145
Capital Region	35-44	1	1	0	M	6770
Capital Region	35-44	1	1	1	F	453
Capital Region	35-44	1	1	1	M	211
Capital Region	45-54				F	913
Capital Region	45-54				M	1168
Capital Region	45-54	0			F	9664
Capital Region	45-54	0			M	9191
Capital Region	45-54	1	0	1	F	1104
Capital Region	45-54	1	0	1	M	459
Capital Region	45-54	1	1	0	F	4163
Capital Region	45-54	1	1	0	M	4447
Capital Region	45-54	1	1	1	F	197
Capital Region	45-54	1	1	1	M	148
Capital Region	55-64				F	1077
Capital Region	55-64				M	1279
Capital Region	55-64	0			F	13409
Capital Region	55-64	0			M	14020
Capital Region	55-64	1	0	1	F	2926
Capital Region	55-64	1	0	1	M	1284
Capital Region	55-64	1	1	0	F	390
Capital Region	55-64	1	1	0	M	927
Capital Region	55-64	1	1	1	F	29
Capital Region	55-64	1	1	1	M	28
Capital Region	65-74				F	1005
Capital Region	65-74				M	1084
Capital Region	65-74	0			F	12186
Capital Region	65-74	0			M	13033
Capital Region	65-74	1	0	1	F	2205
Capital Region	65-74	1	0	1	M	1428
Capital Region	65-74	1	1	0	F	98
Capital Region	65-74	1	1	0	M	197
Capital Region	65-74	1	1	1	F	18
Capital Region	65-74	1	1	1	M	11
Capital Region	75-84				F	704
Capital Region	75-84				M	634
Capital Region	75-84	0			F	7151
Capital Region	75-84	0			M	6975
Capital Region	75-84	1	0	1	F	373
Capital Region	75-84	1	0	1	M	267
Capital Region	75-84	1	1	0	F	26
Capital Region	75-84	1	1	0	M	23
Capital Region	75-84	1	1	1	F	5
Capital Region	75-84	1	1	1	M	5
Capital Region	85+				F	435
Capital Region	85+				M	272
Capital Region	85+	0			F	2977
Capital Region	85+	0			M	2039
Capital Region	85+	1	0	1	F	35
Capital Region	85+	1	0	1	M	12
Capital Region	85+	1	1	0	F	3
Capital Region	85+	1	1	0	M	6
Central Coast	15-19				F	511
Central Coast	15-19				M	597
Central Coast	15-19	0			F	8553
Central Coast	15-19	0			M	9489
Central Coast	15-19	1	0	1	F	616
Central Coast	15-19	1	0	1	M	396
Central Coast	15-19	1	1	0	F	70
Central Coast	15-19	1	1	0	M	34
Central Coast	15-19	1	1	1	F	5
Central Coast	15-19	1	1	1	M	5
Central Coast	20-24				F	485
Central Coast	20-24				M	481
Central Coast	20-24	0			F	7334
Central Coast	20-24	0			M	8267
Central Coast	20-24	1	0	1	F	465
Central Coast	20-24	1	0	1	M	248
Central Coast	20-24	1	1	0	F	800
Central Coast	20-24	1	1	0	M	385
Central Coast	20-24	1	1	1	F	24
Central Coast	25-34				F	1093
Central Coast	25-34				M	1157
Central Coast	25-34	0			F	9246
Central Coast	25-34	0			M	11771
Central Coast	25-34	1	0	1	F	603
Central Coast	25-34	1	0	1	M	397
Central Coast	25-34	1	1	0	F	8293
Central Coast	25-34	1	1	0	M	5174
Central Coast	25-34	1	1	1	F	270
Central Coast	25-34	1	1	1	M	121
Central Coast	35-44				F	1081
Central Coast	35-44				M	1072
Central Coast	35-44	0			F	5253
Central Coast	35-44	0			M	6964
Central Coast	35-44	1	0	1	F	402
Central Coast	35-44	1	0	1	M	307
Central Coast	35-44	1	1	0	F	14319
Central Coast	35-44	1	1	0	M	11352
Central Coast	35-44	1	1	1	F	388
Central Coast	35-44	1	1	1	M	210
Central Coast	45-54				F	979
Central Coast	45-54				M	1134
Central Coast	45-54	0			F	13260
Central Coast	45-54	0			M	12473
Central Coast	45-54	1	0	1	F	1126
Central Coast	45-54	1	0	1	M	527
Central Coast	45-54	1	1	0	F	7255
Central Coast	45-54	1	1	0	M	7127
Central Coast	45-54	1	1	1	F	179
Central Coast	45-54	1	1	1	M	134
Central Coast	55-64				F	987
Central Coast	55-64				M	1000
Central Coast	55-64	0			F	18571
Central Coast	55-64	0			M	17681
Central Coast	55-64	1	0	1	F	3425
Central Coast	55-64	1	0	1	M	1339
Central Coast	55-64	1	1	0	F	580
Central Coast	55-64	1	1	0	M	1240
Central Coast	55-64	1	1	1	F	40
Central Coast	55-64	1	1	1	M	24
Central Coast	65-74				F	1188
Central Coast	65-74				M	1000
Central Coast	65-74	0			F	17855
Central Coast	65-74	0			M	16138
Central Coast	65-74	1	0	1	F	2598
Central Coast	65-74	1	0	1	M	1538
Central Coast	65-74	1	1	0	F	119
Central Coast	65-74	1	1	0	M	205
Central Coast	65-74	1	1	1	F	32
Central Coast	65-74	1	1	1	M	17
Central Coast	75-84				F	1369
Central Coast	75-84				M	966
Central Coast	75-84	0			F	12075
Central Coast	75-84	0			M	10554
Central Coast	75-84	1	0	1	F	372
Central Coast	75-84	1	0	1	M	293
Central Coast	75-84	1	1	0	F	32
Central Coast	75-84	1	1	0	M	38
Central Coast	75-84	1	1	1	M	6
Central Coast	85+				F	1448
Central Coast	85+				M	702
Central Coast	85+	0			F	5133
Central Coast	85+	0			M	3215
Central Coast	85+	1	0	1	F	25
Central Coast	85+	1	0	1	M	12
Central Coast	85+	1	1	0	F	8
Central Coast	85+	1	1	0	M	9
Central West	15-19				F	499
Central West	15-19				M	630
Central West	15-19	0			F	4921
Central West	15-19	0			M	5751
Central West	15-19	1	0	1	F	516
Central West	15-19	1	0	1	M	281
Central West	15-19	1	1	0	F	65
Central West	15-19	1	1	0	M	18
Central West	15-19	1	1	1	M	5
Central West	20-24				F	400
Central West	20-24				M	640
Central West	20-24	0			F	3885
Central West	20-24	0			M	4668
Central West	20-24	1	0	1	F	371
Central West	20-24	1	0	1	M	168
Central West	20-24	1	1	0	F	659
Central West	20-24	1	1	0	M	315
Central West	20-24	1	1	1	F	42
Central West	20-24	1	1	1	M	16
Central West	25-34				F	863
Central West	25-34				M	1367
Central West	25-34	0			F	5149
Central West	25-34	0			M	6560
Central West	25-34	1	0	1	F	505
Central West	25-34	1	0	1	M	317
Central West	25-34	1	1	0	F	5689
Central West	25-34	1	1	0	M	3905
Central West	25-34	1	1	1	F	386
Central West	25-34	1	1	1	M	121
Central West	35-44				F	844
Central West	35-44				M	1291
Central West	35-44	0			F	3180
Central West	35-44	0			M	4089
Central West	35-44	1	0	1	F	395
Central West	35-44	1	0	1	M	262
Central West	35-44	1	1	0	F	7343
Central West	35-44	1	1	0	M	6112
Central West	35-44	1	1	1	F	425
Central West	35-44	1	1	1	M	184
Central West	45-54				F	869
Central West	45-54				M	1114
Central West	45-54	0			F	7803
Central West	45-54	0			M	7648
Central West	45-54	1	0	1	F	1162
Central West	45-54	1	0	1	M	436
Central West	45-54	1	1	0	F	3381
Central West	45-54	1	1	0	M	3538
Central West	45-54	1	1	1	F	146
Central West	45-54	1	1	1	M	112
Central West	55-64				F	843
Central West	55-64				M	1093
Central West	55-64	0			F	10160
Central West	55-64	0			M	11037
Central West	55-64	1	0	1	F	2678
Central West	55-64	1	0	1	M	1100
Central West	55-64	1	1	0	F	300
Central West	55-64	1	1	0	M	654
Central West	55-64	1	1	1	F	29
Central West	55-64	1	1	1	M	27
Central West	65-74				F	785
Central West	65-74				M	941
Central West	65-74	0			F	9513
Central West	65-74	0			M	10214
Central West	65-74	1	0	1	F	1874
Central West	65-74	1	0	1	M	1108
Central West	65-74	1	1	0	F	71
Central West	65-74	1	1	0	M	114
Central West	65-74	1	1	1	F	10
Central West	65-74	1	1	1	M	11
Central West	75-84				F	676
Central West	75-84				M	623
Central West	75-84	0			F	6474
Central West	75-84	0			M	6087
Central West	75-84	1	0	1	F	334
Central West	75-84	1	0	1	M	238
Central West	75-84	1	1	0	F	23
Central West	75-84	1	1	0	M	17
Central West	85+				F	394
Central West	85+				M	217
Central West	85+	0			F	2989
Central West	85+	0			M	1854
Central West	85+	1	0	1	F	28
Central West	85+	1	0	1	M	18
Central West	85+	1	1	0	F	8
Central West	85+	1	1	0	M	3
Coffs Harbour - Grafton	15-19				F	324
Coffs Harbour - Grafton	15-19				M	366
Coffs Harbour - Grafton	15-19	0			F	3183
Coffs Harbour - Grafton	15-19	0			M	3537
Coffs Harbour - Grafton	15-19	1	0	1	F	303
Coffs Harbour - Grafton	15-19	1	0	1	M	169
Coffs Harbour - Grafton	15-19	1	1	0	F	39
Coffs Harbour - Grafton	15-19	1	1	0	M	27
Coffs Harbour - Grafton	20-24				F	234
Coffs Harbour - Grafton	20-24				M	360
Coffs Harbour - Grafton	20-24	0			F	2268
Coffs Harbour - Grafton	20-24	0			M	2632
Coffs Harbour - Grafton	20-24	1	0	1	F	207
Coffs Harbour - Grafton	20-24	1	0	1	M	116
