SA4_NAME21	Age	HoursHousekeeping	Sex	adults
Capital Region	15-19		F	476
Capital Region	15-19		M	582
Capital Region	15-19	0	F	1750
Capital Region	15-19	0	M	2437
Capital Region	15-19	<5	F	2991
Capital Region	15-19	<5	M	3012
Capital Region	15-19	5-14	F	746
Capital Region	15-19	5-14	M	583
Capital Region	15-19	15-29	F	96
Capital Region	15-19	15-29	M	66
Capital Region	15-19	30+	F	28
Capital Region	15-19	30+	M	21
Capital Region	20-24		F	372
Capital Region	20-24		M	457
Capital Region	20-24	0	F	1179
Capital Region	20-24	0	M	2001
Capital Region	20-24	<5	F	1633
Capital Region	20-24	<5	M	2048
Capital Region	20-24	5-14	F	1457
Capital Region	20-24	5-14	M	947
Capital Region	20-24	15-29	F	330
Capital Region	20-24	15-29	M	153
Capital Region	20-24	30+	F	223
Capital Region	20-24	30+	M	74
Capital Region	25-34		F	949
Capital Region	25-34		M	1278
Capital Region	25-34	0	F	1888
Capital Region	25-34	0	M	3213
Capital Region	25-34	<5	F	2040
Capital Region	25-34	<5	M	3784
Capital Region	25-34	5-14	F	4416
Capital Region	25-34	5-14	M	3769
Capital Region	25-34	15-29	F	2052
Capital Region	25-34	15-29	M	869
Capital Region	25-34	30+	F	2164
Capital Region	25-34	30+	M	332
Capital Region	35-44		F	907
Capital Region	35-44		M	1057
Capital Region	35-44	0	F	1315
Capital Region	35-44	0	M	2199
Capital Region	35-44	<5	F	1365
Capital Region	35-44	<5	M	3183
Capital Region	35-44	5-14	F	4811
Capital Region	35-44	5-14	M	4620
Capital Region	35-44	15-29	F	3073
Capital Region	35-44	15-29	M	1446
Capital Region	35-44	30+	F	2481
Capital Region	35-44	30+	M	664
Capital Region	45-54		F	922
Capital Region	45-54		M	1206
Capital Region	45-54	0	F	1581
Capital Region	45-54	0	M	2712
Capital Region	45-54	<5	F	1761
Capital Region	45-54	<5	M	3839
Capital Region	45-54	5-14	F	6384
Capital Region	45-54	5-14	M	5416
Capital Region	45-54	15-29	F	3425
Capital Region	45-54	15-29	M	1604
Capital Region	45-54	30+	F	1968
Capital Region	45-54	30+	M	644
Capital Region	55-64		F	1092
Capital Region	55-64		M	1305
Capital Region	55-64	0	F	2388
Capital Region	55-64	0	M	3519
Capital Region	55-64	<5	F	1936
Capital Region	55-64	<5	M	4000
Capital Region	55-64	5-14	F	6081
Capital Region	55-64	5-14	M	5750
Capital Region	55-64	15-29	F	3839
Capital Region	55-64	15-29	M	1948
Capital Region	55-64	30+	F	2499
Capital Region	55-64	30+	M	993
Capital Region	65-74		F	1044
Capital Region	65-74		M	1096
Capital Region	65-74	0	F	3178
Capital Region	65-74	0	M	3861
Capital Region	65-74	<5	F	1129
Capital Region	65-74	<5	M	2666
Capital Region	65-74	5-14	F	3691
Capital Region	65-74	5-14	M	4500
Capital Region	65-74	15-29	F	3453
Capital Region	65-74	15-29	M	2236
Capital Region	65-74	30+	F	3020
Capital Region	65-74	30+	M	1403
Capital Region	75-84		F	754
Capital Region	75-84		M	683
Capital Region	75-84	0	F	2556
Capital Region	75-84	0	M	2432
Capital Region	75-84	<5	F	687
Capital Region	75-84	<5	M	1172
Capital Region	75-84	5-14	F	1506
Capital Region	75-84	5-14	M	1855
Capital Region	75-84	15-29	F	1398
Capital Region	75-84	15-29	M	1026
Capital Region	75-84	30+	F	1354
Capital Region	75-84	30+	M	740
Capital Region	85+		F	446
Capital Region	85+		M	273
Capital Region	85+	0	F	1762
Capital Region	85+	0	M	1091
Capital Region	85+	<5	F	353
Capital Region	85+	<5	M	275
Capital Region	85+	5-14	F	436
Capital Region	85+	5-14	M	348
Capital Region	85+	15-29	F	247
Capital Region	85+	15-29	M	186
Capital Region	85+	30+	F	200
Capital Region	85+	30+	M	153
Central Coast	15-19		F	508
Central Coast	15-19		M	594
Central Coast	15-19	0	F	3359
Central Coast	15-19	0	M	4274
Central Coast	15-19	<5	F	4546
Central Coast	15-19	<5	M	4718
Central Coast	15-19	5-14	F	1138
Central Coast	15-19	5-14	M	832
Central Coast	15-19	15-29	F	135
Central Coast	15-19	15-29	M	76
Central Coast	15-19	30+	F	63
Central Coast	15-19	30+	M	27
Central Coast	20-24		F	475
Central Coast	20-24		M	497
Central Coast	20-24	0	F	2403
Central Coast	20-24	0	M	3637
Central Coast	20-24	<5	F	3043
Central Coast	20-24	<5	M	3453
Central Coast	20-24	5-14	F	2245
Central Coast	20-24	5-14	M	1455
Central Coast	20-24	15-29	F	558
Central Coast	20-24	15-29	M	225
Central Coast	20-24	30+	F	376
Central Coast	20-24	30+	M	116
Central Coast	25-34		F	1113
Central Coast	25-34		M	1162
Central Coast	25-34	0	F	3206
Central Coast	25-34	0	M	5047
Central Coast	25-34	<5	F	2840
Central Coast	25-34	<5	M	5123
Central Coast	25-34	5-14	F	6113
Central Coast	25-34	5-14	M	5319
Central Coast	25-34	15-29	F	2836
Central Coast	25-34	15-29	M	1341
Central Coast	25-34	30+	F	3399
Central Coast	25-34	30+	M	621
Central Coast	35-44		F	1097
Central Coast	35-44		M	1122
Central Coast	35-44	0	F	2326
Central Coast	35-44	0	M	3733
Central Coast	35-44	<5	F	1770
Central Coast	35-44	<5	M	4513
Central Coast	35-44	5-14	F	6354
Central Coast	35-44	5-14	M	7044
Central Coast	35-44	15-29	F	4824
Central Coast	35-44	15-29	M	2347
Central Coast	35-44	30+	F	5076
Central Coast	35-44	30+	M	1145
Central Coast	45-54		F	1012
Central Coast	45-54		M	1189
Central Coast	45-54	0	F	3001
Central Coast	45-54	0	M	4196
Central Coast	45-54	<5	F	2333
Central Coast	45-54	<5	M	4963
Central Coast	45-54	5-14	F	7883
Central Coast	45-54	5-14	M	7604
Central Coast	45-54	15-29	F	4987
Central Coast	45-54	15-29	M	2397
Central Coast	45-54	30+	F	3574
Central Coast	45-54	30+	M	1038
Central Coast	55-64		F	995
Central Coast	55-64		M	1061
Central Coast	55-64	0	F	4184
Central Coast	55-64	0	M	4984
Central Coast	55-64	<5	F	2472
Central Coast	55-64	<5	M	4495
Central Coast	55-64	5-14	F	7706
Central Coast	55-64	5-14	M	7155
Central Coast	55-64	15-29	F	4858
Central Coast	55-64	15-29	M	2408
Central Coast	55-64	30+	F	3376
Central Coast	55-64	30+	M	1186
Central Coast	65-74		F	1249
Central Coast	65-74		M	1051
Central Coast	65-74	0	F	5747
Central Coast	65-74	0	M	5405
Central Coast	65-74	<5	F	1642
Central Coast	65-74	<5	M	3006
Central Coast	65-74	5-14	F	5008
Central Coast	65-74	5-14	M	5296
Central Coast	65-74	15-29	F	4535
Central Coast	65-74	15-29	M	2657
