SA4_NAME16	medianRent
Capital Region	16640
Central Coast	20800
Central West	15080
Coffs Harbour - Grafton	18200
Far West and Orana	13000
Hunter Valley exc Newcastle	18200
Illawarra	20800
Mid North Coast	17160
Murray	13000
New England and North West	14040
Newcastle and Lake Macquarie	20280
Richmond - Tweed	19760
Riverina	14040
Southern Highlands and Shoalhaven	18720
Sydney - Baulkham Hills and Hawkesbury	30160
Sydney - Blacktown	20800
Sydney - City and Inner South	28600
Sydney - Eastern Suburbs	31200
Sydney - Inner South West	22880
Sydney - Inner West	26000
Sydney - North Sydney and Hornsby	29120
Sydney - Northern Beaches	32500
Sydney - Outer South West	20800
Sydney - Outer West and Blue Mountains	20800
Sydney - Parramatta	22360
Sydney - Ryde	24960
Sydney - South West	21060
Sydney - Sutherland	26000
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	15080
Bendigo	15600
Geelong	18200
Hume	14300
Latrobe - Gippsland	14040
Melbourne - Inner	20852
Melbourne - Inner East	22932
Melbourne - Inner South	22776
Melbourne - North East	19760
Melbourne - North West	19760
Melbourne - Outer East	20592
Melbourne - South East	19760
Melbourne - West	18772
Mornington Peninsula	18772
North West	12012
Shepparton	13000
Warrnambool and South West	13000
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	21840
Brisbane - North	20540
Brisbane - South	21060
Brisbane - West	21840
Brisbane Inner City	22100
Cairns	16120
Darling Downs - Maranoa	13000
Central Queensland	14560
Gold Coast	23400
Ipswich	17420
Logan - Beaudesert	18200
Mackay - Isaac - Whitsunday	16068
Moreton Bay - North	17940
Moreton Bay - South	20020
Queensland - Outback	8320
Sunshine Coast	22880
Toowoomba	16120
Townsville	15600
Wide Bay	14560
Migratory - Offshore - Shipping (Qld)	
No usual address (Qld)	
Adelaide - Central and Hills	18460
Adelaide - North	15600
Adelaide - South	16640
Adelaide - West	16120
Barossa - Yorke - Mid North	11700
South Australia - Outback	9880
South Australia - South East	11960
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	16120
Mandurah	15600
Perth - Inner	20800
Perth - North East	17680
Perth - North West	18720
Perth - South East	18200
Perth - South West	18200
Western Australia - Wheat Belt	13000
Western Australia - Outback (North)	10400
Western Australia - Outback (South)	13260
Migratory - Offshore - Shipping (WA)	
No usual address (WA)	
Hobart	18200
Launceston and North East	14040
South East	13780
West and North West	12480
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	20020
Northern Territory - Outback	7800
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	23400
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	10400
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
