SA4_NAME21	Age	Sex	persons
Capital Region	0-4	F	6241
Capital Region	0-4	M	6515
Capital Region	5-14	F	13648
Capital Region	5-14	M	14844
Capital Region	15-19	F	6085
Capital Region	15-19	M	6696
Capital Region	20-24	F	5199
Capital Region	20-24	M	5678
Capital Region	25-34	F	13501
Capital Region	25-34	M	13251
Capital Region	35-44	F	13960
Capital Region	35-44	M	13167
Capital Region	45-54	F	16034
Capital Region	45-54	M	15413
Capital Region	55-64	F	17838
Capital Region	55-64	M	17535
Capital Region	65-74	F	15513
Capital Region	65-74	M	15755
Capital Region	75-84	F	8257
Capital Region	75-84	M	7909
Capital Region	85+	F	3448
Capital Region	85+	M	2332
Central Coast	0-4	F	9413
Central Coast	0-4	M	10001
Central Coast	5-14	F	20739
Central Coast	5-14	M	22187
Central Coast	15-19	F	9754
Central Coast	15-19	M	10523
Central Coast	20-24	F	9107
Central Coast	20-24	M	9383
Central Coast	25-34	F	19505
Central Coast	25-34	M	18615
Central Coast	35-44	F	21445
Central Coast	35-44	M	19909
Central Coast	45-54	F	22793
Central Coast	45-54	M	21395
Central Coast	55-64	F	23597
Central Coast	55-64	M	21289
Central Coast	65-74	F	21797
Central Coast	65-74	M	18898
Central Coast	75-84	F	13850
Central Coast	75-84	M	11851
Central Coast	85+	F	6619
Central Coast	85+	M	3929
Central West	0-4	F	6036
Central West	0-4	M	6529
Central West	5-14	F	14028
Central West	5-14	M	14767
Central West	15-19	F	6010
Central West	15-19	M	6682
Central West	20-24	F	5354
Central West	20-24	M	5806
Central West	25-34	F	12591
Central West	25-34	M	12266
Central West	35-44	F	12185
Central West	35-44	M	11940
Central West	45-54	F	13355
Central West	45-54	M	12847
Central West	55-64	F	14006
Central West	55-64	M	13916
Central West	65-74	F	12259
Central West	65-74	M	12385
Central West	75-84	F	7516
Central West	75-84	M	6972
Central West	85+	F	3417
Central West	85+	M	2090
Coffs Harbour - Grafton	0-4	F	3577
Coffs Harbour - Grafton	0-4	M	3601
Coffs Harbour - Grafton	5-14	F	8589
Coffs Harbour - Grafton	5-14	M	9071
