SA4_NAME21	OnlyEnglishSpokenHome	Sex	persons
Capital Region	0	F	8480
Capital Region	0	M	8151
Capital Region	1	F	103774
Capital Region	1	M	102517
Central Coast	0	F	13281
Central Coast	0	M	11364
Central Coast	1	F	156001
Central Coast	1	M	148011
Central West	0	F	4871
Central West	0	M	4681
Central West	1	F	94819
Central West	1	M	92880
Coffs Harbour - Grafton	0	F	4924
Coffs Harbour - Grafton	0	M	4286
Coffs Harbour - Grafton	1	F	64968
Coffs Harbour - Grafton	1	M	61643
Far West and Orana	0	F	3070
Far West and Orana	0	M	2940
Far West and Orana	1	F	48768
Far West and Orana	1	M	47185
Hunter Valley exc Newcastle	0	F	6289
Hunter Valley exc Newcastle	0	M	5543
Hunter Valley exc Newcastle	1	F	133638
Hunter Valley exc Newcastle	1	M	130472
Illawarra	0	F	22168
Illawarra	0	M	20197
Illawarra	1	F	130424
Illawarra	1	M	126844
Mid North Coast	0	F	4335
Mid North Coast	0	M	3574
Mid North Coast	1	F	106152
Mid North Coast	1	M	99944
Murray	0	F	3532
Murray	0	M	3421
Murray	1	F	54653
Murray	1	M	52769
New England and North West	0	F	4751
New England and North West	0	M	4612
New England and North West	1	F	80708
New England and North West	1	M	77738
Newcastle and Lake Macquarie	0	F	15277
Newcastle and Lake Macquarie	0	M	14052
Newcastle and Lake Macquarie	1	F	175875
Newcastle and Lake Macquarie	1	M	168671
Richmond - Tweed	0	F	7586
Richmond - Tweed	0	M	6124
Richmond - Tweed	1	F	115252
Richmond - Tweed	1	M	108714
Riverina	0	F	7720
Riverina	0	M	7976
Riverina	1	F	69141
Riverina	1	M	66639
Southern Highlands and Shoalhaven	0	F	4775
Southern Highlands and Shoalhaven	0	M	4200
Southern Highlands and Shoalhaven	1	F	72771
Southern Highlands and Shoalhaven	1	M	69347
Sydney - Baulkham Hills and Hawkesbury	0	F	46787
Sydney - Baulkham Hills and Hawkesbury	0	M	43284
Sydney - Baulkham Hills and Hawkesbury	1	F	82817
Sydney - Baulkham Hills and Hawkesbury	1	M	83665
Sydney - Blacktown	0	F	94957
Sydney - Blacktown	0	M	91630
Sydney - Blacktown	1	F	94318
Sydney - Blacktown	1	M	95523
