SA4_NAME16	FamilyHousehold	IncomeHousehold.max	households
Capital Region	0		1388
Capital Region	0	0	832
Capital Region	0	7875	355
Capital Region	0	15750	904
Capital Region	0	21000	1854
Capital Region	0	26250	5089
Capital Region	0	34125	3033
Capital Region	0	42000	2065
Capital Region	0	52500	2479
Capital Region	0	65625	2637
Capital Region	0	78750	1752
Capital Region	0	91875	1540
Capital Region	0	105000	1197
Capital Region	0	131250	1798
Capital Region	0	157500	194
Capital Region	0	183750	407
Capital Region	0	210000	42
Capital Region	0	Inf	619
Capital Region	1		5007
Capital Region	1	0	587
Capital Region	1	7875	308
Capital Region	1	15750	264
Capital Region	1	21000	307
Capital Region	1	26250	1096
Capital Region	1	34125	1182
Capital Region	1	42000	4115
Capital Region	1	52500	3533
Capital Region	1	65625	4067
Capital Region	1	78750	4999
Capital Region	1	91875	3427
Capital Region	1	105000	3705
Capital Region	1	131250	7634
Capital Region	1	157500	5629
Capital Region	1	183750	4745
Capital Region	1	210000	3169
Capital Region	1	Inf	9121
Central Coast	0		2093
Central Coast	0	0	1393
Central Coast	0	7875	503
Central Coast	0	15750	1211
Central Coast	0	21000	2737
Central Coast	0	26250	7701
Central Coast	0	34125	5312
Central Coast	0	42000	2972
Central Coast	0	52500	3460
Central Coast	0	65625	3289
Central Coast	0	78750	2303
Central Coast	0	91875	1835
Central Coast	0	105000	1410
Central Coast	0	131250	1931
Central Coast	0	157500	276
Central Coast	0	183750	469
Central Coast	0	210000	99
Central Coast	0	Inf	707
Central Coast	1		6310
Central Coast	1	0	912
Central Coast	1	7875	352
Central Coast	1	15750	341
Central Coast	1	21000	447
Central Coast	1	26250	1497
Central Coast	1	34125	1767
Central Coast	1	42000	6265
Central Coast	1	52500	5353
Central Coast	1	65625	6289
Central Coast	1	78750	7360
Central Coast	1	91875	5305
Central Coast	1	105000	5616
Central Coast	1	131250	11857
Central Coast	1	157500	9036
Central Coast	1	183750	7255
Central Coast	1	210000	4497
Central Coast	1	Inf	11550
Central West	0		1485
Central West	0	0	875
Central West	0	7875	372
Central West	0	15750	903
Central West	0	21000	1868
Central West	0	26250	5048
Central West	0	34125	2712
Central West	0	42000	1787
Central West	0	52500	2293
Central West	0	65625	2201
Central West	0	78750	1507
Central West	0	91875	1263
Central West	0	105000	914
Central West	0	131250	1488
Central West	0	157500	181
Central West	0	183750	277
Central West	0	210000	45
Central West	0	Inf	462
Central West	1		4855
Central West	1	0	531
Central West	1	7875	269
Central West	1	15750	239
Central West	1	21000	336
Central West	1	26250	1097
Central West	1	34125	1130
Central West	1	42000	3925
Central West	1	52500	3244
Central West	1	65625	3752
Central West	1	78750	4261
Central West	1	91875	3093
Central West	1	105000	3273
Central West	1	131250	6849
Central West	1	157500	5255
Central West	1	183750	3927
Central West	1	210000	2497
Central West	1	Inf	5820
Coffs Harbour - Grafton	0		1005
Coffs Harbour - Grafton	0	0	516
Coffs Harbour - Grafton	0	7875	203
Coffs Harbour - Grafton	0	15750	637
Coffs Harbour - Grafton	0	21000	1342
Coffs Harbour - Grafton	0	26250	3639
Coffs Harbour - Grafton	0	34125	2570
Coffs Harbour - Grafton	0	42000	1374
Coffs Harbour - Grafton	0	52500	1633
Coffs Harbour - Grafton	0	65625	1424
Coffs Harbour - Grafton	0	78750	899
Coffs Harbour - Grafton	0	91875	709
Coffs Harbour - Grafton	0	105000	519
Coffs Harbour - Grafton	0	131250	715
Coffs Harbour - Grafton	0	157500	105
Coffs Harbour - Grafton	0	183750	122
Coffs Harbour - Grafton	0	210000	38
Coffs Harbour - Grafton	0	Inf	240
Coffs Harbour - Grafton	1		3183
Coffs Harbour - Grafton	1	0	392
Coffs Harbour - Grafton	1	7875	210
Coffs Harbour - Grafton	1	15750	201
