SA4_NAME21	Age5yr	Indigenous	persons
Capital Region	0-4		693
Capital Region	0-4	0	11007
Capital Region	0-4	1	1061
Capital Region	5-9		845
Capital Region	5-9	0	11811
Capital Region	5-9	1	1135
Capital Region	10-14		955
Capital Region	10-14	0	12589
Capital Region	10-14	1	1152
Capital Region	15-19		789
Capital Region	15-19	0	10989
Capital Region	15-19	1	1004
Capital Region	20-24		662
Capital Region	20-24	0	9420
Capital Region	20-24	1	798
Capital Region	25-29		831
Capital Region	25-29	0	11228
Capital Region	25-29	1	709
Capital Region	30-34		828
Capital Region	30-34	0	12602
Capital Region	30-34	1	553
Capital Region	35-39		818
Capital Region	35-39	0	12598
Capital Region	35-39	1	546
Capital Region	40-44		801
Capital Region	40-44	0	11869
Capital Region	40-44	1	486
Capital Region	45-49		860
Capital Region	45-49	0	13625
Capital Region	45-49	1	538
Capital Region	50-54		910
Capital Region	50-54	0	14957
Capital Region	50-54	1	557
Capital Region	55-59		1088
Capital Region	55-59	0	15799
Capital Region	55-59	1	493
Capital Region	60-64		1032
Capital Region	60-64	0	16571
Capital Region	60-64	1	395
Capital Region	65+		3285
Capital Region	65+	0	49209
Capital Region	65+	1	704
Central Coast	0-4		766
Central Coast	0-4	0	16709
Central Coast	0-4	1	1940
Central Coast	5-9		970
Central Coast	5-9	0	18144
Central Coast	5-9	1	1968
Central Coast	10-14		997
Central Coast	10-14	0	18890
Central Coast	10-14	1	1959
Central Coast	15-19		874
Central Coast	15-19	0	17641
Central Coast	15-19	1	1756
Central Coast	20-24		813
Central Coast	20-24	0	16196
Central Coast	20-24	1	1475
Central Coast	25-29		936
Central Coast	25-29	0	16399
Central Coast	25-29	1	1221
Central Coast	30-34		925
Central Coast	30-34	0	17602
Central Coast	30-34	1	1042
Central Coast	35-39		939
Central Coast	35-39	0	18946
Central Coast	35-39	1	903
Central Coast	40-44		909
Central Coast	40-44	0	18835
Central Coast	40-44	1	828
Central Coast	45-49		975
Central Coast	45-49	0	20185
Central Coast	45-49	1	786
Central Coast	50-54		876
Central Coast	50-54	0	20554
Central Coast	50-54	1	807
Central Coast	55-59		901
Central Coast	55-59	0	20852
Central Coast	55-59	1	727
Central Coast	60-64		779
Central Coast	60-64	0	21045
Central Coast	60-64	1	572
Central Coast	65+		3748
Central Coast	65+	0	72132
Central Coast	65+	1	1055
Central West	0-4		719
Central West	0-4	0	9885
Central West	0-4	1	1966
Central West	5-9		991
Central West	5-9	0	11087
Central West	5-9	1	2036
Central West	10-14		1015
Central West	10-14	0	11641
Central West	10-14	1	2030
Central West	15-19		808
Central West	15-19	0	10205
Central West	15-19	1	1680
Central West	20-24		769
Central West	20-24	0	8980
Central West	20-24	1	1412
Central West	25-29		728
Central West	25-29	0	10123
Central West	25-29	1	1259
Central West	30-34		827
Central West	30-34	0	10869
Central West	30-34	1	1047
Central West	35-39		834
Central West	35-39	0	10774
Central West	35-39	1	855
Central West	40-44		811
Central West	40-44	0	10074
Central West	40-44	1	774
Central West	45-49		819
Central West	45-49	0	11131
Central West	45-49	1	842
Central West	50-54		868
Central West	50-54	0	11702
Central West	50-54	1	841
Central West	55-59		909
Central West	55-59	0	12278
Central West	55-59	1	747
Central West	60-64		844
Central West	60-64	0	12570
Central West	60-64	1	575
Central West	65+		2817
Central West	65+	0	40724
Central West	65+	1	1090
Coffs Harbour - Grafton	0-4		401
Coffs Harbour - Grafton	0-4	0	5780
Coffs Harbour - Grafton	0-4	1	991
Coffs Harbour - Grafton	5-9		504
Coffs Harbour - Grafton	5-9	0	6854
Coffs Harbour - Grafton	5-9	1	1023
Coffs Harbour - Grafton	10-14		606
Coffs Harbour - Grafton	10-14	0	7556
Coffs Harbour - Grafton	10-14	1	1124
Coffs Harbour - Grafton	15-19		511
Coffs Harbour - Grafton	15-19	0	6550
Coffs Harbour - Grafton	15-19	1	889
Coffs Harbour - Grafton	20-24		381
Coffs Harbour - Grafton	20-24	0	5195
Coffs Harbour - Grafton	20-24	1	797
Coffs Harbour - Grafton	25-29		492
Coffs Harbour - Grafton	25-29	0	5945
Coffs Harbour - Grafton	25-29	1	670
Coffs Harbour - Grafton	30-34		519
Coffs Harbour - Grafton	30-34	0	6782
Coffs Harbour - Grafton	30-34	1	613
Coffs Harbour - Grafton	35-39		494
Coffs Harbour - Grafton	35-39	0	7043
Coffs Harbour - Grafton	35-39	1	544
Coffs Harbour - Grafton	40-44		552
Coffs Harbour - Grafton	40-44	0	6886
Coffs Harbour - Grafton	40-44	1	449
Coffs Harbour - Grafton	45-49		550
Coffs Harbour - Grafton	45-49	0	7834
Coffs Harbour - Grafton	45-49	1	487
Coffs Harbour - Grafton	50-54		526
Coffs Harbour - Grafton	50-54	0	8229
Coffs Harbour - Grafton	50-54	1	495
Coffs Harbour - Grafton	55-59		560
Coffs Harbour - Grafton	55-59	0	9135
Coffs Harbour - Grafton	55-59	1	415
Coffs Harbour - Grafton	60-64		554
Coffs Harbour - Grafton	60-64	0	10224
Coffs Harbour - Grafton	60-64	1	371
Coffs Harbour - Grafton	65+		2067
Coffs Harbour - Grafton	65+	0	33896
Coffs Harbour - Grafton	65+	1	649
Far West and Orana	0-4		779
Far West and Orana	0-4	0	4703
Far West and Orana	0-4	1	2121
Far West and Orana	5-9		889
Far West and Orana	5-9	0	4506
Far West and Orana	5-9	1	2221
Far West and Orana	10-14		920
Far West and Orana	10-14	0	4676
Far West and Orana	10-14	1	2090
Far West and Orana	15-19		746
Far West and Orana	15-19	0	3982
Far West and Orana	15-19	1	1814
Far West and Orana	20-24		660
Far West and Orana	20-24	0	3806
Far West and Orana	20-24	1	1522
Far West and Orana	25-29		795
Far West and Orana	25-29	0	5500
Far West and Orana	25-29	1	1482
Far West and Orana	30-34		794
Far West and Orana	30-34	0	5692
Far West and Orana	30-34	1	1235
Far West and Orana	35-39		750
Far West and Orana	35-39	0	5119
Far West and Orana	35-39	1	1019
Far West and Orana	40-44		715
Far West and Orana	40-44	0	4526
Far West and Orana	40-44	1	853
Far West and Orana	45-49		660
Far West and Orana	45-49	0	4729
Far West and Orana	45-49	1	984
Far West and Orana	50-54		737
Far West and Orana	50-54	0	5282
Far West and Orana	50-54	1	1062
Far West and Orana	55-59		772
Far West and Orana	55-59	0	5808
Far West and Orana	55-59	1	905
Far West and Orana	60-64		674
Far West and Orana	60-64	0	6268
Far West and Orana	60-64	1	808
Far West and Orana	65+		2339
Far West and Orana	65+	0	19169
Far West and Orana	65+	1	1487
Hunter Valley exc Newcastle	0-4		692
Hunter Valley exc Newcastle	0-4	0	14176
Hunter Valley exc Newcastle	0-4	1	2710
Hunter Valley exc Newcastle	5-9		914
Hunter Valley exc Newcastle	5-9	0	15725
Hunter Valley exc Newcastle	5-9	1	2833
Hunter Valley exc Newcastle	10-14		884
Hunter Valley exc Newcastle	10-14	0	16139
Hunter Valley exc Newcastle	10-14	1	2822
Hunter Valley exc Newcastle	15-19		800
Hunter Valley exc Newcastle	15-19	0	14385
Hunter Valley exc Newcastle	15-19	1	2396
Hunter Valley exc Newcastle	20-24		810
Hunter Valley exc Newcastle	20-24	0	13475
Hunter Valley exc Newcastle	20-24	1	1900
Hunter Valley exc Newcastle	25-29		821
Hunter Valley exc Newcastle	25-29	0	15236
Hunter Valley exc Newcastle	25-29	1	1708
Hunter Valley exc Newcastle	30-34		870
Hunter Valley exc Newcastle	30-34	0	16334
Hunter Valley exc Newcastle	30-34	1	1549
Hunter Valley exc Newcastle	35-39		782
Hunter Valley exc Newcastle	35-39	0	16124
Hunter Valley exc Newcastle	35-39	1	1302
Hunter Valley exc Newcastle	40-44		780
Hunter Valley exc Newcastle	40-44	0	15148
Hunter Valley exc Newcastle	40-44	1	1089
Hunter Valley exc Newcastle	45-49		779
Hunter Valley exc Newcastle	45-49	0	16085
Hunter Valley exc Newcastle	45-49	1	1111
Hunter Valley exc Newcastle	50-54		741
Hunter Valley exc Newcastle	50-54	0	16499
Hunter Valley exc Newcastle	50-54	1	1015
Hunter Valley exc Newcastle	55-59		807
Hunter Valley exc Newcastle	55-59	0	16675
Hunter Valley exc Newcastle	55-59	1	886
Hunter Valley exc Newcastle	60-64		713
Hunter Valley exc Newcastle	60-64	0	17169
Hunter Valley exc Newcastle	60-64	1	751
Hunter Valley exc Newcastle	65+		2582
Hunter Valley exc Newcastle	65+	0	52484
Hunter Valley exc Newcastle	65+	1	1239
Illawarra	0-4		603
