SA4_NAME21	MaxSchoolingCompleted	Sex	persons
Capital Region	Did not go to school	F	341
Capital Region	Did not go to school	M	377
Capital Region	Year 8	F	3718
Capital Region	Year 8	M	4398
Capital Region	Year 9	F	6434
Capital Region	Year 9	M	7016
Capital Region	Year 10	F	24367
Capital Region	Year 10	M	26188
Capital Region	Year 11	F	7133
Capital Region	Year 11	M	7199
Capital Region	Year 12	F	50519
Capital Region	Year 12	M	44346
Central Coast	Did not go to school	F	494
Central Coast	Did not go to school	M	552
Central Coast	Year 8	F	5361
Central Coast	Year 8	M	5140
Central Coast	Year 9	F	11688
Central Coast	Year 9	M	10572
Central Coast	Year 10	F	42625
Central Coast	Year 10	M	40140
Central Coast	Year 11	F	9756
Central Coast	Year 11	M	10407
Central Coast	Year 12	F	68964
Central Coast	Year 12	M	60559
Central West	Did not go to school	F	270
Central West	Did not go to school	M	365
Central West	Year 8	F	3661
Central West	Year 8	M	4652
Central West	Year 9	F	6848
Central West	Year 9	M	7427
Central West	Year 10	F	24566
Central West	Year 10	M	27237
Central West	Year 11	F	5986
Central West	Year 11	M	6146
Central West	Year 12	F	38513
Central West	Year 12	M	30675
Coffs Harbour - Grafton	Did not go to school	F	371
Coffs Harbour - Grafton	Did not go to school	M	327
Coffs Harbour - Grafton	Year 8	F	2576
Coffs Harbour - Grafton	Year 8	M	3026
Coffs Harbour - Grafton	Year 9	F	5179
Coffs Harbour - Grafton	Year 9	M	5154
Coffs Harbour - Grafton	Year 10	F	18313
Coffs Harbour - Grafton	Year 10	M	17865
Coffs Harbour - Grafton	Year 11	F	4523
Coffs Harbour - Grafton	Year 11	M	4613
Coffs Harbour - Grafton	Year 12	F	26556
Coffs Harbour - Grafton	Year 12	M	22229
Far West and Orana	Did not go to school	F	145
Far West and Orana	Did not go to school	M	231
Far West and Orana	Year 8	F	2367
Far West and Orana	Year 8	M	3070
Far West and Orana	Year 9	F	3821
Far West and Orana	Year 9	M	4125
Far West and Orana	Year 10	F	12742
Far West and Orana	Year 10	M	13878
Far West and Orana	Year 11	F	3375
Far West and Orana	Year 11	M	3228
Far West and Orana	Year 12	F	18794
Far West and Orana	Year 12	M	14592
Hunter Valley exc Newcastle	Did not go to school	F	347
Hunter Valley exc Newcastle	Did not go to school	M	442
Hunter Valley exc Newcastle	Year 8	F	4840
Hunter Valley exc Newcastle	Year 8	M	5351
Hunter Valley exc Newcastle	Year 9	F	11036
Hunter Valley exc Newcastle	Year 9	M	10597
Hunter Valley exc Newcastle	Year 10	F	38115
Hunter Valley exc Newcastle	Year 10	M	39752
Hunter Valley exc Newcastle	Year 11	F	9185
Hunter Valley exc Newcastle	Year 11	M	10031
Hunter Valley exc Newcastle	Year 12	F	48683
Hunter Valley exc Newcastle	Year 12	M	40765
Illawarra	Did not go to school	F	1090
Illawarra	Did not go to school	M	821
