SA4_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Capital Region					1506
Capital Region	0	0	0	1	7345
Capital Region	0	0	1	0	1572
Capital Region	0	0	1	1	916
Capital Region	0	1	0	0	9922
Capital Region	0	1	0	1	1304
Capital Region	0	1	1	0	2015
Capital Region	0	1	1	1	634
Capital Region	1	0	0	1	15081
Capital Region	1	0	1	0	5756
Capital Region	1	0	1	1	4343
Capital Region	1	1	0	0	52326
Capital Region	1	1	0	1	4013
Capital Region	1	1	1	0	10852
Capital Region	1	1	1	1	2455
Central Coast					2557
Central Coast	0	0	0	1	15609
Central Coast	0	0	1	0	3314
Central Coast	0	0	1	1	2222
Central Coast	0	1	0	0	18237
Central Coast	0	1	0	1	2569
Central Coast	0	1	1	0	4075
Central Coast	0	1	1	1	1266
Central Coast	1	0	0	1	25197
Central Coast	1	0	1	0	9710
Central Coast	1	0	1	1	8165
Central Coast	1	1	0	0	77449
Central Coast	1	1	0	1	5733
Central Coast	1	1	1	0	16697
Central Coast	1	1	1	1	3990
Central West					1656
Central West	0	0	0	1	7025
Central West	0	0	1	0	1381
Central West	0	0	1	1	779
Central West	0	1	0	0	11153
Central West	0	1	0	1	1767
Central West	0	1	1	0	2344
Central West	0	1	1	1	675
Central West	1	0	0	1	12118
Central West	1	0	1	0	4757
Central West	1	0	1	1	3303
Central West	1	1	0	0	47887
Central West	1	1	0	1	3592
Central West	1	1	1	0	10158
Central West	1	1	1	1	2684
Coffs Harbour - Grafton					1158
Coffs Harbour - Grafton	0	0	0	1	5681
Coffs Harbour - Grafton	0	0	1	0	1145
Coffs Harbour - Grafton	0	0	1	1	657
Coffs Harbour - Grafton	0	1	0	0	8103
Coffs Harbour - Grafton	0	1	0	1	1109
Coffs Harbour - Grafton	0	1	1	0	1689
Coffs Harbour - Grafton	0	1	1	1	398
Coffs Harbour - Grafton	1	0	0	1	8694
Coffs Harbour - Grafton	1	0	1	0	2971
Coffs Harbour - Grafton	1	0	1	1	1968
Coffs Harbour - Grafton	1	1	0	0	28536
Coffs Harbour - Grafton	1	1	0	1	2434
Coffs Harbour - Grafton	1	1	1	0	6085
Coffs Harbour - Grafton	1	1	1	1	1286
Far West and Orana					1087
Far West and Orana	0	0	0	1	4077
Far West and Orana	0	0	1	0	681
Far West and Orana	0	0	1	1	401
Far West and Orana	0	1	0	0	7399
Far West and Orana	0	1	0	1	1110
Far West and Orana	0	1	1	0	1164
Far West and Orana	0	1	1	1	402
Far West and Orana	1	0	0	1	5953
Far West and Orana	1	0	1	0	1935
Far West and Orana	1	0	1	1	1467
Far West and Orana	1	1	0	0	23727
Far West and Orana	1	1	0	1	1756
Far West and Orana	1	1	1	0	4784
Far West and Orana	1	1	1	1	1037
Hunter Valley exc Newcastle					2083
Hunter Valley exc Newcastle	0	0	0	1	10875
Hunter Valley exc Newcastle	0	0	1	0	2130
Hunter Valley exc Newcastle	0	0	1	1	1397
Hunter Valley exc Newcastle	0	1	0	0	16627
Hunter Valley exc Newcastle	0	1	0	1	2470
Hunter Valley exc Newcastle	0	1	1	0	3484
Hunter Valley exc Newcastle	0	1	1	1	1129
Hunter Valley exc Newcastle	1	0	0	1	20819
Hunter Valley exc Newcastle	1	0	1	0	6777
Hunter Valley exc Newcastle	1	0	1	1	6029
Hunter Valley exc Newcastle	1	1	0	0	68440
Hunter Valley exc Newcastle	1	1	0	1	6180
Hunter Valley exc Newcastle	1	1	1	0	13962
Hunter Valley exc Newcastle	1	1	1	1	3526
Illawarra					2508
Illawarra	0	0	0	1	12846
Illawarra	0	0	1	0	2793
Illawarra	0	0	1	1	1942
Illawarra	0	1	0	0	13288
Illawarra	0	1	0	1	1996
Illawarra	0	1	1	0	3214
Illawarra	0	1	1	1	904
Illawarra	1	0	0	1	25568
Illawarra	1	0	1	0	9740
Illawarra	1	0	1	1	8731
Illawarra	1	1	0	0	74212
Illawarra	1	1	0	1	4786
Illawarra	1	1	1	0	15810
Illawarra	1	1	1	1	3466
Mid North Coast					1804
Mid North Coast	0	0	0	1	9273
Mid North Coast	0	0	1	0	1750
Mid North Coast	0	0	1	1	920
Mid North Coast	0	1	0	0	12141
Mid North Coast	0	1	0	1	1887
Mid North Coast	0	1	1	0	2556
Mid North Coast	0	1	1	1	877
Mid North Coast	1	0	0	1	13711
Mid North Coast	1	0	1	0	4505
Mid North Coast	1	0	1	1	3140
Mid North Coast	1	1	0	0	38909
Mid North Coast	1	1	0	1	3668
Mid North Coast	1	1	1	0	8831
Mid North Coast	1	1	1	1	2102
Murray					851
Murray	0	0	0	1	3579
Murray	0	0	1	0	894
Murray	0	0	1	1	473
Murray	0	1	0	0	5613
Murray	0	1	0	1	770
Murray	0	1	1	0	1331
Murray	0	1	1	1	312
Murray	1	0	0	1	6746
Murray	1	0	1	0	2648
Murray	1	0	1	1	2071
Murray	1	1	0	0	26563
Murray	1	1	0	1	1760
Murray	1	1	1	0	5797
Murray	1	1	1	1	1329
New England and North West					1652
New England and North West	0	0	0	1	6016
New England and North West	0	0	1	0	1200
New England and North West	0	0	1	1	650
New England and North West	0	1	0	0	10917
New England and North West	0	1	0	1	1322
New England and North West	0	1	1	0	2119
New England and North West	0	1	1	1	526
New England and North West	1	0	0	1	9600
New England and North West	1	0	1	0	3782
New England and North West	1	0	1	1	2449
New England and North West	1	1	0	0	38350
New England and North West	1	1	0	1	2757
New England and North West	1	1	1	0	8186
New England and North West	1	1	1	1	1944
Newcastle and Lake Macquarie					3490
Newcastle and Lake Macquarie	0	0	0	1	15308
Newcastle and Lake Macquarie	0	0	1	0	3748
Newcastle and Lake Macquarie	0	0	1	1	2091
Newcastle and Lake Macquarie	0	1	0	0	17845
Newcastle and Lake Macquarie	0	1	0	1	2607
Newcastle and Lake Macquarie	0	1	1	0	3975
Newcastle and Lake Macquarie	0	1	1	1	908
Newcastle and Lake Macquarie	1	0	0	1	26191
Newcastle and Lake Macquarie	1	0	1	0	11644
Newcastle and Lake Macquarie	1	0	1	1	8688
Newcastle and Lake Macquarie	1	1	0	0	89449
Newcastle and Lake Macquarie	1	1	0	1	5280
Newcastle and Lake Macquarie	1	1	1	0	17874
Newcastle and Lake Macquarie	1	1	1	1	3521
Richmond - Tweed					1953
Richmond - Tweed	0	0	0	1	10405
Richmond - Tweed	0	0	1	0	2377
Richmond - Tweed	0	0	1	1	1203
Richmond - Tweed	0	1	0	0	12267
Richmond - Tweed	0	1	0	1	1760
Richmond - Tweed	0	1	1	0	2862
Richmond - Tweed	0	1	1	1	718
Richmond - Tweed	1	0	0	1	15770
Richmond - Tweed	1	0	1	0	5883
Richmond - Tweed	1	0	1	1	3880
Richmond - Tweed	1	1	0	0	51457
Richmond - Tweed	1	1	0	1	3826
Richmond - Tweed	1	1	1	0	10342
Richmond - Tweed	1	1	1	1	2086
Riverina					1286
Riverina	0	0	0	1	5062
Riverina	0	0	1	0	951
Riverina	0	0	1	1	711
Riverina	0	1	0	0	8307
Riverina	0	1	0	1	1146
Riverina	0	1	1	0	1741
Riverina	0	1	1	1	415
Riverina	1	0	0	1	9842
Riverina	1	0	1	0	3460
Riverina	1	0	1	1	3037
Riverina	1	1	0	0	37502
Riverina	1	1	0	1	2942
Riverina	1	1	1	0	7986
Riverina	1	1	1	1	2488
Southern Highlands and Shoalhaven					1118
Southern Highlands and Shoalhaven	0	0	0	1	6118
Southern Highlands and Shoalhaven	0	0	1	0	1164
Southern Highlands and Shoalhaven	0	0	1	1	645
Southern Highlands and Shoalhaven	0	1	0	0	6717
Southern Highlands and Shoalhaven	0	1	0	1	1007
Southern Highlands and Shoalhaven	0	1	1	0	1584
Southern Highlands and Shoalhaven	0	1	1	1	437
Southern Highlands and Shoalhaven	1	0	0	1	10025
Southern Highlands and Shoalhaven	1	0	1	0	3686
Southern Highlands and Shoalhaven	1	0	1	1	2585
Southern Highlands and Shoalhaven	1	1	0	0	32210
Southern Highlands and Shoalhaven	1	1	0	1	2385
Southern Highlands and Shoalhaven	1	1	1	0	6858
Southern Highlands and Shoalhaven	1	1	1	1	1475
Sydney - Baulkham Hills and Hawkesbury					1164
