SA4_NAME21	AgeChild	CoupleFamily	ParentsBornAus	children
Capital Region	0-4	0		52
Capital Region	0-4	0	Both	1390
Capital Region	0-4	0	Father only	50
Capital Region	0-4	0	Mother only	137
Capital Region	0-4	0	Neither	51
Capital Region	0-4	1		36
Capital Region	0-4	1	Both	7729
Capital Region	0-4	1	Father only	682
Capital Region	0-4	1	Mother only	623
Capital Region	0-4	1	Neither	1025
Capital Region	5-9	0		67
Capital Region	5-9	0	Both	2019
Capital Region	5-9	0	Father only	139
Capital Region	5-9	0	Mother only	186
Capital Region	5-9	0	Neither	90
Capital Region	5-9	1		52
Capital Region	5-9	1	Both	7962
Capital Region	5-9	1	Father only	726
Capital Region	5-9	1	Mother only	633
Capital Region	5-9	1	Neither	895
Capital Region	10-12	0		53
Capital Region	10-12	0	Both	1447
Capital Region	10-12	0	Father only	101
Capital Region	10-12	0	Mother only	142
Capital Region	10-12	0	Neither	84
Capital Region	10-12	1		26
Capital Region	10-12	1	Both	5020
Capital Region	10-12	1	Father only	470
Capital Region	10-12	1	Mother only	434
Capital Region	10-12	1	Neither	426
Capital Region	13-14	0		24
Capital Region	13-14	0	Both	999
Capital Region	13-14	0	Father only	95
Capital Region	13-14	0	Mother only	91
Capital Region	13-14	0	Neither	50
Capital Region	13-14	1		22
Capital Region	13-14	1	Both	3269
Capital Region	13-14	1	Father only	290
Capital Region	13-14	1	Mother only	279
Capital Region	13-14	1	Neither	266
Capital Region	15-17	0		24
Capital Region	15-17	0	Both	1095
Capital Region	15-17	0	Father only	89
Capital Region	15-17	0	Mother only	141
Capital Region	15-17	0	Neither	76
Capital Region	15-17	1		17
Capital Region	15-17	1	Both	3737
Capital Region	15-17	1	Father only	348
Capital Region	15-17	1	Mother only	363
Capital Region	15-17	1	Neither	352
Capital Region	18-20	0		8
Capital Region	18-20	0	Both	202
Capital Region	18-20	0	Father only	21
Capital Region	18-20	0	Mother only	37
Capital Region	18-20	0	Neither	15
Capital Region	18-20	1		3
Capital Region	18-20	1	Both	889
Capital Region	18-20	1	Father only	105
Capital Region	18-20	1	Mother only	99
Capital Region	18-20	1	Neither	147
Capital Region	21-24	0	Both	79
Capital Region	21-24	0	Father only	12
Capital Region	21-24	0	Mother only	14
Capital Region	21-24	0	Neither	10
Capital Region	21-24	1	Both	305
Capital Region	21-24	1	Father only	32
Capital Region	21-24	1	Mother only	37
Capital Region	21-24	1	Neither	43
Central Coast	0-4	0		96
Central Coast	0-4	0	Both	2631
Central Coast	0-4	0	Father only	145
Central Coast	0-4	0	Mother only	321
Central Coast	0-4	0	Neither	90
Central Coast	0-4	1		57
Central Coast	0-4	1	Both	10528
Central Coast	0-4	1	Father only	1497
Central Coast	0-4	1	Mother only	1377
Central Coast	0-4	1	Neither	1615
Central Coast	5-9	0		96
Central Coast	5-9	0	Both	3440
Central Coast	5-9	0	Father only	322
Central Coast	5-9	0	Mother only	524
Central Coast	5-9	0	Neither	188
Central Coast	5-9	1		66
Central Coast	5-9	1	Both	10398
Central Coast	5-9	1	Father only	1430
Central Coast	5-9	1	Mother only	1496
Central Coast	5-9	1	Neither	1854
Central Coast	10-12	0		73
Central Coast	10-12	0	Both	2383
Central Coast	10-12	0	Father only	242
Central Coast	10-12	0	Mother only	346
Central Coast	10-12	0	Neither	174
Central Coast	10-12	1		45
Central Coast	10-12	1	Both	6184
Central Coast	10-12	1	Father only	839
Central Coast	10-12	1	Mother only	894
Central Coast	10-12	1	Neither	1094
Central Coast	13-14	0		44
Central Coast	13-14	0	Both	1690
Central Coast	13-14	0	Father only	173
Central Coast	13-14	0	Mother only	249
Central Coast	13-14	0	Neither	136
Central Coast	13-14	1		26
Central Coast	13-14	1	Both	4124
Central Coast	13-14	1	Father only	530
Central Coast	13-14	1	Mother only	616
Central Coast	13-14	1	Neither	679
Central Coast	15-17	0		30
Central Coast	15-17	0	Both	1976
Central Coast	15-17	0	Father only	217
Central Coast	15-17	0	Mother only	315
Central Coast	15-17	0	Neither	190
Central Coast	15-17	1		16
Central Coast	15-17	1	Both	5023
Central Coast	15-17	1	Father only	622
Central Coast	15-17	1	Mother only	736
Central Coast	15-17	1	Neither	834
Central Coast	18-20	0		8
Central Coast	18-20	0	Both	533
Central Coast	18-20	0	Father only	84
Central Coast	18-20	0	Mother only	108
Central Coast	18-20	0	Neither	69
Central Coast	18-20	1		3
Central Coast	18-20	1	Both	1741
Central Coast	18-20	1	Father only	232
Central Coast	18-20	1	Mother only	283
Central Coast	18-20	1	Neither	361
Central Coast	21-24	0	Both	232
Central Coast	21-24	0	Father only	44
Central Coast	21-24	0	Mother only	50
Central Coast	21-24	0	Neither	38
Central Coast	21-24	1	Both	789
Central Coast	21-24	1	Father only	96
Central Coast	21-24	1	Mother only	125
Central Coast	21-24	1	Neither	180
Central West	0-4	0		75
Central West	0-4	0	Both	1875
Central West	0-4	0	Father only	47
Central West	0-4	0	Mother only	100
Central West	0-4	0	Neither	27
Central West	0-4	1		36
Central West	0-4	1	Both	8034
Central West	0-4	1	Father only	405
Central West	0-4	1	Mother only	351
Central West	0-4	1	Neither	653
Central West	5-9	0		85
Central West	5-9	0	Both	2682
Central West	5-9	0	Father only	87
Central West	5-9	0	Mother only	146
Central West	5-9	0	Neither	51
Central West	5-9	1		54
Central West	5-9	1	Both	8413
Central West	5-9	1	Father only	410
Central West	5-9	1	Mother only	403
Central West	5-9	1	Neither	588
Central West	10-12	0		46
Central West	10-12	0	Both	1686
Central West	10-12	0	Father only	55
Central West	10-12	0	Mother only	115
Central West	10-12	0	Neither	43
Central West	10-12	1		31
Central West	10-12	1	Both	5142
Central West	10-12	1	Father only	280
