SA4_NAME16	CountryOfBirth	persons
Capital Region		19817
Capital Region	AFG	37
Capital Region	AUS	190530
Capital Region	BGD	243
Capital Region	BIH	64
Capital Region	BRA	113
Capital Region	CAN	444
Capital Region	CHL	158
Capital Region	CHN	648
Capital Region	DEU	1230
Capital Region	EGY	122
Capital Region	FJI	317
Capital Region	FRA	243
Capital Region	GBR	8806
Capital Region	GRC	273
Capital Region	HKG	141
Capital Region	HRV	406
Capital Region	IDN	234
Capital Region	IND	2057
Capital Region	IRL	420
Capital Region	IRN	106
Capital Region	IRQ	54
Capital Region	ITA	746
Capital Region	JPN	114
Capital Region	KHM	56
Capital Region	KOR	183
Capital Region	LBN	214
Capital Region	LKA	234
Capital Region	MKD	605
Capital Region	MLT	209
Capital Region	MMR	49
Capital Region	MUS	45
Capital Region	MYS	331
Capital Region	NLD	753
Capital Region	NPL	815
Capital Region	NZL	2873
Capital Region	PAK	269
Capital Region	PHL	1377
Capital Region	PNG	216
Capital Region	POL	207
Capital Region	SGP	152
Capital Region	THA	447
Capital Region	TUR	75
Capital Region	TWN	143
Capital Region	USA	988
Capital Region	VNM	229
Capital Region	WSM	72
Capital Region	ZAF	802
Capital Region	ZWE	170
Central Coast		22898
Central Coast	AFG	20
Central Coast	AUS	273712
Central Coast	BGD	131
Central Coast	BIH	73
Central Coast	BRA	406
Central Coast	CAN	681
Central Coast	CHL	390
Central Coast	CHN	1893
Central Coast	DEU	1219
Central Coast	EGY	424
Central Coast	FJI	443
Central Coast	FRA	346
Central Coast	GBR	18094
Central Coast	GRC	341
Central Coast	HKG	364
Central Coast	HRV	307
Central Coast	IDN	536
Central Coast	IND	2362
Central Coast	IRL	1176
Central Coast	IRN	218
Central Coast	IRQ	53
Central Coast	ITA	940
Central Coast	JPN	353
Central Coast	KHM	94
Central Coast	KOR	810
Central Coast	LBN	238
Central Coast	LKA	306
Central Coast	MKD	48
Central Coast	MLT	666
Central Coast	MMR	69
Central Coast	MUS	180
Central Coast	MYS	520
Central Coast	NLD	955
Central Coast	NPL	533
Central Coast	NZL	5863
Central Coast	PAK	201
Central Coast	PHL	2487
Central Coast	PNG	294
Central Coast	POL	431
Central Coast	SGP	236
Central Coast	THA	856
Central Coast	TUR	139
Central Coast	TWN	115
Central Coast	USA	1252
Central Coast	VNM	431
Central Coast	WSM	68
Central Coast	ZAF	2100
Central Coast	ZWE	325
Central West		17528
Central West	AFG	26
Central West	AUS	179261
Central West	BGD	126
Central West	BIH	33
Central West	BRA	39
Central West	CAN	224
Central West	CHL	60
Central West	CHN	512
Central West	DEU	547
Central West	EGY	44
Central West	FJI	204
Central West	FRA	117
Central West	GBR	4428
Central West	GRC	97
Central West	HKG	101
Central West	HRV	122
Central West	IDN	135
Central West	IND	1267
Central West	IRL	262
Central West	IRN	81
Central West	IRQ	60
Central West	ITA	283
Central West	JPN	89
Central West	KHM	58
Central West	KOR	144
Central West	LBN	103
Central West	LKA	236
Central West	MKD	17
Central West	MLT	90
Central West	MMR	22
Central West	MUS	20
Central West	MYS	208
Central West	NLD	434
Central West	NPL	558
Central West	NZL	1885
Central West	PAK	188
Central West	PHL	1117
Central West	PNG	105
Central West	POL	102
Central West	SGP	94
Central West	THA	315
Central West	TUR	30
Central West	TWN	50
Central West	USA	429
Central West	VNM	216
Central West	WSM	36
Central West	ZAF	641
Central West	ZWE	198
Coffs Harbour - Grafton		11994
Coffs Harbour - Grafton	AFG	65
Coffs Harbour - Grafton	AUS	117944
Coffs Harbour - Grafton	BGD	10
Coffs Harbour - Grafton	BIH	10
Coffs Harbour - Grafton	BRA	65
Coffs Harbour - Grafton	CAN	316
Coffs Harbour - Grafton	CHL	53
Coffs Harbour - Grafton	CHN	286
Coffs Harbour - Grafton	DEU	649
Coffs Harbour - Grafton	EGY	55
Coffs Harbour - Grafton	FJI	127
Coffs Harbour - Grafton	FRA	142
Coffs Harbour - Grafton	GBR	5099
Coffs Harbour - Grafton	GRC	37
Coffs Harbour - Grafton	HKG	107
Coffs Harbour - Grafton	HRV	41
Coffs Harbour - Grafton	IDN	125
Coffs Harbour - Grafton	IND	1535
Coffs Harbour - Grafton	IRL	210
Coffs Harbour - Grafton	IRN	35
Coffs Harbour - Grafton	IRQ	389
Coffs Harbour - Grafton	ITA	192
Coffs Harbour - Grafton	JPN	150
Coffs Harbour - Grafton	KHM	20
Coffs Harbour - Grafton	KOR	76
Coffs Harbour - Grafton	LBN	27
Coffs Harbour - Grafton	LKA	74
Coffs Harbour - Grafton	MKD	8
Coffs Harbour - Grafton	MLT	68
Coffs Harbour - Grafton	MMR	455
Coffs Harbour - Grafton	MUS	16
Coffs Harbour - Grafton	MYS	425
Coffs Harbour - Grafton	NLD	459
Coffs Harbour - Grafton	NPL	112
Coffs Harbour - Grafton	NZL	1938
Coffs Harbour - Grafton	PAK	43
Coffs Harbour - Grafton	PHL	663
Coffs Harbour - Grafton	PNG	177
Coffs Harbour - Grafton	POL	85
Coffs Harbour - Grafton	SGP	69
Coffs Harbour - Grafton	THA	275
Coffs Harbour - Grafton	TUR	34
Coffs Harbour - Grafton	TWN	128
Coffs Harbour - Grafton	USA	480
Coffs Harbour - Grafton	VNM	126
Coffs Harbour - Grafton	WSM	24
Coffs Harbour - Grafton	ZAF	606
Coffs Harbour - Grafton	ZWE	86
Far West and Orana		14090
Far West and Orana	AFG	5
Far West and Orana	AUS	93743
Far West and Orana	BGD	160
Far West and Orana	BIH	16
Far West and Orana	BRA	15
Far West and Orana	CAN	70
Far West and Orana	CHL	31
Far West and Orana	CHN	252
Far West and Orana	DEU	221
Far West and Orana	EGY	33
Far West and Orana	FJI	126
Far West and Orana	FRA	50
Far West and Orana	GBR	1295
Far West and Orana	GRC	46
Far West and Orana	HKG	50
Far West and Orana	HRV	30
Far West and Orana	IDN	57
Far West and Orana	IND	1019
Far West and Orana	IRL	106
Far West and Orana	IRN	32
Far West and Orana	IRQ	9
Far West and Orana	ITA	87
Far West and Orana	JPN	30
Far West and Orana	KHM	14
Far West and Orana	KOR	64
Far West and Orana	LBN	47
Far West and Orana	LKA	197
Far West and Orana	MKD	9
Far West and Orana	MLT	36
Far West and Orana	MMR	20
Far West and Orana	MUS	11
Far West and Orana	MYS	86
Far West and Orana	NLD	145
Far West and Orana	NPL	771
Far West and Orana	NZL	746
Far West and Orana	PAK	209
Far West and Orana	PHL	741
Far West and Orana	PNG	67
Far West and Orana	POL	23
Far West and Orana	SGP	24
Far West and Orana	THA	116
Far West and Orana	TUR	9
Far West and Orana	TWN	45
