SA4_NAME16	HomeCensusNight	Sex	persons
Melbourne - South East	1	M	420777
Melbourne - West	0	F	7939
Melbourne - West	0	M	8359
Melbourne - West	1	F	418245
Melbourne - West	1	M	418499
Mornington Peninsula	0	F	6119
Mornington Peninsula	0	M	6302
Mornington Peninsula	1	F	152389
Mornington Peninsula	1	M	143416
North West	0	F	2977
North West	0	M	3537
North West	1	F	74942
North West	1	M	74118
Shepparton	0	F	2725
Shepparton	0	M	3053
Shepparton	1	F	66559
Shepparton	1	M	65288
Warrnambool and South West	0	F	2850
Warrnambool and South West	0	M	3085
Warrnambool and South West	1	F	62070
Warrnambool and South West	1	M	60055
Migratory - Offshore - Shipping (Vic.)	1	F	6
Migratory - Offshore - Shipping (Vic.)	1	M	35
No usual address (Vic.)	0	F	3915
No usual address (Vic.)	0	M	5170
Brisbane - East	0	F	3582
Brisbane - East	0	M	4466
Brisbane - East	1	F	119110
Brisbane - East	1	M	112656
Brisbane - North	0	F	3220
Brisbane - North	0	M	3934
Brisbane - North	1	F	112075
Brisbane - North	1	M	105365
Brisbane - South	0	F	4817
Brisbane - South	0	M	5248
Brisbane - South	1	F	183787
Brisbane - South	1	M	177167
Brisbane - West	0	F	2926
Brisbane - West	0	M	3390
Brisbane - West	1	F	93658
Brisbane - West	1	M	89238
Brisbane Inner City	0	F	5906
Brisbane Inner City	0	M	6327
Brisbane Inner City	1	F	141683
Brisbane Inner City	1	M	138329
Cairns	0	F	5569
Cairns	0	M	7163
Cairns	1	F	122168
Cairns	1	M	118849
Darling Downs - Maranoa	0	F	3147
Darling Downs - Maranoa	0	M	4134
Darling Downs - Maranoa	1	F	61117
Darling Downs - Maranoa	1	M	60226
Central Queensland	0	F	5416
Central Queensland	0	M	8923
Central Queensland	1	F	107412
Central Queensland	1	M	106493
Gold Coast	0	F	10033
Gold Coast	0	M	11880
Gold Coast	1	F	319596
Gold Coast	1	M	299277
Ipswich	0	F	4971
Ipswich	0	M	6361
Ipswich	1	F	179528
Ipswich	1	M	176259
Logan - Beaudesert	0	F	4740
Logan - Beaudesert	0	M	5632
Logan - Beaudesert	1	F	177433
Logan - Beaudesert	1	M	171968
Mackay - Isaac - Whitsunday	0	F	4694
Mackay - Isaac - Whitsunday	0	M	8007
Mackay - Isaac - Whitsunday	1	F	83492
Mackay - Isaac - Whitsunday	1	M	84704
Moreton Bay - North	0	F	4391
Moreton Bay - North	0	M	5560
Moreton Bay - North	1	F	131298
Moreton Bay - North	1	M	123503
Moreton Bay - South	0	F	2880
Moreton Bay - South	0	M	3608
Moreton Bay - South	1	F	107874
Moreton Bay - South	1	M	103343
Queensland - Outback	0	F	2784
Queensland - Outback	0	M	3140
Queensland - Outback	1	F	35651
Queensland - Outback	1	M	38243
Sunshine Coast	0	F	8092
Sunshine Coast	0	M	10057
Sunshine Coast	1	F	198745
Sunshine Coast	1	M	181955
Toowoomba	0	F	3225
Toowoomba	0	M	3897
Toowoomba	1	F	80694
Toowoomba	1	M	74243
Townsville	0	F	4828
Townsville	0	M	7645
Townsville	1	F	112316
Townsville	1	M	109497
Wide Bay	0	F	7426
Wide Bay	0	M	9197
Wide Bay	1	F	148601
Wide Bay	1	M	142513
Migratory - Offshore - Shipping (Qld)	0	F	23
Migratory - Offshore - Shipping (Qld)	0	M	45
Migratory - Offshore - Shipping (Qld)	1	F	12
Migratory - Offshore - Shipping (Qld)	1	M	108
No usual address (Qld)	0	F	6807
No usual address (Qld)	0	M	7861
Adelaide - Central and Hills	0	F	5367
Adelaide - Central and Hills	0	M	5928
Adelaide - Central and Hills	1	F	155059
Adelaide - Central and Hills	1	M	146022
Adelaide - North	0	F	6289
Adelaide - North	0	M	7947
Adelaide - North	1	F	222747
Adelaide - North	1	M	218721
Adelaide - South	0	F	6595
Adelaide - South	0	M	7803
Adelaide - South	1	F	186148
Adelaide - South	1	M	174316
Adelaide - West	0	F	4007
Adelaide - West	0	M	4535
Adelaide - West	1	F	120746
Adelaide - West	1	M	115057
Barossa - Yorke - Mid North	0	F	2965
Barossa - Yorke - Mid North	0	M	3635
Barossa - Yorke - Mid North	1	F	54299
Barossa - Yorke - Mid North	1	M	53591
South Australia - Outback	0	F	2533
South Australia - Outback	0	M	3220
South Australia - Outback	1	F	37939
South Australia - Outback	1	M	38958
South Australia - South East	0	F	5082
South Australia - South East	0	M	5960
South Australia - South East	1	F	91632
South Australia - South East	1	M	91032
Migratory - Offshore - Shipping (SA)	1	M	12
No usual address (SA)	0	F	1506
No usual address (SA)	0	M	1873
Bunbury	0	F	6259
Bunbury	0	M	8842
Bunbury	1	F	89224
Bunbury	1	M	84426
Mandurah	0	F	3363
Mandurah	0	M	5199
Mandurah	1	F	52294
Mandurah	1	M	46784
Perth - Inner	0	F	4354
Perth - Inner	0	M	5370
Perth - Inner	1	F	87890
Perth - Inner	1	M	84650
Perth - North East	0	F	5070
Perth - North East	0	M	8159
Perth - North East	1	F	133405
Perth - North East	1	M	129938
Perth - North West	0	F	9999
Perth - North West	0	M	15914
Perth - North West	1	F	284235
Perth - North West	1	M	267151
Perth - South East	0	F	8993
Perth - South East	0	M	13607
Perth - South East	1	F	256327
Perth - South East	1	M	250536
Perth - South West	0	F	8616
Perth - South West	0	M	14020
Perth - South West	1	F	216930
Perth - South West	1	M	203849
Western Australia - Wheat Belt	0	F	4763
Western Australia - Wheat Belt	0	M	6406
Western Australia - Wheat Belt	1	F	62806
Western Australia - Wheat Belt	1	M	63210
Western Australia - Outback (North)	0	F	2735
Western Australia - Outback (North)	0	M	3074
Western Australia - Outback (North)	1	F	39266
Western Australia - Outback (North)	1	M	45050
