SA4_NAME21	Age	UsualResidence	persons
Capital Region	0-14	Home	40346
Capital Region	0-14	Visitor from ACT	265
Capital Region	0-14	Visitor from NSW	1514
Capital Region	0-14	Visitor from QLD	27
Capital Region	0-14	Visitor from SA	4
Capital Region	0-14	Visitor from TAS	8
Capital Region	0-14	Visitor from VIC	28
Capital Region	0-14	Visitor same SA2	28
Capital Region	15-24	Home	22383
Capital Region	15-24	Visitor from ACT	277
Capital Region	15-24	Visitor from NSW	2237
Capital Region	15-24	Visitor from NT	14
Capital Region	15-24	Visitor from QLD	205
Capital Region	15-24	Visitor from SA	42
Capital Region	15-24	Visitor from TAS	24
Capital Region	15-24	Visitor from VIC	104
Capital Region	15-24	Visitor from WA	44
Capital Region	15-24	Visitor same SA2	46
Capital Region	25-34	Home	25441
Capital Region	25-34	Visitor from ACT	387
Capital Region	25-34	Visitor from NSW	1874
Capital Region	25-34	Visitor from NT	6
Capital Region	25-34	Visitor from QLD	142
Capital Region	25-34	Visitor from SA	61
Capital Region	25-34	Visitor from TAS	17
Capital Region	25-34	Visitor from VIC	137
Capital Region	25-34	Visitor from WA	38
Capital Region	25-34	Visitor same SA2	50
Capital Region	35-44	Home	26162
Capital Region	35-44	Visitor from ACT	287
Capital Region	35-44	Visitor from NSW	1375
Capital Region	35-44	Visitor from QLD	58
Capital Region	35-44	Visitor from SA	17
Capital Region	35-44	Visitor from TAS	11
Capital Region	35-44	Visitor from VIC	53
Capital Region	35-44	Visitor from WA	13
Capital Region	35-44	Visitor same SA2	43
Capital Region	45-54	Home	30155
Capital Region	45-54	Visitor from ACT	287
Capital Region	45-54	Visitor from NSW	1607
Capital Region	45-54	Visitor from QLD	115
Capital Region	45-54	Visitor from SA	30
Capital Region	45-54	Visitor from TAS	19
Capital Region	45-54	Visitor from VIC	97
Capital Region	45-54	Visitor from WA	14
Capital Region	45-54	Visitor same SA2	60
Capital Region	55-64	Home	33291
Capital Region	55-64	Visitor from ACT	470
Capital Region	55-64	Visitor from NSW	1955
Capital Region	55-64	Visitor from NT	4
