SA4_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Capital Region					724
Capital Region	0	0	0	1	3437
Capital Region	0	0	1	0	739
Capital Region	0	0	1	1	288
Capital Region	0	1	0	0	3693
Capital Region	0	1	0	1	367
Capital Region	0	1	1	0	591
Capital Region	0	1	1	1	138
Capital Region	1	0	0	1	4773
Capital Region	1	0	1	0	1742
Capital Region	1	0	1	1	1052
Capital Region	1	1	0	0	13339
Capital Region	1	1	0	1	874
Capital Region	1	1	1	0	2365
Capital Region	1	1	1	1	441
Central Coast					1228
Central Coast	0	0	0	1	7103
Central Coast	0	0	1	0	1494
Central Coast	0	0	1	1	688
Central Coast	0	1	0	0	6746
Central Coast	0	1	0	1	698
Central Coast	0	1	1	0	1195
Central Coast	0	1	1	1	265
Central Coast	1	0	0	1	7792
Central Coast	1	0	1	0	2842
Central Coast	1	0	1	1	1929
Central Coast	1	1	0	0	19782
Central Coast	1	1	0	1	1228
Central Coast	1	1	1	0	3613
Central Coast	1	1	1	1	723
Central West					796
Central West	0	0	0	1	3282
Central West	0	0	1	0	650
Central West	0	0	1	1	249
Central West	0	1	0	0	3988
Central West	0	1	0	1	474
Central West	0	1	1	0	647
Central West	0	1	1	1	144
Central West	1	0	0	1	3869
Central West	1	0	1	0	1470
Central West	1	0	1	1	800
Central West	1	1	0	0	11969
Central West	1	1	0	1	768
Central West	1	1	1	0	2182
Central West	1	1	1	1	477
Coffs Harbour - Grafton					543
Coffs Harbour - Grafton	0	0	0	1	2654
Coffs Harbour - Grafton	0	0	1	0	531
Coffs Harbour - Grafton	0	0	1	1	205
Coffs Harbour - Grafton	0	1	0	0	2980
Coffs Harbour - Grafton	0	1	0	1	312
Coffs Harbour - Grafton	0	1	1	0	480
Coffs Harbour - Grafton	0	1	1	1	88
Coffs Harbour - Grafton	1	0	0	1	2775
Coffs Harbour - Grafton	1	0	1	0	911
Coffs Harbour - Grafton	1	0	1	1	480
Coffs Harbour - Grafton	1	1	0	0	7181
Coffs Harbour - Grafton	1	1	0	1	516
Coffs Harbour - Grafton	1	1	1	0	1306
Coffs Harbour - Grafton	1	1	1	1	224
Far West and Orana					518
Far West and Orana	0	0	0	1	1850
Far West and Orana	0	0	1	0	328
Far West and Orana	0	0	1	1	125
Far West and Orana	0	1	0	0	2567
Far West and Orana	0	1	0	1	287
Far West and Orana	0	1	1	0	316
Far West and Orana	0	1	1	1	82
Far West and Orana	1	0	0	1	1903
Far West and Orana	1	0	1	0	623
Far West and Orana	1	0	1	1	375
Far West and Orana	1	1	0	0	5978
Far West and Orana	1	1	0	1	387
Far West and Orana	1	1	1	0	1021
Far West and Orana	1	1	1	1	191
Hunter Valley exc Newcastle					987
Hunter Valley exc Newcastle	0	0	0	1	4964
Hunter Valley exc Newcastle	0	0	1	0	971
Hunter Valley exc Newcastle	0	0	1	1	439
Hunter Valley exc Newcastle	0	1	0	0	6013
Hunter Valley exc Newcastle	0	1	0	1	671
Hunter Valley exc Newcastle	0	1	1	0	973
Hunter Valley exc Newcastle	0	1	1	1	238
Hunter Valley exc Newcastle	1	0	0	1	6542
Hunter Valley exc Newcastle	1	0	1	0	2043
Hunter Valley exc Newcastle	1	0	1	1	1439
Hunter Valley exc Newcastle	1	1	0	0	17459
Hunter Valley exc Newcastle	1	1	0	1	1329
Hunter Valley exc Newcastle	1	1	1	0	2995
Hunter Valley exc Newcastle	1	1	1	1	637
Illawarra					1200
Illawarra	0	0	0	1	5825
Illawarra	0	0	1	0	1270
Illawarra	0	0	1	1	604
Illawarra	0	1	0	0	4992
Illawarra	0	1	0	1	545
Illawarra	0	1	1	0	938
Illawarra	0	1	1	1	192
Illawarra	1	0	0	1	7820
Illawarra	1	0	1	0	2776
Illawarra	1	0	1	1	2046
Illawarra	1	1	0	0	18946
Illawarra	1	1	0	1	1032
Illawarra	1	1	1	0	3427
Illawarra	1	1	1	1	617
Mid North Coast					856
Mid North Coast	0	0	0	1	4306
Mid North Coast	0	0	1	0	815
Mid North Coast	0	0	1	1	289
Mid North Coast	0	1	0	0	4326
Mid North Coast	0	1	0	1	505
Mid North Coast	0	1	1	0	727
Mid North Coast	0	1	1	1	185
Mid North Coast	1	0	0	1	4387
Mid North Coast	1	0	1	0	1372
Mid North Coast	1	0	1	1	764
Mid North Coast	1	1	0	0	9795
Mid North Coast	1	1	0	1	795
Mid North Coast	1	1	1	0	1889
Mid North Coast	1	1	1	1	377
Murray					407
Murray	0	0	0	1	1682
Murray	0	0	1	0	418
Murray	0	0	1	1	157
Murray	0	1	0	0	2099
Murray	0	1	0	1	212
Murray	0	1	1	0	377
Murray	0	1	1	1	67
Murray	1	0	0	1	2166
Murray	1	0	1	0	830
Murray	1	0	1	1	504
Murray	1	1	0	0	6659
Murray	1	1	0	1	386
Murray	1	1	1	0	1240
Murray	1	1	1	1	240
New England and North West					785
New England and North West	0	0	0	1	2799
New England and North West	0	0	1	0	554
New England and North West	0	0	1	1	203
New England and North West	0	1	0	0	3811
New England and North West	0	1	0	1	350
New England and North West	0	1	1	0	562
New England and North West	0	1	1	1	112
New England and North West	1	0	0	1	3073
