SA4_NAME21	medianTotalFamilyIncome
Capital Region	104676
Central Coast	101608
Central West	98696
Coffs Harbour - Grafton	80132
Far West and Orana	92924
Hunter Valley exc Newcastle	100100
Illawarra	109668
Mid North Coast	73892
Murray	92560
New England and North West	89388
Newcastle and Lake Macquarie	110708
Richmond - Tweed	88400
Riverina	98696
Southern Highlands and Shoalhaven	89544
Sydney - Baulkham Hills and Hawkesbury	150436
Sydney - Blacktown	117104
Sydney - City and Inner South	150124
Sydney - Eastern Suburbs	177008
Sydney - Inner South West	102544
Sydney - Inner West	143364
Sydney - North Sydney and Hornsby	172068
Sydney - Northern Beaches	162812
Sydney - Outer South West	111072
Sydney - Outer West and Blue Mountains	114088
Sydney - Parramatta	105404
Sydney - Ryde	137332
Sydney - South West	96200
Sydney - Sutherland	143364
Migratory - Offshore - Shipping (NSW)	
No usual address (NSW)	
Ballarat	93600
Bendigo	96928
Geelong	109200
Hume	93496
Latrobe - Gippsland	85072
Melbourne - Inner	147316
Melbourne - Inner East	132704
Melbourne - Inner South	149136
Melbourne - North East	114296
Melbourne - North West	105612
Melbourne - Outer East	117364
Melbourne - South East	104208
Melbourne - West	108004
Mornington Peninsula	107952
North West	86216
Shepparton	86476
Warrnambool and South West	91936
Migratory - Offshore - Shipping (Vic.)	
No usual address (Vic.)	
Brisbane - East	116740
Brisbane - North	124020
Brisbane - South	120068
Brisbane - West	145080
Brisbane Inner City	154336
Cairns	93912
Darling Downs - Maranoa	82264
Central Queensland	105820
Gold Coast	104468
Ipswich	97188
Logan - Beaudesert	94068
Mackay - Isaac - Whitsunday	114452
Moreton Bay - North	87672
Moreton Bay - South	116376
Queensland - Outback	97136
Sunshine Coast	98956
Toowoomba	98384
Townsville	104832
Wide Bay	70200
Migratory - Offshore - Shipping (Qld)	143000
No usual address (Qld)	
Adelaide - Central and Hills	121888
Adelaide - North	90324
Adelaide - South	104260
Adelaide - West	105040
Barossa - Yorke - Mid North	79352
South Australia - Outback	87776
South Australia - South East	76960
Migratory - Offshore - Shipping (SA)	
No usual address (SA)	
Bunbury	98332
Mandurah	86528
Perth - Inner	168428
Perth - North East	112528
Perth - North West	119704
Perth - South East	111228
Perth - South West	119496
Western Australia - Wheat Belt	91364
Western Australia - Outback (North)	145340
Western Australia - Outback (South)	111904
Migratory - Offshore - Shipping (WA)	71500
No usual address (WA)	
Hobart	99840
Launceston and North East	83668
South East	76700
West and North West	79976
Migratory - Offshore - Shipping (Tas.)	
No usual address (Tas.)	
Darwin	129220
Northern Territory - Outback	73164
Migratory - Offshore - Shipping (NT)	
No usual address (NT)	
Australian Capital Territory	149344
Migratory - Offshore - Shipping (ACT)	
No usual address (ACT)	
Other Territories	98280
Migratory - Offshore - Shipping (OT)	
No usual address (OT)	
