SA4_NAME21	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Capital Region	0	1	25903
Capital Region	0	2	1871
Capital Region	0	3	261
Capital Region	0	4	100
Capital Region	0	5	18
Capital Region	0	6	29
Capital Region	1	2	32119
Capital Region	1	3	11837
Capital Region	1	4	11323
Capital Region	1	5	5098
Capital Region	1	6	2515
Central Coast	0	1	35866
Central Coast	0	2	3184
Central Coast	0	3	468
Central Coast	0	4	147
Central Coast	0	5	38
Central Coast	0	6	19
Central Coast	1	2	41981
Central Coast	1	3	19184
Central Coast	1	4	18913
Central Coast	1	5	8031
Central Coast	1	6	3896
Central West	0	1	23550
Central West	0	2	1721
Central West	0	3	303
Central West	0	4	80
Central West	0	5	30
Central West	0	6	6
Central West	1	2	26563
Central West	1	3	10519
Central West	1	4	9756
Central West	1	5	5089
Central West	1	6	2420
Coffs Harbour - Grafton	0	1	15746
Coffs Harbour - Grafton	0	2	1623
Coffs Harbour - Grafton	0	3	215
Coffs Harbour - Grafton	0	4	67
Coffs Harbour - Grafton	0	5	19
Coffs Harbour - Grafton	0	6	26
Coffs Harbour - Grafton	1	2	19754
Coffs Harbour - Grafton	1	3	7365
Coffs Harbour - Grafton	1	4	6444
Coffs Harbour - Grafton	1	5	2950
Coffs Harbour - Grafton	1	6	1691
Far West and Orana	0	1	12882
Far West and Orana	0	2	965
Far West and Orana	0	3	157
Far West and Orana	0	4	41
Far West and Orana	0	5	18
Far West and Orana	0	6	13
Far West and Orana	1	2	13240
Far West and Orana	1	3	5636
Far West and Orana	1	4	4840
Far West and Orana	1	5	2507
Far West and Orana	1	6	1403
Hunter Valley exc Newcastle	0	1	26243
Hunter Valley exc Newcastle	0	2	2196
Hunter Valley exc Newcastle	0	3	295
Hunter Valley exc Newcastle	0	4	72
Hunter Valley exc Newcastle	0	5	29
Hunter Valley exc Newcastle	0	6	16
Hunter Valley exc Newcastle	1	2	35985
Hunter Valley exc Newcastle	1	3	16107
Hunter Valley exc Newcastle	1	4	15485
Hunter Valley exc Newcastle	1	5	7190
Hunter Valley exc Newcastle	1	6	3565
Illawarra	0	1	29162
Illawarra	0	2	2829
Illawarra	0	3	942
Illawarra	0	4	394
Illawarra	0	5	122
Illawarra	0	6	67
Illawarra	1	2	37033
Illawarra	1	3	17436
Illawarra	1	4	18126
Illawarra	1	5	7429
Illawarra	1	6	3256
Mid North Coast	0	1	27569
Mid North Coast	0	2	2309
Mid North Coast	0	3	277
Mid North Coast	0	4	74
Mid North Coast	0	5	32
Mid North Coast	0	6	20
Mid North Coast	1	2	34537
Mid North Coast	1	3	10940
Mid North Coast	1	4	9268
Mid North Coast	1	5	4265
Mid North Coast	1	6	2361
Murray	0	1	14523
Murray	0	2	1094
Murray	0	3	174
Murray	0	4	63
Murray	0	5	20
Murray	0	6	8
Murray	1	2	16560
Murray	1	3	5846
Murray	1	4	5534
