SA4_NAME16	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
Capital Region				41
Capital Region			0	15
Capital Region			1	58
Capital Region			2	89
Capital Region			3	69
Capital Region			4	37
Capital Region			5	12
Capital Region			6	13
Capital Region		1 storey		113
Capital Region		1 storey	0	27
Capital Region		1 storey	1	478
Capital Region		1 storey	2	2507
Capital Region		1 storey	3	1697
Capital Region		1 storey	4	154
Capital Region		1 storey	5	13
Capital Region		1 storey	6	15
Capital Region		2 storeys or more		57
Capital Region		2 storeys or more	0	7
Capital Region		2 storeys or more	1	238
Capital Region		2 storeys or more	2	1340
Capital Region		2 storeys or more	3	1232
Capital Region		2 storeys or more	4	151
Capital Region		2 storeys or more	5	11
Capital Region		2 storeys or more	6	9
Capital Region	(Other)			31
Capital Region	(Other)		0	89
Capital Region	(Other)		1	283
Capital Region	(Other)		2	305
Capital Region	(Other)		3	103
Capital Region	(Other)		4	38
Capital Region	(Other)		5	11
Capital Region	(Other)		6	18
Capital Region	Flat/apartment	1 or 2 storey block		86
Capital Region	Flat/apartment	1 or 2 storey block	0	56
Capital Region	Flat/apartment	1 or 2 storey block	1	870
Capital Region	Flat/apartment	1 or 2 storey block	2	1828
Capital Region	Flat/apartment	1 or 2 storey block	3	588
Capital Region	Flat/apartment	1 or 2 storey block	4	65
Capital Region	Flat/apartment	1 or 2 storey block	5	12
Capital Region	Flat/apartment	1 or 2 storey block	6	19
Capital Region	Flat/apartment	3 storey block		12
Capital Region	Flat/apartment	3 storey block	0	12
Capital Region	Flat/apartment	3 storey block	1	185
Capital Region	Flat/apartment	3 storey block	2	483
Capital Region	Flat/apartment	3 storey block	3	67
Capital Region	Flat/apartment	3 storey block	4	8
Capital Region	Flat/apartment	4-8 storey block		15
Capital Region	Flat/apartment	4-8 storey block	1	219
Capital Region	Flat/apartment	4-8 storey block	2	692
Capital Region	Flat/apartment	4-8 storey block	3	54
Capital Region	Flat/apartment	9 or more storey block	1	17
Capital Region	Flat/apartment	9 or more storey block	2	56
Capital Region	Flat/apartment	9 or more storey block	3	7
Capital Region	Flat/apartment	Attached to a house		3
Capital Region	Flat/apartment	Attached to a house	1	28
Capital Region	Flat/apartment	Attached to a house	2	37
Capital Region	Flat/apartment	Attached to a house	3	36
Capital Region	Flat/apartment	Attached to a house	4	12
Capital Region	Flat/apartment	Attached to a house	5	6
Capital Region	Flat/apartment	Attached to a house	6	3
Capital Region	Separate house			1106
Capital Region	Separate house		0	332
Capital Region	Separate house		1	1691
Capital Region	Separate house		2	8380
Capital Region	Separate house		3	31585
Capital Region	Separate house		4	25835
Capital Region	Separate house		5	5836
Capital Region	Separate house		6	1574
Central Coast				27
Central Coast			0	23
Central Coast			1	70
Central Coast			2	64
Central Coast			3	54
Central Coast			4	22
Central Coast			5	5
Central Coast			6	8
Central Coast		1 storey		266
Central Coast		1 storey	0	64
Central Coast		1 storey	1	635
Central Coast		1 storey	2	4561
Central Coast		1 storey	3	3874
Central Coast		1 storey	4	189
Central Coast		1 storey	5	31
Central Coast		1 storey	6	17
Central Coast		2 storeys or more		116
Central Coast		2 storeys or more	0	19
Central Coast		2 storeys or more	1	467
Central Coast		2 storeys or more	2	1665
Central Coast		2 storeys or more	3	3435
Central Coast		2 storeys or more	4	368
Central Coast		2 storeys or more	5	32
Central Coast		2 storeys or more	6	12
Central Coast	(Other)			48
Central Coast	(Other)		0	63
Central Coast	(Other)		1	278
Central Coast	(Other)		2	414
Central Coast	(Other)		3	145
Central Coast	(Other)		4	27
Central Coast	(Other)		5	11
Central Coast	Flat/apartment		0	12
Central Coast	Flat/apartment	1 or 2 storey block		164
Central Coast	Flat/apartment	1 or 2 storey block	0	88
Central Coast	Flat/apartment	1 or 2 storey block	1	970
Central Coast	Flat/apartment	1 or 2 storey block	2	3067
Central Coast	Flat/apartment	1 or 2 storey block	3	1948
Central Coast	Flat/apartment	1 or 2 storey block	4	199
Central Coast	Flat/apartment	1 or 2 storey block	5	31
Central Coast	Flat/apartment	1 or 2 storey block	6	14
Central Coast	Flat/apartment	3 storey block		23
Central Coast	Flat/apartment	3 storey block	0	21
Central Coast	Flat/apartment	3 storey block	1	107
Central Coast	Flat/apartment	3 storey block	2	953
Central Coast	Flat/apartment	3 storey block	3	388
Central Coast	Flat/apartment	3 storey block	4	22
Central Coast	Flat/apartment	4-8 storey block		34
Central Coast	Flat/apartment	4-8 storey block	0	36
Central Coast	Flat/apartment	4-8 storey block	1	265
Central Coast	Flat/apartment	4-8 storey block	2	1695
Central Coast	Flat/apartment	4-8 storey block	3	423
Central Coast	Flat/apartment	4-8 storey block	4	21
Central Coast	Flat/apartment	4-8 storey block	5	4
Central Coast	Flat/apartment	4-8 storey block	6	4
Central Coast	Flat/apartment	9 or more storey block		3
Central Coast	Flat/apartment	9 or more storey block	1	68
Central Coast	Flat/apartment	9 or more storey block	2	364
Central Coast	Flat/apartment	9 or more storey block	3	157
Central Coast	Flat/apartment	9 or more storey block	4	6
Central Coast	Flat/apartment	Attached to a house		9
Central Coast	Flat/apartment	Attached to a house	1	65
Central Coast	Flat/apartment	Attached to a house	2	193
Central Coast	Flat/apartment	Attached to a house	3	80
Central Coast	Flat/apartment	Attached to a house	4	37
Central Coast	Flat/apartment	Attached to a house	5	19
Central Coast	Flat/apartment	Attached to a house	6	4
Central Coast	Separate house			1258
Central Coast	Separate house		0	253
Central Coast	Separate house		1	1780
Central Coast	Separate house		2	12232
Central Coast	Separate house		3	40424
Central Coast	Separate house		4	36190
Central Coast	Separate house		5	9043
Central Coast	Separate house		6	2046
Central West				37
Central West			0	12
Central West			1	49
Central West			2	43
Central West			3	74
Central West			4	53
Central West			5	12
Central West			6	13
Central West		1 storey		139
Central West		1 storey	0	34
Central West		1 storey	1	591
Central West		1 storey	2	2495
Central West		1 storey	3	1239
Central West		1 storey	4	163
Central West		1 storey	5	22
Central West		1 storey	6	7
Central West		2 storeys or more		27
Central West		2 storeys or more	0	5
Central West		2 storeys or more	1	215
Central West		2 storeys or more	2	256
Central West		2 storeys or more	3	220
Central West		2 storeys or more	4	45
Central West		2 storeys or more	5	7
Central West	(Other)			66
Central West	(Other)		0	49
Central West	(Other)		1	145
Central West	(Other)		2	100
Central West	(Other)		3	118
Central West	(Other)		4	100
Central West	(Other)		5	35
Central West	(Other)		6	12
Central West	Flat/apartment	1 or 2 storey block		79
Central West	Flat/apartment	1 or 2 storey block	0	52
Central West	Flat/apartment	1 or 2 storey block	1	501
Central West	Flat/apartment	1 or 2 storey block	2	1212
Central West	Flat/apartment	1 or 2 storey block	3	211
Central West	Flat/apartment	1 or 2 storey block	4	45
Central West	Flat/apartment	1 or 2 storey block	5	4
Central West	Flat/apartment	1 or 2 storey block	6	9
Central West	Flat/apartment	3 storey block		7
Central West	Flat/apartment	3 storey block	1	27
Central West	Flat/apartment	3 storey block	2	57
Central West	Flat/apartment	3 storey block	3	3
Central West	Flat/apartment	9 or more storey block	3	3
Central West	Flat/apartment	Attached to a house		7
Central West	Flat/apartment	Attached to a house	1	18
Central West	Flat/apartment	Attached to a house	2	14
Central West	Flat/apartment	Attached to a house	3	10
Central West	Flat/apartment	Attached to a house	4	7
Central West	Separate house			1146
Central West	Separate house		0	197
Central West	Separate house		1	1119
Central West	Separate house		2	7700
Central West	Separate house		3	30575
Central West	Separate house		4	24393
Central West	Separate house		5	5041
Central West	Separate house		6	1201
Coffs Harbour - Grafton				23
Coffs Harbour - Grafton			0	15
Coffs Harbour - Grafton			1	58
Coffs Harbour - Grafton			2	64
Coffs Harbour - Grafton			3	53
Coffs Harbour - Grafton			4	23
Coffs Harbour - Grafton			5	4
Coffs Harbour - Grafton			6	4
Coffs Harbour - Grafton		1 storey		88
Coffs Harbour - Grafton		1 storey	0	15
Coffs Harbour - Grafton		1 storey	1	288
Coffs Harbour - Grafton		1 storey	2	1609
Coffs Harbour - Grafton		1 storey	3	936
Coffs Harbour - Grafton		1 storey	4	79
Coffs Harbour - Grafton		1 storey	5	12
Coffs Harbour - Grafton		1 storey	6	5
Coffs Harbour - Grafton		2 storeys or more		26
Coffs Harbour - Grafton		2 storeys or more	0	9
Coffs Harbour - Grafton		2 storeys or more	1	109
Coffs Harbour - Grafton		2 storeys or more	2	691
Coffs Harbour - Grafton		2 storeys or more	3	993
Coffs Harbour - Grafton		2 storeys or more	4	154
Coffs Harbour - Grafton		2 storeys or more	5	25
Coffs Harbour - Grafton		2 storeys or more	6	4
Coffs Harbour - Grafton	(Other)			69
Coffs Harbour - Grafton	(Other)		0	103
Coffs Harbour - Grafton	(Other)		1	404
Coffs Harbour - Grafton	(Other)		2	317
Coffs Harbour - Grafton	(Other)		3	185
Coffs Harbour - Grafton	(Other)		4	72
Coffs Harbour - Grafton	(Other)		5	15
Coffs Harbour - Grafton	(Other)		6	4
Coffs Harbour - Grafton	Flat/apartment		0	3
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block		85
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	0	28
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	1	465
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	2	1858
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	3	641
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	4	49
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	5	10
Coffs Harbour - Grafton	Flat/apartment	1 or 2 storey block	6	4
Coffs Harbour - Grafton	Flat/apartment	3 storey block		13
Coffs Harbour - Grafton	Flat/apartment	3 storey block	0	7
Coffs Harbour - Grafton	Flat/apartment	3 storey block	1	66
Coffs Harbour - Grafton	Flat/apartment	3 storey block	2	308
Coffs Harbour - Grafton	Flat/apartment	3 storey block	3	77
Coffs Harbour - Grafton	Flat/apartment	3 storey block	4	3
Coffs Harbour - Grafton	Flat/apartment	3 storey block	5	4
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block		3
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	1	61
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	2	147
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	3	72
Coffs Harbour - Grafton	Flat/apartment	4-8 storey block	4	10
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	0	5
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	2	68
Coffs Harbour - Grafton	Flat/apartment	9 or more storey block	3	43
Coffs Harbour - Grafton	Flat/apartment	Attached to a house		7
Coffs Harbour - Grafton	Flat/apartment	Attached to a house	1	56
Coffs Harbour - Grafton	Flat/apartment	Attached to a house	2	37
Coffs Harbour - Grafton	Flat/apartment	Attached to a house	3	18
Coffs Harbour - Grafton	Flat/apartment	Attached to a house	4	11
Coffs Harbour - Grafton	Flat/apartment	Attached to a house	5	5
Coffs Harbour - Grafton	Separate house			711
Coffs Harbour - Grafton	Separate house		0	215
Coffs Harbour - Grafton	Separate house		1	1062
