SA4_NAME21	Age	NeedsAssistance	Sex	persons
Capital Region	0-4		F	415
Capital Region	0-4		M	422
Capital Region	0-4	0	F	5765
Capital Region	0-4	0	M	5996
Capital Region	0-4	1	F	57
Capital Region	0-4	1	M	98
Capital Region	5-14		F	924
Capital Region	5-14		M	1042
Capital Region	5-14	0	F	12323
Capital Region	5-14	0	M	12973
Capital Region	5-14	1	F	401
Capital Region	5-14	1	M	832
Capital Region	15-19		F	387
Capital Region	15-19		M	450
Capital Region	15-19	0	F	5531
Capital Region	15-19	0	M	5979
Capital Region	15-19	1	F	169
Capital Region	15-19	1	M	270
Capital Region	20-24		F	337
Capital Region	20-24		M	438
Capital Region	20-24	0	F	4733
Capital Region	20-24	0	M	5040
Capital Region	20-24	1	F	131
Capital Region	20-24	1	M	196
Capital Region	25-34		F	890
Capital Region	25-34		M	1174
Capital Region	25-34	0	F	12309
Capital Region	25-34	0	M	11758
Capital Region	25-34	1	F	300
Capital Region	25-34	1	M	320
Capital Region	35-44		F	894
Capital Region	35-44		M	1005
Capital Region	35-44	0	F	12661
Capital Region	35-44	0	M	11828
Capital Region	35-44	1	F	401
Capital Region	35-44	1	M	335
Capital Region	45-54		F	910
Capital Region	45-54		M	1155
Capital Region	45-54	0	F	14477
Capital Region	45-54	0	M	13730
Capital Region	45-54	1	F	648
Capital Region	45-54	1	M	533
Capital Region	55-64		F	1027
Capital Region	55-64		M	1234
Capital Region	55-64	0	F	15902
Capital Region	55-64	0	M	15451
Capital Region	55-64	1	F	911
Capital Region	55-64	1	M	856
Capital Region	65-74		F	891
Capital Region	65-74		M	1010
Capital Region	65-74	0	F	13454
Capital Region	65-74	0	M	13500
Capital Region	65-74	1	F	1170
Capital Region	65-74	1	M	1244
Capital Region	75-84		F	532
Capital Region	75-84		M	519
Capital Region	75-84	0	F	6160
Capital Region	75-84	0	M	6123
Capital Region	75-84	1	F	1559
Capital Region	75-84	1	M	1262
Capital Region	85+		F	335
Capital Region	85+		M	227
Capital Region	85+	0	F	1349
Capital Region	85+	0	M	1202
Capital Region	85+	1	F	1765
Capital Region	85+	1	M	903
Central Coast	0-4		F	501
Central Coast	0-4		M	480
Central Coast	0-4	0	F	8783
Central Coast	0-4	0	M	9298
Central Coast	0-4	1	F	128
Central Coast	0-4	1	M	228
Central Coast	5-14		F	1129
Central Coast	5-14		M	1165
Central Coast	5-14	0	F	18771
Central Coast	5-14	0	M	19130
Central Coast	5-14	1	F	844
Central Coast	5-14	1	M	1900
Central Coast	15-19		F	462
Central Coast	15-19		M	518
Central Coast	15-19	0	F	8942
Central Coast	15-19	0	M	9397
Central Coast	15-19	1	F	349
Central Coast	15-19	1	M	607
Central Coast	20-24		F	455
Central Coast	20-24		M	480
Central Coast	20-24	0	F	8393
Central Coast	20-24	0	M	8482
Central Coast	20-24	1	F	257
Central Coast	20-24	1	M	416
Central Coast	25-34		F	1017
Central Coast	25-34		M	1080
Central Coast	25-34	0	F	18009
Central Coast	25-34	0	M	16968
Central Coast	25-34	1	F	474
Central Coast	25-34	1	M	568
Central Coast	35-44		F	1043
Central Coast	35-44		M	1024
Central Coast	35-44	0	F	19806
Central Coast	35-44	0	M	18309
Central Coast	35-44	1	F	593
Central Coast	35-44	1	M	579
Central Coast	45-54		F	987
Central Coast	45-54		M	1151
Central Coast	45-54	0	F	20904
Central Coast	45-54	0	M	19486
Central Coast	45-54	1	F	901
Central Coast	45-54	1	M	751
Central Coast	55-64		F	981
Central Coast	55-64		M	1037
Central Coast	55-64	0	F	21137
Central Coast	55-64	0	M	18966
Central Coast	55-64	1	F	1477
Central Coast	55-64	1	M	1280
Central Coast	65-74		F	1052
Central Coast	65-74		M	911
Central Coast	65-74	0	F	18832
Central Coast	65-74	0	M	16170
Central Coast	65-74	1	F	1913
Central Coast	65-74	1	M	1807
Central Coast	75-84		F	1039
Central Coast	75-84		M	748
Central Coast	75-84	0	F	10041
Central Coast	75-84	0	M	9071
Central Coast	75-84	1	F	2772
Central Coast	75-84	1	M	2030
Central Coast	85+		F	1012
Central Coast	85+		M	518
Central Coast	85+	0	F	2611
Central Coast	85+	0	M	1924
Central Coast	85+	1	F	2994
Central Coast	85+	1	M	1488
Central West	0-4		F	430
Central West	0-4		M	436
Central West	0-4	0	F	5542
Central West	0-4	0	M	5986
Central West	0-4	1	F	61
Central West	0-4	1	M	111
Central West	5-14		F	1088
Central West	5-14		M	1085
Central West	5-14	0	F	12490
Central West	5-14	0	M	12723
Central West	5-14	1	F	454
Central West	5-14	1	M	958
Central West	15-19		F	396
Central West	15-19		M	490
Central West	15-19	0	F	5415
Central West	15-19	0	M	5867
Central West	15-19	1	F	202
Central West	15-19	1	M	324
Central West	20-24		F	382
Central West	20-24		M	617
Central West	20-24	0	F	4830
Central West	20-24	0	M	4974
Central West	20-24	1	F	143
Central West	20-24	1	M	217
Central West	25-34		F	855
Central West	25-34		M	1298
Central West	25-34	0	F	11460
Central West	25-34	0	M	10653
Central West	25-34	1	F	276
Central West	25-34	1	M	312
Central West	35-44		F	834
Central West	35-44		M	1272
Central West	35-44	0	F	11016
Central West	35-44	0	M	10316
Central West	35-44	1	F	331
Central West	35-44	1	M	352
Central West	45-54		F	850
Central West	45-54		M	1077
Central West	45-54	0	F	11963
Central West	45-54	0	M	11226
Central West	45-54	1	F	543
Central West	45-54	1	M	546
Central West	55-64		F	839
Central West	55-64		M	1069
Central West	55-64	0	F	12407
Central West	55-64	0	M	12055
