SA4_NAME21	CountryOfBirth	Sex	persons
Capital Region		F	9699
Capital Region		M	10109
Capital Region	AFG	F	7
Capital Region	AFG	M	25
Capital Region	AUS	F	95392
Capital Region	AUS	M	95136
Capital Region	BGD	F	108
Capital Region	BGD	M	136
Capital Region	BIH	F	33
Capital Region	BIH	M	34
Capital Region	BRA	F	58
Capital Region	BRA	M	53
Capital Region	CAN	F	259
Capital Region	CAN	M	187
Capital Region	CHL	F	82
Capital Region	CHL	M	73
Capital Region	CHN	F	358
Capital Region	CHN	M	285
Capital Region	DEU	F	684
Capital Region	DEU	M	545
Capital Region	EGY	F	54
Capital Region	EGY	M	68
Capital Region	FJI	F	165
Capital Region	FJI	M	151
Capital Region	FRA	F	132
Capital Region	FRA	M	113
Capital Region	GBR	F	4417
Capital Region	GBR	M	4386
Capital Region	GRC	F	136
Capital Region	GRC	M	142
Capital Region	HKG	F	73
Capital Region	HKG	M	64
Capital Region	HRV	F	201
Capital Region	HRV	M	202
Capital Region	IDN	F	152
Capital Region	IDN	M	86
Capital Region	IND	F	932
Capital Region	IND	M	1124
Capital Region	IRL	F	215
Capital Region	IRL	M	207
Capital Region	IRN	F	37
Capital Region	IRN	M	66
Capital Region	IRQ	F	16
Capital Region	IRQ	M	36
Capital Region	ITA	F	313
Capital Region	ITA	M	434
Capital Region	JPN	F	82
Capital Region	JPN	M	37
Capital Region	KHM	F	34
Capital Region	KHM	M	21
Capital Region	KOR	F	104
Capital Region	KOR	M	81
Capital Region	LBN	F	89
Capital Region	LBN	M	127
Capital Region	LKA	F	109
Capital Region	LKA	M	124
Capital Region	MKD	F	283
Capital Region	MKD	M	323
Capital Region	MLT	F	91
Capital Region	MLT	M	115
Capital Region	MMR	F	25
Capital Region	MMR	M	17
Capital Region	MUS	F	20
Capital Region	MUS	M	25
Capital Region	MYS	F	188
Capital Region	MYS	M	143
Capital Region	NLD	F	396
Capital Region	NLD	M	356
Capital Region	NPL	F	378
Capital Region	NPL	M	440
Capital Region	NZL	F	1418
Capital Region	NZL	M	1452
Capital Region	PAK	F	106
Capital Region	PAK	M	162
Capital Region	PHL	F	890
Capital Region	PHL	M	487
Capital Region	PNG	F	122
Capital Region	PNG	M	100
Capital Region	POL	F	122
Capital Region	POL	M	89
Capital Region	SGP	F	80
Capital Region	SGP	M	70
Capital Region	THA	F	342
Capital Region	THA	M	105
Capital Region	TUR	F	36
Capital Region	TUR	M	40
Capital Region	TWN	F	90
Capital Region	TWN	M	45
Capital Region	USA	F	531
Capital Region	USA	M	460
Capital Region	VNM	F	130
Capital Region	VNM	M	99
Capital Region	WSM	F	34
Capital Region	WSM	M	35
Capital Region	ZAF	F	404
Capital Region	ZAF	M	399
Capital Region	ZWE	F	91
Capital Region	ZWE	M	79
Central Coast		F	11980
Central Coast		M	10916
Central Coast	AFG	F	11
Central Coast	AFG	M	14
Central Coast	AUS	F	140344
Central Coast	AUS	M	133374
Central Coast	BGD	F	64
Central Coast	BGD	M	69
Central Coast	BIH	F	32
Central Coast	BIH	M	38
Central Coast	BRA	F	248
Central Coast	BRA	M	160
Central Coast	CAN	F	361
Central Coast	CAN	M	317
Central Coast	CHL	F	206
Central Coast	CHL	M	189
Central Coast	CHN	F	1184
Central Coast	CHN	M	709
Central Coast	DEU	F	682
Central Coast	DEU	M	538
Central Coast	EGY	F	195
Central Coast	EGY	M	229
Central Coast	FJI	F	246
Central Coast	FJI	M	195
Central Coast	FRA	F	170
Central Coast	FRA	M	175
Central Coast	GBR	F	9097
Central Coast	GBR	M	8999
Central Coast	GRC	F	166
Central Coast	GRC	M	179
Central Coast	HKG	F	187
Central Coast	HKG	M	180
Central Coast	HRV	F	145
Central Coast	HRV	M	161
Central Coast	IDN	F	305
Central Coast	IDN	M	229
Central Coast	IND	F	1128
Central Coast	IND	M	1237
Central Coast	IRL	F	593
Central Coast	IRL	M	574
Central Coast	IRN	F	106
Central Coast	IRN	M	115
Central Coast	IRQ	F	25
Central Coast	IRQ	M	28
Central Coast	ITA	F	375
Central Coast	ITA	M	569
