SA4_NAME16	AustCitizen	Sex	persons
Capital Region	0	F	12244
Capital Region	0	M	13157
Capital Region	1	F	107476
Capital Region	1	M	105931
Central Coast	0	F	18248
Central Coast	0	M	16765
Central Coast	1	F	160370
Central Coast	1	M	151215
Central West	0	F	10648
Central West	0	M	11959
Central West	1	F	96111
Central West	1	M	94244
Coffs Harbour - Grafton	0	F	8306
Coffs Harbour - Grafton	0	M	8655
Coffs Harbour - Grafton	1	F	66328
Coffs Harbour - Grafton	1	M	62842
Far West and Orana	0	F	8736
Far West and Orana	0	M	9339
Far West and Orana	1	F	49515
Far West and Orana	1	M	47976
Hunter Valley exc Newcastle	0	F	11690
Hunter Valley exc Newcastle	0	M	13521
Hunter Valley exc Newcastle	1	F	135114
Hunter Valley exc Newcastle	1	M	131619
Illawarra	0	F	16535
Illawarra	0	M	16075
Illawarra	1	F	143236
Illawarra	1	M	137991
Mid North Coast	0	F	10725
Mid North Coast	0	M	10864
Mid North Coast	1	F	106974
Mid North Coast	1	M	100472
Murray	0	F	7017
Murray	0	M	7216
Murray	1	F	55622
Murray	1	M	53702
New England and North West	0	F	12572
New England and North West	0	M	12644
New England and North West	1	F	81726
New England and North West	1	M	78618
Newcastle and Lake Macquarie	0	F	17341
Newcastle and Lake Macquarie	0	M	17108
Newcastle and Lake Macquarie	1	F	182153
Newcastle and Lake Macquarie	1	M	173916
Richmond - Tweed	0	F	16142
Richmond - Tweed	0	M	15086
Richmond - Tweed	1	F	116482
Richmond - Tweed	1	M	109349
Riverina	0	F	10331
Riverina	0	M	12003
Riverina	1	F	71971
Riverina	1	M	69358
Southern Highlands and Shoalhaven	0	F	8306
Southern Highlands and Shoalhaven	0	M	8663
Southern Highlands and Shoalhaven	1	F	73788
Southern Highlands and Shoalhaven	1	M	70246
Sydney - Baulkham Hills and Hawkesbury	0	F	18722
Sydney - Baulkham Hills and Hawkesbury	0	M	16885
Sydney - Baulkham Hills and Hawkesbury	1	F	114807
Sydney - Baulkham Hills and Hawkesbury	1	M	113953
Sydney - Blacktown	0	F	41022
Sydney - Blacktown	0	M	41167
Sydney - Blacktown	1	F	159872
Sydney - Blacktown	1	M	158940
Sydney - City and Inner South	0	F	49974
Sydney - City and Inner South	0	M	51548
Sydney - City and Inner South	1	F	110865
Sydney - City and Inner South	1	M	118961
Sydney - Eastern Suburbs	0	F	28374
Sydney - Eastern Suburbs	0	M	27166
Sydney - Eastern Suburbs	1	F	106954
Sydney - Eastern Suburbs	1	M	98918
Sydney - Inner South West	0	F	64968
Sydney - Inner South West	0	M	68485
Sydney - Inner South West	1	F	238537
Sydney - Inner South West	1	M	233121
Sydney - Inner West	0	F	34850
Sydney - Inner West	0	M	35010
Sydney - Inner West	1	F	121417
Sydney - Inner West	1	M	113492
Sydney - North Sydney and Hornsby	0	F	42143
Sydney - North Sydney and Hornsby	0	M	35218
Sydney - North Sydney and Hornsby	1	F	177725
Sydney - North Sydney and Hornsby	1	M	168961
Sydney - Northern Beaches	0	F	18258
Sydney - Northern Beaches	0	M	17061
Sydney - Northern Beaches	1	F	116365
Sydney - Northern Beaches	1	M	111868
Sydney - Outer South West	0	F	19949
Sydney - Outer South West	0	M	18456
Sydney - Outer South West	1	F	131173
Sydney - Outer South West	1	M	127716
Sydney - Outer West and Blue Mountains	0	F	19895
Sydney - Outer West and Blue Mountains	0	M	19085
Sydney - Outer West and Blue Mountains	1	F	148967
Sydney - Outer West and Blue Mountains	1	M	144113
Sydney - Parramatta	0	F	68426
Sydney - Parramatta	0	M	78397
Sydney - Parramatta	1	F	173505
Sydney - Parramatta	1	M	173185
Sydney - Ryde	0	F	25488
Sydney - Ryde	0	M	22440
Sydney - Ryde	1	F	78171
Sydney - Ryde	1	M	75938
Sydney - South West	0	F	44470
Sydney - South West	0	M	42878
Sydney - South West	1	F	195028
Sydney - South West	1	M	192056
Sydney - Sutherland	0	F	10059
Sydney - Sutherland	0	M	9024
Sydney - Sutherland	1	F	107293
Sydney - Sutherland	1	M	103234
Migratory - Offshore - Shipping (NSW)	0	F	0
Migratory - Offshore - Shipping (NSW)	0	M	0
Migratory - Offshore - Shipping (NSW)	1	F	0
Migratory - Offshore - Shipping (NSW)	1	M	0
No usual address (NSW)	0	F	2050
No usual address (NSW)	0	M	2754
No usual address (NSW)	1	F	2947
No usual address (NSW)	1	M	3621
Ballarat	0	F	8684
Ballarat	0	M	8842
Ballarat	1	F	80202
Ballarat	1	M	76199
Bendigo	0	F	8569
Bendigo	0	M	8780
Bendigo	1	F	77391
Bendigo	1	M	73023
Geelong	0	F	18114
Geelong	0	M	19669
Geelong	1	F	149701
Geelong	1	M	140394
Hume	0	F	9509
Hume	0	M	9467
Hume	1	F	84261
Hume	1	M	81698
Latrobe - Gippsland	0	F	16890
Latrobe - Gippsland	0	M	16838
Latrobe - Gippsland	1	F	136125
Latrobe - Gippsland	1	M	130995
Melbourne - Inner	0	F	78973
Melbourne - Inner	0	M	73345
Melbourne - Inner	1	F	238099
Melbourne - Inner	1	M	226596
Melbourne - Inner East	0	F	38872
Melbourne - Inner East	0	M	34774
Melbourne - Inner East	1	F	154797
Melbourne - Inner East	1	M	145032
Melbourne - Inner South	0	F	31622
Melbourne - Inner South	0	M	28663
Melbourne - Inner South	1	F	187666
Melbourne - Inner South	1	M	174687
Melbourne - North East	0	F	40699
Melbourne - North East	0	M	40624
Melbourne - North East	1	F	233078
Melbourne - North East	1	M	226258
Melbourne - North West	0	F	37018
Melbourne - North West	0	M	38740
Melbourne - North West	1	F	176367
Melbourne - North West	1	M	172209
Melbourne - Outer East	0	F	35417
Melbourne - Outer East	0	M	32046
Melbourne - Outer East	1	F	229336
Melbourne - Outer East	1	M	221500
Melbourne - South East	0	F	94741
Melbourne - South East	0	M	96404
Melbourne - South East	1	F	335654
Melbourne - South East	1	M	333261
Melbourne - West	0	F	94925
Melbourne - West	0	M	98628
Melbourne - West	1	F	331264
Melbourne - West	1	M	328238
Mornington Peninsula	0	F	17873
Mornington Peninsula	0	M	16732
Mornington Peninsula	1	F	140635
Mornington Peninsula	1	M	132986
North West	0	F	10295
North West	0	M	11557
North West	1	F	67619
North West	1	M	66096
Shepparton	0	F	9296
Shepparton	0	M	9590
Shepparton	1	F	59986
Shepparton	1	M	58752
Warrnambool and South West	0	F	6462
Warrnambool and South West	0	M	6610
Warrnambool and South West	1	F	58464
Warrnambool and South West	1	M	56533
Migratory - Offshore - Shipping (Vic.)	0	F	6
Migratory - Offshore - Shipping (Vic.)	0	M	31
Migratory - Offshore - Shipping (Vic.)	1	F	0
Migratory - Offshore - Shipping (Vic.)	1	M	5
No usual address (Vic.)	0	F	1762
No usual address (Vic.)	0	M	2629
No usual address (Vic.)	1	F	2153
No usual address (Vic.)	1	M	2541
Brisbane - East	0	F	14181
Brisbane - East	0	M	13636
Brisbane - East	1	F	108515
Brisbane - East	1	M	103488
Brisbane - North	0	F	16055
Brisbane - North	0	M	15249
Brisbane - North	1	F	99243
Brisbane - North	1	M	94049
Brisbane - South	0	F	37711
