SA4_NAME21	AgeStudent	Sex	students
Sydney - Inner West	5-14	M	14457
Sydney - Inner West	15-19	F	6041
Sydney - Inner West	15-19	M	6023
Sydney - Inner West	20-24	F	6234
Sydney - Inner West	20-24	M	6674
Sydney - Inner West	25+	F	10552
Sydney - Inner West	25+	M	8114
Sydney - North Sydney and Hornsby	0-4	F	3748
Sydney - North Sydney and Hornsby	0-4	M	3992
Sydney - North Sydney and Hornsby	5-14	F	25711
Sydney - North Sydney and Hornsby	5-14	M	27101
Sydney - North Sydney and Hornsby	15-19	F	10909
Sydney - North Sydney and Hornsby	15-19	M	11480
Sydney - North Sydney and Hornsby	20-24	F	6433
Sydney - North Sydney and Hornsby	20-24	M	6637
Sydney - North Sydney and Hornsby	25+	F	11966
Sydney - North Sydney and Hornsby	25+	M	7517
Sydney - Northern Beaches	0-4	F	2513
Sydney - Northern Beaches	0-4	M	2614
Sydney - Northern Beaches	5-14	F	16158
Sydney - Northern Beaches	5-14	M	17217
Sydney - Northern Beaches	15-19	F	6994
Sydney - Northern Beaches	15-19	M	7298
Sydney - Northern Beaches	20-24	F	3430
Sydney - Northern Beaches	20-24	M	3574
Sydney - Northern Beaches	25+	F	5795
Sydney - Northern Beaches	25+	M	3623
Sydney - Outer South West	0-4	F	2990
Sydney - Outer South West	0-4	M	3219
Sydney - Outer South West	5-14	F	20094
Sydney - Outer South West	5-14	M	21080
Sydney - Outer South West	15-19	F	7308
Sydney - Outer South West	15-19	M	7247
Sydney - Outer South West	20-24	F	3368
Sydney - Outer South West	20-24	M	2921
Sydney - Outer South West	25+	F	6393
Sydney - Outer South West	25+	M	3657
Sydney - Outer West and Blue Mountains	0-4	F	3136
Sydney - Outer West and Blue Mountains	0-4	M	3354
Sydney - Outer West and Blue Mountains	5-14	F	20387
Sydney - Outer West and Blue Mountains	5-14	M	21446
Sydney - Outer West and Blue Mountains	15-19	F	7584
Sydney - Outer West and Blue Mountains	15-19	M	7678
Sydney - Outer West and Blue Mountains	20-24	F	3594
Sydney - Outer West and Blue Mountains	20-24	M	3122
Sydney - Outer West and Blue Mountains	25+	F	7836
Sydney - Outer West and Blue Mountains	25+	M	4164
Sydney - Parramatta	0-4	F	4142
Sydney - Parramatta	0-4	M	4430
Sydney - Parramatta	5-14	F	27553
Sydney - Parramatta	5-14	M	28724
Sydney - Parramatta	15-19	F	10267
Sydney - Parramatta	15-19	M	10578
Sydney - Parramatta	20-24	F	8858
Sydney - Parramatta	20-24	M	9719
Sydney - Parramatta	25+	F	14990
Sydney - Parramatta	25+	M	12314
Sydney - Ryde	0-4	F	1725
