SA4_NAME16	EduInstitutionType	Sex	students
Capital Region		F	8397
Capital Region		M	9183
Capital Region	Infants/Primary	F	8739
Capital Region	Infants/Primary	M	9551
Capital Region	Pre-school	F	2071
Capital Region	Pre-school	M	2281
Capital Region	Secondary	F	6937
Capital Region	Secondary	M	7179
Capital Region	Technical or Further Educational Institution	F	3110
Capital Region	Technical or Further Educational Institution	M	2641
Capital Region	University or other tertiary	F	3898
Capital Region	University or other tertiary	M	2132
Central Coast		F	11022
Central Coast		M	9672
Central Coast	Infants/Primary	F	13355
Central Coast	Infants/Primary	M	14424
Central Coast	Pre-school	F	3844
Central Coast	Pre-school	M	4254
Central Coast	Secondary	F	10845
Central Coast	Secondary	M	11079
Central Coast	Technical or Further Educational Institution	F	4852
Central Coast	Technical or Further Educational Institution	M	4025
Central Coast	University or other tertiary	F	6838
Central Coast	University or other tertiary	M	3972
Central West		F	7948
Central West		M	9278
Central West	Infants/Primary	F	8854
Central West	Infants/Primary	M	9360
Central West	Pre-school	F	2192
Central West	Pre-school	M	2366
Central West	Secondary	F	6913
Central West	Secondary	M	7092
Central West	Technical or Further Educational Institution	F	2983
Central West	Technical or Further Educational Institution	M	2289
Central West	University or other tertiary	F	3311
Central West	University or other tertiary	M	1704
Coffs Harbour - Grafton		F	5484
Coffs Harbour - Grafton		M	6038
Coffs Harbour - Grafton	Infants/Primary	F	5442
Coffs Harbour - Grafton	Infants/Primary	M	5791
Coffs Harbour - Grafton	Pre-school	F	1351
Coffs Harbour - Grafton	Pre-school	M	1423
Coffs Harbour - Grafton	Secondary	F	4369
Coffs Harbour - Grafton	Secondary	M	4381
Coffs Harbour - Grafton	Technical or Further Educational Institution	F	2092
Coffs Harbour - Grafton	Technical or Further Educational Institution	M	1590
Coffs Harbour - Grafton	University or other tertiary	F	2055
Coffs Harbour - Grafton	University or other tertiary	M	906
Far West and Orana		F	6883
Far West and Orana		M	7469
Far West and Orana	Infants/Primary	F	4580
Far West and Orana	Infants/Primary	M	4694
Far West and Orana	Pre-school	F	1226
Far West and Orana	Pre-school	M	1318
Far West and Orana	Secondary	F	3254
Far West and Orana	Secondary	M	3265
Far West and Orana	Technical or Further Educational Institution	F	1506
Far West and Orana	Technical or Further Educational Institution	M	1057
Far West and Orana	University or other tertiary	F	1437
Far West and Orana	University or other tertiary	M	541
Hunter Valley exc Newcastle		F	8159
Hunter Valley exc Newcastle		M	10052
Hunter Valley exc Newcastle	Infants/Primary	F	12293
Hunter Valley exc Newcastle	Infants/Primary	M	13025
Hunter Valley exc Newcastle	Pre-school	F	3286
Hunter Valley exc Newcastle	Pre-school	M	3473
Hunter Valley exc Newcastle	Secondary	F	9355
Hunter Valley exc Newcastle	Secondary	M	9515
Hunter Valley exc Newcastle	Technical or Further Educational Institution	F	4287
Hunter Valley exc Newcastle	Technical or Further Educational Institution	M	3376
Hunter Valley exc Newcastle	University or other tertiary	F	4843
Hunter Valley exc Newcastle	University or other tertiary	M	2467
Illawarra		F	8364
Illawarra		M	7854
Illawarra	Infants/Primary	F	12086
Illawarra	Infants/Primary	M	12843
Illawarra	Pre-school	F	3505
Illawarra	Pre-school	M	3858
Illawarra	Secondary	F	9902
Illawarra	Secondary	M	10058
Illawarra	Technical or Further Educational Institution	F	4540
Illawarra	Technical or Further Educational Institution	M	4047
Illawarra	University or other tertiary	F	9073
Illawarra	University or other tertiary	M	6414
Mid North Coast		F	8543
Mid North Coast		M	8700
Mid North Coast	Infants/Primary	F	7912
Mid North Coast	Infants/Primary	M	8170
Mid North Coast	Pre-school	F	1883
Mid North Coast	Pre-school	M	2026
Mid North Coast	Secondary	F	6446
Mid North Coast	Secondary	M	6547
Mid North Coast	Technical or Further Educational Institution	F	2996
Mid North Coast	Technical or Further Educational Institution	M	2032
Mid North Coast	University or other tertiary	F	3105
Mid North Coast	University or other tertiary	M	1357
Murray		F	4996
Murray		M	5138
Murray	Infants/Primary	F	4679
Murray	Infants/Primary	M	4944
Murray	Pre-school	F	1217
Murray	Pre-school	M	1321
Murray	Secondary	F	3816
Murray	Secondary	M	3679
Murray	Technical or Further Educational Institution	F	1702
Murray	Technical or Further Educational Institution	M	1322
Murray	University or other tertiary	F	1828
Murray	University or other tertiary	M	774
New England and North West		F	9519
New England and North West		M	9485
New England and North West	Infants/Primary	F	7466
New England and North West	Infants/Primary	M	7794
New England and North West	Pre-school	F	1802
New England and North West	Pre-school	M	2004
New England and North West	Secondary	F	5858
New England and North West	Secondary	M	5803
New England and North West	Technical or Further Educational Institution	F	2532
New England and North West	Technical or Further Educational Institution	M	1706
New England and North West	University or other tertiary	F	3141
New England and North West	University or other tertiary	M	1623
Newcastle and Lake Macquarie		F	9984
Newcastle and Lake Macquarie		M	9533
Newcastle and Lake Macquarie	Infants/Primary	F	14863
Newcastle and Lake Macquarie	Infants/Primary	M	15952
Newcastle and Lake Macquarie	Pre-school	F	4141
Newcastle and Lake Macquarie	Pre-school	M	4497
Newcastle and Lake Macquarie	Secondary	F	11542
Newcastle and Lake Macquarie	Secondary	M	11755
Newcastle and Lake Macquarie	Technical or Further Educational Institution	F	5092
Newcastle and Lake Macquarie	Technical or Further Educational Institution	M	4737
Newcastle and Lake Macquarie	University or other tertiary	F	12080
Newcastle and Lake Macquarie	University or other tertiary	M	8565
Richmond - Tweed		F	11092
Richmond - Tweed		M	10447
Richmond - Tweed	Infants/Primary	F	9226
Richmond - Tweed	Infants/Primary	M	9726
Richmond - Tweed	Pre-school	F	2183
Richmond - Tweed	Pre-school	M	2386
Richmond - Tweed	Secondary	F	7397
Richmond - Tweed	Secondary	M	7644
Richmond - Tweed	Technical or Further Educational Institution	F	3507
Richmond - Tweed	Technical or Further Educational Institution	M	2606
Richmond - Tweed	University or other tertiary	F	4522
Richmond - Tweed	University or other tertiary	M	2257
Riverina		F	6234
Riverina		M	7274
Riverina	Infants/Primary	F	6708
Riverina	Infants/Primary	M	7091
Riverina	Pre-school	F	1790
Riverina	Pre-school	M	1867
Riverina	Secondary	F	5418
Riverina	Secondary	M	5278
Riverina	Technical or Further Educational Institution	F	2264
Riverina	Technical or Further Educational Institution	M	1972
Riverina	University or other tertiary	F	3146
Riverina	University or other tertiary	M	1459
Southern Highlands and Shoalhaven		F	5359
Southern Highlands and Shoalhaven		M	5850
Southern Highlands and Shoalhaven	Infants/Primary	F	5600
Southern Highlands and Shoalhaven	Infants/Primary	M	5880
Southern Highlands and Shoalhaven	Pre-school	F	1490
Southern Highlands and Shoalhaven	Pre-school	M	1648
Southern Highlands and Shoalhaven	Secondary	F	4641
Southern Highlands and Shoalhaven	Secondary	M	4527
Southern Highlands and Shoalhaven	Technical or Further Educational Institution	F	2018
Southern Highlands and Shoalhaven	Technical or Further Educational Institution	M	1614
Southern Highlands and Shoalhaven	University or other tertiary	F	2214
Southern Highlands and Shoalhaven	University or other tertiary	M	1172
Sydney - Baulkham Hills and Hawkesbury		F	4790
Sydney - Baulkham Hills and Hawkesbury		M	4543
Sydney - Baulkham Hills and Hawkesbury	Infants/Primary	F	12667
Sydney - Baulkham Hills and Hawkesbury	Infants/Primary	M	13709
Sydney - Baulkham Hills and Hawkesbury	Pre-school	F	2959
Sydney - Baulkham Hills and Hawkesbury	Pre-school	M	3161
Sydney - Baulkham Hills and Hawkesbury	Secondary	F	10556
Sydney - Baulkham Hills and Hawkesbury	Secondary	M	11171
Sydney - Baulkham Hills and Hawkesbury	Technical or Further Educational Institution	F	3170
Sydney - Baulkham Hills and Hawkesbury	Technical or Further Educational Institution	M	2850
Sydney - Baulkham Hills and Hawkesbury	University or other tertiary	F	7719
Sydney - Baulkham Hills and Hawkesbury	University or other tertiary	M	6423
Sydney - Blacktown		F	13191
Sydney - Blacktown		M	14566
Sydney - Blacktown	Infants/Primary	F	19633
Sydney - Blacktown	Infants/Primary	M	20480
Sydney - Blacktown	Pre-school	F	4444
Sydney - Blacktown	Pre-school	M	4864
Sydney - Blacktown	Secondary	F	13892
Sydney - Blacktown	Secondary	M	14504
Sydney - Blacktown	Technical or Further Educational Institution	F	5762
Sydney - Blacktown	Technical or Further Educational Institution	M	4653
Sydney - Blacktown	University or other tertiary	F	10525
Sydney - Blacktown	University or other tertiary	M	8195
