SA4_NAME21	CoupleFamily	HasChild	IncomeFamily.max	families
Capital Region				23
Capital Region			0	6
Capital Region			7875	6
Capital Region			15750	8
Capital Region			21000	5
Capital Region			26250	13
Capital Region			34125	23
Capital Region			42000	38
Capital Region			52500	94
Capital Region			65625	85
Capital Region			78750	85
Capital Region			91875	41
Capital Region			105000	54
Capital Region			131250	88
Capital Region			157500	47
Capital Region			183750	23
Capital Region			210000	8
Capital Region			Inf	26
Capital Region	0			902
Capital Region	0		0	108
Capital Region	0		7875	55
Capital Region	0		15750	118
Capital Region	0		21000	212
Capital Region	0		26250	383
Capital Region	0		34125	695
Capital Region	0		42000	713
Capital Region	0		52500	1058
Capital Region	0		65625	1011
Capital Region	0		78750	878
Capital Region	0		91875	665
Capital Region	0		105000	563
Capital Region	0		131250	931
Capital Region	0		157500	393
Capital Region	0		183750	252
Capital Region	0		210000	120
Capital Region	0		Inf	249
Capital Region	1	0		4060
Capital Region	1	0	0	577
Capital Region	1	0	7875	257
Capital Region	1	0	15750	147
Capital Region	1	0	21000	126
Capital Region	1	0	26250	760
Capital Region	1	0	34125	561
Capital Region	1	0	42000	3385
Capital Region	1	0	52500	2674
Capital Region	1	0	65625	3241
Capital Region	1	0	78750	4246
Capital Region	1	0	91875	2856
Capital Region	1	0	105000	3224
Capital Region	1	0	131250	6853
Capital Region	1	0	157500	5259
Capital Region	1	0	183750	4413
Capital Region	1	0	210000	2993
Capital Region	1	0	Inf	8314
Capital Region	1	1	7875	21
Capital Region	1	1	15750	41
Capital Region	1	1	21000	18
Capital Region	1	1	26250	80
Capital Region	1	1	34125	117
Capital Region	1	1	42000	287
Central Coast				31
Central Coast			0	18
Central Coast			7875	3
Central Coast			15750	8
Central Coast			21000	15
Central Coast			26250	30
Central Coast			34125	31
Central Coast			42000	81
Central Coast			52500	154
Central Coast			65625	187
Central Coast			78750	166
Central Coast			91875	90
Central Coast			105000	86
Central Coast			131250	136
Central Coast			157500	68
Central Coast			183750	36
Central Coast			210000	14
Central Coast			Inf	27
Central Coast	0			1472
Central Coast	0		0	265
Central Coast	0		7875	69
Central Coast	0		15750	184
Central Coast	0		21000	352
Central Coast	0		26250	663
Central Coast	0		34125	1313
Central Coast	0		42000	1602
Central Coast	0		52500	2060
Central Coast	0		65625	2250
Central Coast	0		78750	1926
Central Coast	0		91875	1305
Central Coast	0		105000	1170
Central Coast	0		131250	1802
Central Coast	0		157500	784
Central Coast	0		183750	436
Central Coast	0		210000	178
Central Coast	0		Inf	406
Central Coast	1	0		4782
Central Coast	1	0	0	800
Central Coast	1	0	7875	303
Central Coast	1	0	15750	199
Central Coast	1	0	21000	183
Central Coast	1	0	26250	952
Central Coast	1	0	34125	666
Central Coast	1	0	42000	4806
Central Coast	1	0	52500	3716
Central Coast	1	0	65625	4392
Central Coast	1	0	78750	5715
Central Coast	1	0	91875	4178
Central Coast	1	0	105000	4646
Central Coast	1	0	131250	10248
