SA4_NAME16	Age	persons
Sydney - North Sydney and Hornsby	55-64	48514
Sydney - North Sydney and Hornsby	65-74	38403
Sydney - North Sydney and Hornsby	75-84	24095
Sydney - North Sydney and Hornsby	85+	10839
Sydney - Northern Beaches	0-4	14169
Sydney - Northern Beaches	5-14	34559
Sydney - Northern Beaches	15-19	16263
Sydney - Northern Beaches	20-24	13740
Sydney - Northern Beaches	25-34	28875
Sydney - Northern Beaches	35-44	35504
Sydney - Northern Beaches	45-54	40004
Sydney - Northern Beaches	55-64	32479
Sydney - Northern Beaches	65-74	24219
Sydney - Northern Beaches	75-84	16501
Sydney - Northern Beaches	85+	7243
Sydney - Outer South West	0-4	22056
Sydney - Outer South West	5-14	44287
Sydney - Outer South West	15-19	19300
Sydney - Outer South West	20-24	18548
Sydney - Outer South West	25-34	41205
Sydney - Outer South West	35-44	43295
Sydney - Outer South West	45-54	36693
Sydney - Outer South West	55-64	32242
Sydney - Outer South West	65-74	24464
Sydney - Outer South West	75-84	11516
Sydney - Outer South West	85+	3676
Sydney - Outer West and Blue Mountains	0-4	22020
Sydney - Outer West and Blue Mountains	5-14	44777
Sydney - Outer West and Blue Mountains	15-19	20422
Sydney - Outer West and Blue Mountains	20-24	20581
Sydney - Outer West and Blue Mountains	25-34	45804
Sydney - Outer West and Blue Mountains	35-44	45750
Sydney - Outer West and Blue Mountains	45-54	42308
Sydney - Outer West and Blue Mountains	55-64	38760
Sydney - Outer West and Blue Mountains	65-74	31058
Sydney - Outer West and Blue Mountains	75-84	15357
Sydney - Outer West and Blue Mountains	85+	5235
Sydney - Parramatta	0-4	32892
Sydney - Parramatta	5-14	61601
Sydney - Parramatta	15-19	25171
Sydney - Parramatta	20-24	36044
Sydney - Parramatta	25-34	92360
Sydney - Parramatta	35-44	79837
Sydney - Parramatta	45-54	55620
Sydney - Parramatta	55-64	48592
Sydney - Parramatta	65-74	34513
Sydney - Parramatta	75-84	19004
Sydney - Parramatta	85+	7867
Sydney - Ryde	0-4	10759
Sydney - Ryde	5-14	23661
Sydney - Ryde	15-19	10329
Sydney - Ryde	20-24	12954
Sydney - Ryde	25-34	32358
Sydney - Ryde	35-44	31980
Sydney - Ryde	45-54	24919
Sydney - Ryde	55-64	22731
Sydney - Ryde	65-74	17441
Sydney - Ryde	75-84	9771
Sydney - Ryde	85+	5131
Sydney - South West	0-4	32111
Sydney - South West	5-14	66887
Sydney - South West	15-19	32117
Sydney - South West	20-24	32683
Sydney - South West	25-34	68011
Sydney - South West	35-44	65464
Sydney - South West	45-54	59513
Sydney - South West	55-64	54724
Sydney - South West	65-74	37252
Sydney - South West	75-84	18477
Sydney - South West	85+	7189
Sydney - Sutherland	0-4	13283
Sydney - Sutherland	5-14	29130
Sydney - Sutherland	15-19	14006
Sydney - Sutherland	20-24	12920
Sydney - Sutherland	25-34	26347
Sydney - Sutherland	35-44	30496
Sydney - Sutherland	45-54	31812
Sydney - Sutherland	55-64	28471
Sydney - Sutherland	65-74	22879
Sydney - Sutherland	75-84	13841
Sydney - Sutherland	85+	6432
No usual address (NSW)	0-4	460
No usual address (NSW)	5-14	798
No usual address (NSW)	15-19	532
No usual address (NSW)	20-24	829
No usual address (NSW)	25-34	2187
No usual address (NSW)	35-44	1859
No usual address (NSW)	45-54	1678
No usual address (NSW)	55-64	1648
No usual address (NSW)	65-74	1055
No usual address (NSW)	75-84	277
No usual address (NSW)	85+	49
Ballarat	0-4	9323
Ballarat	5-14	21757
Ballarat	15-19	10126
Ballarat	20-24	9501
Ballarat	25-34	20702
Ballarat	35-44	20511
Ballarat	45-54	22505
Ballarat	55-64	22951
Ballarat	65-74	21034
Ballarat	75-84	11207
Ballarat	85+	4317
Bendigo	0-4	9144
Bendigo	5-14	20919
Bendigo	15-19	9392
Bendigo	20-24	8790
Bendigo	25-34	19470
Bendigo	35-44	19900
Bendigo	45-54	21340
Bendigo	55-64	22501
Bendigo	65-74	20611
Bendigo	75-84	11184
Bendigo	85+	4517
Geelong	0-4	18936
Geelong	5-14	40257
Geelong	15-19	18372
Geelong	20-24	19539
Geelong	25-34	43726
Geelong	35-44	42274
Geelong	45-54	40725
Geelong	55-64	39586
Geelong	65-74	36603
Geelong	75-84	19915
Geelong	85+	7951
Hume	0-4	9364
Hume	5-14	22291
Hume	15-19	10563
Hume	20-24	8704
Hume	25-34	19590
Hume	35-44	20571
Hume	45-54	23472
Hume	55-64	26908
Hume	65-74	24963
Hume	75-84	13515
Hume	85+	4995
Latrobe - Gippsland	0-4	15659
Latrobe - Gippsland	5-14	35369
Latrobe - Gippsland	15-19	15913
Latrobe - Gippsland	20-24	13743
Latrobe - Gippsland	25-34	32721
Latrobe - Gippsland	35-44	32526
Latrobe - Gippsland	45-54	36176
Latrobe - Gippsland	55-64	44190
Latrobe - Gippsland	65-74	43532
Latrobe - Gippsland	75-84	23088
Latrobe - Gippsland	85+	7929
Melbourne - Inner	0-4	24369
Melbourne - Inner	5-14	42583
Melbourne - Inner	15-19	23434
Melbourne - Inner	20-24	57314
Melbourne - Inner	25-34	165518
Melbourne - Inner	35-44	101098
Melbourne - Inner	45-54	72005
Melbourne - Inner	55-64	57113
Melbourne - Inner	65-74	40849
Melbourne - Inner	75-84	22859
Melbourne - Inner	85+	9883
Melbourne - Inner East	0-4	15744
Melbourne - Inner East	5-14	43076
Melbourne - Inner East	15-19	23713
Melbourne - Inner East	20-24	27065
Melbourne - Inner East	25-34	48770
Melbourne - Inner East	35-44	47868
Melbourne - Inner East	45-54	50484
Melbourne - Inner East	55-64	44690
Melbourne - Inner East	65-74	35247
Melbourne - Inner East	75-84	24535
Melbourne - Inner East	85+	12274
Melbourne - Inner South	0-4	21261
Melbourne - Inner South	5-14	51881
Melbourne - Inner South	15-19	25117
Melbourne - Inner South	20-24	24406
Melbourne - Inner South	25-34	52356
Melbourne - Inner South	35-44	58144
Melbourne - Inner South	45-54	62017
Melbourne - Inner South	55-64	50866
Melbourne - Inner South	65-74	40065
Melbourne - Inner South	75-84	24201
Melbourne - Inner South	85+	12330
Melbourne - North East	0-4	34396
Melbourne - North East	5-14	69100
Melbourne - North East	15-19	30410
Melbourne - North East	20-24	33231
Melbourne - North East	25-34	79907
Melbourne - North East	35-44	82221
Melbourne - North East	45-54	70726
Melbourne - North East	55-64	59510
Melbourne - North East	65-74	45359
Melbourne - North East	75-84	25301
Melbourne - North East	85+	10509
Melbourne - North West	0-4	30088
Melbourne - North West	5-14	58011
Melbourne - North West	15-19	24940
Melbourne - North West	20-24	26989
Melbourne - North West	25-34	66484
Melbourne - North West	35-44	63605
Melbourne - North West	45-54	52242
Melbourne - North West	55-64	44310
Melbourne - North West	65-74	31338
Melbourne - North West	75-84	18511
Melbourne - North West	85+	7813
Melbourne - Outer East	0-4	28822
Melbourne - Outer East	5-14	63475
Melbourne - Outer East	15-19	30811
Melbourne - Outer East	20-24	30089
Melbourne - Outer East	25-34	63632
Melbourne - Outer East	35-44	71380
Melbourne - Outer East	45-54	71072
Melbourne - Outer East	55-64	65046
Melbourne - Outer East	65-74	52068
Melbourne - Outer East	75-84	30085
Melbourne - Outer East	85+	11817
Melbourne - South East	0-4	56450
Melbourne - South East	5-14	114670
Melbourne - South East	15-19	51538
Melbourne - South East	20-24	60714
Melbourne - South East	25-34	135372
Melbourne - South East	35-44	128149
Melbourne - South East	45-54	105254
Melbourne - South East	55-64	87733
Melbourne - South East	65-74	65298
Melbourne - South East	75-84	38777
Melbourne - South East	85+	16090
Melbourne - West	0-4	62990
Melbourne - West	5-14	121310
Melbourne - West	15-19	47305
Melbourne - West	20-24	53336
Melbourne - West	25-34	143011
Melbourne - West	35-44	145115
Melbourne - West	45-54	103717
Melbourne - West	55-64	80576
Melbourne - West	65-74	57764
Melbourne - West	75-84	27656
Melbourne - West	85+	10261
Mornington Peninsula	0-4	16525
Mornington Peninsula	5-14	36829
Mornington Peninsula	15-19	17441
Mornington Peninsula	20-24	15401
Mornington Peninsula	25-34	33635
Mornington Peninsula	35-44	37531
Mornington Peninsula	45-54	41592
Mornington Peninsula	55-64	40137
Mornington Peninsula	65-74	37037
Mornington Peninsula	75-84	23071
Mornington Peninsula	85+	9042
North West	0-4	8465
North West	5-14	18561
North West	15-19	8340
North West	20-24	7898
North West	25-34	19014
North West	35-44	17096
North West	45-54	18791
North West	55-64	22053
North West	65-74	19161
North West	75-84	11254
North West	85+	4936
Shepparton	0-4	7500
Shepparton	5-14	17379
Shepparton	15-19	7982
Shepparton	20-24	7014
Shepparton	25-34	15849
Shepparton	35-44	15095
Shepparton	45-54	17103
Shepparton	55-64	18610
Shepparton	65-74	16928
Shepparton	75-84	10196
Shepparton	85+	3977
Warrnambool and South West	0-4	6433
Warrnambool and South West	5-14	15360
Warrnambool and South West	15-19	7353
Warrnambool and South West	20-24	5941
Warrnambool and South West	25-34	13911
Warrnambool and South West	35-44	13918
Warrnambool and South West	45-54	16268
Warrnambool and South West	55-64	18691
Warrnambool and South West	65-74	17082
Warrnambool and South West	75-84	9292
Warrnambool and South West	85+	3801
Migratory - Offshore - Shipping (Vic.)	25-34	6
Migratory - Offshore - Shipping (Vic.)	35-44	16
Migratory - Offshore - Shipping (Vic.)	45-54	3
Migratory - Offshore - Shipping (Vic.)	55-64	14
Migratory - Offshore - Shipping (Vic.)	65-74	4
No usual address (Vic.)	0-4	414
No usual address (Vic.)	5-14	730
No usual address (Vic.)	15-19	459
No usual address (Vic.)	20-24	671
No usual address (Vic.)	25-34	1819
No usual address (Vic.)	35-44	1736
No usual address (Vic.)	45-54	1393
No usual address (Vic.)	55-64	1074
No usual address (Vic.)	65-74	613
No usual address (Vic.)	75-84	152
No usual address (Vic.)	85+	29
Brisbane - East	0-4	13082
Brisbane - East	5-14	31384
Brisbane - East	15-19	14997
Brisbane - East	20-24	12431
Brisbane - East	25-34	25213
Brisbane - East	35-44	31512
Brisbane - East	45-54	33944
Brisbane - East	55-64	31466
Brisbane - East	65-74	26149
Brisbane - East	75-84	14286
Brisbane - East	85+	5357
Brisbane - North	0-4	13509
Brisbane - North	5-14	26634
Brisbane - North	15-19	12203
Brisbane - North	20-24	14116
Brisbane - North	25-34	34804
Brisbane - North	35-44	34255
Brisbane - North	45-54	29413
Brisbane - North	55-64	24008
Brisbane - North	65-74	18455
Brisbane - North	75-84	11532
Brisbane - North	85+	5665
Brisbane - South	0-4	22003
Brisbane - South	5-14	46225
Brisbane - South	15-19	21283
Brisbane - South	20-24	28582
Brisbane - South	25-34	62651
Brisbane - South	35-44	58565
Brisbane - South	45-54	46177
Brisbane - South	55-64	36808
Brisbane - South	65-74	27025
Brisbane - South	75-84	15159
Brisbane - South	85+	6553
Brisbane - West	0-4	9619
Brisbane - West	5-14	26715
Brisbane - West	15-19	14353
Brisbane - West	20-24	13919
Brisbane - West	25-34	21274
Brisbane - West	35-44	26964
Brisbane - West	45-54	26684
Brisbane - West	55-64	19864
Brisbane - West	65-74	16295
Brisbane - West	75-84	9557
Brisbane - West	85+	3973
Brisbane Inner City	0-4	12156
Brisbane Inner City	5-14	26288
Brisbane Inner City	15-19	15874
Brisbane Inner City	20-24	30667
Brisbane Inner City	25-34	65488
Brisbane Inner City	35-44	45413
Brisbane Inner City	45-54	37922
Brisbane Inner City	55-64	27803
Brisbane Inner City	65-74	18169
Brisbane Inner City	75-84	8943
Brisbane Inner City	85+	3515
Cairns	0-4	13444
Cairns	5-14	33536
Cairns	15-19	15096
Cairns	20-24	12780
Cairns	25-34	31475
Cairns	35-44	32189
Cairns	45-54	35054
Cairns	55-64	34431
Cairns	65-74	27588
Cairns	75-84	13655
Cairns	85+	4493
Darling Downs - Maranoa	0-4	7421
Darling Downs - Maranoa	5-14	17581
Darling Downs - Maranoa	15-19	7446
Darling Downs - Maranoa	20-24	6530
Darling Downs - Maranoa	25-34	14203
Darling Downs - Maranoa	35-44	13919
Darling Downs - Maranoa	45-54	16348
Darling Downs - Maranoa	55-64	17837
Darling Downs - Maranoa	65-74	15512
Darling Downs - Maranoa	75-84	8831
Darling Downs - Maranoa	85+	2990
Central Queensland	0-4	14167
Central Queensland	5-14	33152
Central Queensland	15-19	14351
Central Queensland	20-24	12816
Central Queensland	25-34	29341
Central Queensland	35-44	29745
Central Queensland	45-54	29532
Central Queensland	55-64	29700
Central Queensland	65-74	21026
Central Queensland	75-84	10759
Central Queensland	85+	3660
Gold Coast	0-4	34220
Gold Coast	5-14	78452
Gold Coast	15-19	37315
Gold Coast	20-24	39925
Gold Coast	25-34	87681
Gold Coast	35-44	86865
Gold Coast	45-54	86348
Gold Coast	55-64	75612
Gold Coast	65-74	64273
Gold Coast	75-84	37005
Gold Coast	85+	13071
Ipswich	0-4	25834
Ipswich	5-14	55025
Ipswich	15-19	23991
Ipswich	20-24	23919
Ipswich	25-34	54131
Ipswich	35-44	51386
Ipswich	45-54	45864
Ipswich	55-64	39407
Ipswich	65-74	28192
Ipswich	75-84	14646
Ipswich	85+	4732
Logan - Beaudesert	0-4	25678
Logan - Beaudesert	5-14	54545
Logan - Beaudesert	15-19	24043
Logan - Beaudesert	20-24	23503
Logan - Beaudesert	25-34	51304
Logan - Beaudesert	35-44	48793
Logan - Beaudesert	45-54	44589
Logan - Beaudesert	55-64	38061
Logan - Beaudesert	65-74	29951
Logan - Beaudesert	75-84	14808
Logan - Beaudesert	85+	4487
Mackay - Isaac - Whitsunday	0-4	10972
Mackay - Isaac - Whitsunday	5-14	24589
Mackay - Isaac - Whitsunday	15-19	10398
Mackay - Isaac - Whitsunday	20-24	10543
Mackay - Isaac - Whitsunday	25-34	25239
Mackay - Isaac - Whitsunday	35-44	24629
Mackay - Isaac - Whitsunday	45-54	24580
Mackay - Isaac - Whitsunday	55-64	23611
Mackay - Isaac - Whitsunday	65-74	15993
Mackay - Isaac - Whitsunday	75-84	7740
Mackay - Isaac - Whitsunday	85+	2586
Moreton Bay - North	0-4	14159
Moreton Bay - North	5-14	33796
Moreton Bay - North	15-19	15811
Moreton Bay - North	20-24	14440
Moreton Bay - North	25-34	30033
Moreton Bay - North	35-44	31179
Moreton Bay - North	45-54	34059
Moreton Bay - North	55-64	33568
Moreton Bay - North	65-74	32966
Moreton Bay - North	75-84	18666
Moreton Bay - North	85+	6077
Moreton Bay - South	0-4	14455
Moreton Bay - South	5-14	33024
Moreton Bay - South	15-19	14561
Moreton Bay - South	20-24	13072
Moreton Bay - South	25-34	29186
Moreton Bay - South	35-44	32269
Moreton Bay - South	45-54	30394
Moreton Bay - South	55-64	22820
Moreton Bay - South	65-74	16960
Moreton Bay - South	75-84	8423
Moreton Bay - South	85+	2531
Queensland - Outback	0-4	5926
Queensland - Outback	5-14	11759
Queensland - Outback	15-19	4804
Queensland - Outback	20-24	5463
Queensland - Outback	25-34	12397
Queensland - Outback	35-44	10209
Queensland - Outback	45-54	10021
Queensland - Outback	55-64	9773
Queensland - Outback	65-74	5970
Queensland - Outback	75-84	2775
Queensland - Outback	85+	739
Sunshine Coast	0-4	18947
Sunshine Coast	5-14	48899
Sunshine Coast	15-19	23120
Sunshine Coast	20-24	19242
Sunshine Coast	25-34	41927
Sunshine Coast	35-44	48364
Sunshine Coast	45-54	54134
Sunshine Coast	55-64	54274
Sunshine Coast	65-74	50066
Sunshine Coast	75-84	29199
Sunshine Coast	85+	10669
Toowoomba	0-4	9603
Toowoomba	5-14	22232
Toowoomba	15-19	10992
Toowoomba	20-24	10312
Toowoomba	25-34	21719
Toowoomba	35-44	19577
Toowoomba	45-54	19294
Toowoomba	55-64	18465
Toowoomba	65-74	16065
Toowoomba	75-84	9907
Toowoomba	85+	3892
Townsville	0-4	13210
Townsville	5-14	31133
Townsville	15-19	15403
Townsville	20-24	17056
Townsville	25-34	32165
Townsville	35-44	29457
Townsville	45-54	30071
Townsville	55-64	28512
Townsville	65-74	22014
Townsville	75-84	11404
Townsville	85+	3857
Wide Bay	0-4	13533
Wide Bay	5-14	35955
Wide Bay	15-19	16904
Wide Bay	20-24	13476
Wide Bay	25-34	28800
Wide Bay	35-44	30385
Wide Bay	45-54	37716
Wide Bay	55-64	46806
Wide Bay	65-74	48658
Wide Bay	75-84	27252
Wide Bay	85+	8257
Migratory - Offshore - Shipping (Qld)	20-24	16
Migratory - Offshore - Shipping (Qld)	25-34	49
Migratory - Offshore - Shipping (Qld)	35-44	64
Migratory - Offshore - Shipping (Qld)	45-54	45
Migratory - Offshore - Shipping (Qld)	55-64	5
Migratory - Offshore - Shipping (Qld)	65-74	3
No usual address (Qld)	0-4	504
No usual address (Qld)	5-14	932
No usual address (Qld)	15-19	566
No usual address (Qld)	20-24	934
No usual address (Qld)	25-34	2649
No usual address (Qld)	35-44	2077
No usual address (Qld)	45-54	1929
No usual address (Qld)	55-64	2468
No usual address (Qld)	65-74	2124
No usual address (Qld)	75-84	444
No usual address (Qld)	85+	44
Adelaide - Central and Hills	0-4	14304
Adelaide - Central and Hills	5-14	35190
Adelaide - Central and Hills	15-19	18294
Adelaide - Central and Hills	20-24	21957
Adelaide - Central and Hills	25-34	41193
Adelaide - Central and Hills	35-44	40315
Adelaide - Central and Hills	45-54	40385
Adelaide - Central and Hills	55-64	38099
Adelaide - Central and Hills	65-74	33358
Adelaide - Central and Hills	75-84	20042
Adelaide - Central and Hills	85+	9235
Adelaide - North	0-4	28752
Adelaide - North	5-14	59599
Adelaide - North	15-19	26643
Adelaide - North	20-24	30363
Adelaide - North	25-34	67498
Adelaide - North	35-44	62792
Adelaide - North	45-54	55385
Adelaide - North	55-64	51867
Adelaide - North	65-74	40363
Adelaide - North	75-84	23332
Adelaide - North	85+	9116
Adelaide - South	0-4	19171
Adelaide - South	5-14	43693
Adelaide - South	15-19	21302
Adelaide - South	20-24	22229
Adelaide - South	25-34	46809
Adelaide - South	35-44	48951
Adelaide - South	45-54	48143
Adelaide - South	55-64	47464
Adelaide - South	65-74	42973
Adelaide - South	75-84	23747
Adelaide - South	85+	10381
Adelaide - West	0-4	12519
Adelaide - West	5-14	24309
Adelaide - West	15-19	12052
Adelaide - West	20-24	16525
Adelaide - West	25-34	38206
Adelaide - West	35-44	32592
Adelaide - West	45-54	31160
Adelaide - West	55-64	30976
Adelaide - West	65-74	24047
Adelaide - West	75-84	14441
Adelaide - West	85+	7525
Barossa - Yorke - Mid North	0-4	5491
Barossa - Yorke - Mid North	5-14	13519
Barossa - Yorke - Mid North	15-19	5968
Barossa - Yorke - Mid North	20-24	4985
Barossa - Yorke - Mid North	25-34	10690
Barossa - Yorke - Mid North	35-44	11731
Barossa - Yorke - Mid North	45-54	14294
Barossa - Yorke - Mid North	55-64	18061
Barossa - Yorke - Mid North	65-74	17043
Barossa - Yorke - Mid North	75-84	9401
Barossa - Yorke - Mid North	85+	3306
South Australia - Outback	0-4	4820
South Australia - Outback	5-14	10552
South Australia - Outback	15-19	4487
South Australia - Outback	20-24	4259
South Australia - Outback	25-34	10875
South Australia - Outback	35-44	9685
South Australia - Outback	45-54	10764
South Australia - Outback	55-64	11494
South Australia - Outback	65-74	8955
South Australia - Outback	75-84	4997
South Australia - Outback	85+	1759
South Australia - South East	0-4	9039
South Australia - South East	5-14	21783
South Australia - South East	15-19	10226
South Australia - South East	20-24	8662
South Australia - South East	25-34	19380
South Australia - South East	35-44	20059
South Australia - South East	45-54	24037
South Australia - South East	55-64	28670
South Australia - South East	65-74	29238
South Australia - South East	75-84	16630
South Australia - South East	85+	5989
Migratory - Offshore - Shipping (SA)	35-44	3
Migratory - Offshore - Shipping (SA)	45-54	5
No usual address (SA)	0-4	140
No usual address (SA)	5-14	262
No usual address (SA)	15-19	186
No usual address (SA)	20-24	206
No usual address (SA)	25-34	627
No usual address (SA)	35-44	534
No usual address (SA)	45-54	478
No usual address (SA)	55-64	513
No usual address (SA)	65-74	359
No usual address (SA)	75-84	64
No usual address (SA)	85+	11
Bunbury	0-4	10232
Bunbury	5-14	25456
Bunbury	15-19	10963
Bunbury	20-24	7948
Bunbury	25-34	19963
