SA4_NAME16	Age	persons
Capital Region	0-4	12752
Capital Region	5-14	28493
Capital Region	15-19	12785
Capital Region	20-24	10876
Capital Region	25-34	26755
Capital Region	35-44	27123
Capital Region	45-54	31454
Capital Region	55-64	35370
Capital Region	65-74	31264
Capital Region	75-84	16162
Capital Region	85+	5776
Central Coast	0-4	19421
Central Coast	5-14	42931
Central Coast	15-19	20276
Central Coast	20-24	18486
Central Coast	25-34	38119
Central Coast	35-44	41358
Central Coast	45-54	44183
Central Coast	55-64	44882
Central Coast	65-74	40693
Central Coast	75-84	25702
Central Coast	85+	10545
Central West	0-4	12569
Central West	5-14	28797
Central West	15-19	12689
Central West	20-24	11161
Central West	25-34	24861
Central West	35-44	24125
Central West	45-54	26203
Central West	55-64	27917
Central West	65-74	24652
Central West	75-84	14480
Central West	85+	5504
Coffs Harbour - Grafton	0-4	7178
Coffs Harbour - Grafton	5-14	17662
Coffs Harbour - Grafton	15-19	7950
Coffs Harbour - Grafton	20-24	6369
Coffs Harbour - Grafton	25-34	15030
Coffs Harbour - Grafton	35-44	15975
Coffs Harbour - Grafton	45-54	18106
Coffs Harbour - Grafton	55-64	21252
Coffs Harbour - Grafton	65-74	20649
Coffs Harbour - Grafton	75-84	11492
Coffs Harbour - Grafton	85+	4473
Far West and Orana	0-4	7596
Far West and Orana	5-14	15301
Far West and Orana	15-19	6541
Far West and Orana	20-24	5979
Far West and Orana	25-34	15489
Far West and Orana	35-44	12978
Far West and Orana	45-54	13463
Far West and Orana	55-64	15228
Far West and Orana	65-74	12627
Far West and Orana	75-84	7498
Far West and Orana	85+	2866
Hunter Valley exc Newcastle	0-4	17579
Hunter Valley exc Newcastle	5-14	39317
Hunter Valley exc Newcastle	15-19	17584
Hunter Valley exc Newcastle	20-24	16178
Hunter Valley exc Newcastle	25-34	36516
Hunter Valley exc Newcastle	35-44	35227
Hunter Valley exc Newcastle	45-54	36228
Hunter Valley exc Newcastle	55-64	37003
Hunter Valley exc Newcastle	65-74	32654
Hunter Valley exc Newcastle	75-84	17724
Hunter Valley exc Newcastle	85+	5922
Illawarra	0-4	17827
Illawarra	5-14	38285
Illawarra	15-19	19124
Illawarra	20-24	21328
Illawarra	25-34	39997
Illawarra	35-44	38572
Illawarra	45-54	39273
Illawarra	55-64	39152
Illawarra	65-74	32307
Illawarra	75-84	19744
Illawarra	85+	8227
Mid North Coast	0-4	10190
Mid North Coast	5-14	25646
Mid North Coast	15-19	12206
Mid North Coast	20-24	9356
Mid North Coast	25-34	19774
Mid North Coast	35-44	21625
Mid North Coast	45-54	26807
Mid North Coast	55-64	34795
Mid North Coast	65-74	37531
Mid North Coast	75-84	22565
Mid North Coast	85+	8536
Murray	0-4	7139
Murray	5-14	15152
Murray	15-19	7090
Murray	20-24	6222
Murray	25-34	13683
Murray	35-44	13574
Murray	45-54	14812
Murray	55-64	17022
Murray	65-74	16158
Murray	75-84	9280
Murray	85+	3413
New England and North West	0-4	10684
New England and North West	5-14	24821
New England and North West	15-19	11556
New England and North West	20-24	10211
New England and North West	25-34	21953
New England and North West	35-44	20328
New England and North West	45-54	22031
New England and North West	55-64	24586
New England and North West	65-74	21574
New England and North West	75-84	13144
New England and North West	85+	4669
Newcastle and Lake Macquarie	0-4	21240
Newcastle and Lake Macquarie	5-14	46382
Newcastle and Lake Macquarie	15-19	22461
Newcastle and Lake Macquarie	20-24	26409
Newcastle and Lake Macquarie	25-34	51995
Newcastle and Lake Macquarie	35-44	48540
Newcastle and Lake Macquarie	45-54	48194
Newcastle and Lake Macquarie	55-64	47431
Newcastle and Lake Macquarie	65-74	41675
Newcastle and Lake Macquarie	75-84	25316
Newcastle and Lake Macquarie	85+	10881
Richmond - Tweed	0-4	12261
Richmond - Tweed	5-14	30559
Richmond - Tweed	15-19	13741
Richmond - Tweed	20-24	11273
Richmond - Tweed	25-34	25763
Richmond - Tweed	35-44	29993
Richmond - Tweed	45-54	33175
Richmond - Tweed	55-64	37504
Richmond - Tweed	65-74	35234
Richmond - Tweed	75-84	19222
Richmond - Tweed	85+	8337
Riverina	0-4	10215
Riverina	5-14	21787
Riverina	15-19	10463
Riverina	20-24	10028
Riverina	25-34	20957
Riverina	35-44	19057
Riverina	45-54	19343
Riverina	55-64	20423
Riverina	65-74	17036
Riverina	75-84	10095
Riverina	85+	4250
Southern Highlands and Shoalhaven	0-4	7999
Southern Highlands and Shoalhaven	5-14	18105
Southern Highlands and Shoalhaven	15-19	8411
Southern Highlands and Shoalhaven	20-24	6898
Southern Highlands and Shoalhaven	25-34	15749
Southern Highlands and Shoalhaven	35-44	16449
Southern Highlands and Shoalhaven	45-54	19016
Southern Highlands and Shoalhaven	55-64	23275
Southern Highlands and Shoalhaven	65-74	24844
Southern Highlands and Shoalhaven	75-84	14997
Southern Highlands and Shoalhaven	85+	5266
Sydney - Baulkham Hills and Hawkesbury	0-4	14477
Sydney - Baulkham Hills and Hawkesbury	5-14	39492
Sydney - Baulkham Hills and Hawkesbury	15-19	18272
Sydney - Baulkham Hills and Hawkesbury	20-24	15695
Sydney - Baulkham Hills and Hawkesbury	25-34	25876
Sydney - Baulkham Hills and Hawkesbury	35-44	39217
Sydney - Baulkham Hills and Hawkesbury	45-54	37757
Sydney - Baulkham Hills and Hawkesbury	55-64	31141
Sydney - Baulkham Hills and Hawkesbury	65-74	24274
Sydney - Baulkham Hills and Hawkesbury	75-84	13127
Sydney - Baulkham Hills and Hawkesbury	85+	5023
Sydney - Blacktown	0-4	30296
Sydney - Blacktown	5-14	60788
Sydney - Blacktown	15-19	24508
Sydney - Blacktown	20-24	26679
Sydney - Blacktown	25-34	60222
Sydney - Blacktown	35-44	68328
Sydney - Blacktown	45-54	47949
Sydney - Blacktown	55-64	38101
Sydney - Blacktown	65-74	27249
Sydney - Blacktown	75-84	12543
Sydney - Blacktown	85+	4339
Sydney - City and Inner South	0-4	13593
Sydney - City and Inner South	5-14	19229
Sydney - City and Inner South	15-19	10170
Sydney - City and Inner South	20-24	31157
Sydney - City and Inner South	25-34	95819
Sydney - City and Inner South	35-44	59167
Sydney - City and Inner South	45-54	38106
Sydney - City and Inner South	55-64	29296
Sydney - City and Inner South	65-74	20220
Sydney - City and Inner South	75-84	10722
Sydney - City and Inner South	85+	3864
Sydney - Eastern Suburbs	0-4	13267
Sydney - Eastern Suburbs	5-14	26754
Sydney - Eastern Suburbs	15-19	12440
Sydney - Eastern Suburbs	20-24	16077
Sydney - Eastern Suburbs	25-34	50336
Sydney - Eastern Suburbs	35-44	39986
Sydney - Eastern Suburbs	45-54	34027
Sydney - Eastern Suburbs	55-64	26890
Sydney - Eastern Suburbs	65-74	21255
Sydney - Eastern Suburbs	75-84	13846
Sydney - Eastern Suburbs	85+	6538
Sydney - Inner South West	0-4	36759
Sydney - Inner South West	5-14	72027
Sydney - Inner South West	15-19	33668
Sydney - Inner South West	20-24	42735
Sydney - Inner South West	25-34	96482
Sydney - Inner South West	35-44	84427
Sydney - Inner South West	45-54	74330
Sydney - Inner South West	55-64	68740
Sydney - Inner South West	65-74	50540
Sydney - Inner South West	75-84	30611
Sydney - Inner South West	85+	14802
Sydney - Inner West	0-4	15584
Sydney - Inner West	5-14	30206
Sydney - Inner West	15-19	13528
Sydney - Inner West	20-24	22463
Sydney - Inner West	25-34	57158
Sydney - Inner West	35-44	46480
Sydney - Inner West	45-54	39339
Sydney - Inner West	55-64	33603
Sydney - Inner West	65-74	25007
Sydney - Inner West	75-84	14410
Sydney - Inner West	85+	7002
Sydney - North Sydney and Hornsby	0-4	21684
Sydney - North Sydney and Hornsby	5-14	54512
Sydney - North Sydney and Hornsby	15-19	24286
Sydney - North Sydney and Hornsby	20-24	22306
Sydney - North Sydney and Hornsby	25-34	52341
Sydney - North Sydney and Hornsby	35-44	66457
Sydney - North Sydney and Hornsby	45-54	60609
