SA4_NAME16	Age5yr	Indigenous	Sex	persons
Capital Region	0-4		F	350
Capital Region	0-4		M	345
Capital Region	0-4	0	F	5367
Capital Region	0-4	0	M	5636
Capital Region	0-4	1	F	521
Capital Region	0-4	1	M	536
Capital Region	5-9		F	389
Capital Region	5-9		M	461
Capital Region	5-9	0	F	5691
Capital Region	5-9	0	M	6123
Capital Region	5-9	1	F	538
Capital Region	5-9	1	M	592
Capital Region	10-14		F	470
Capital Region	10-14		M	481
Capital Region	10-14	0	F	5991
Capital Region	10-14	0	M	6605
Capital Region	10-14	1	F	574
Capital Region	10-14	1	M	584
Capital Region	15-19		F	358
Capital Region	15-19		M	429
Capital Region	15-19	0	F	5234
Capital Region	15-19	0	M	5757
Capital Region	15-19	1	F	494
Capital Region	15-19	1	M	512
Capital Region	20-24		F	310
Capital Region	20-24		M	352
Capital Region	20-24	0	F	4514
Capital Region	20-24	0	M	4899
Capital Region	20-24	1	F	373
Capital Region	20-24	1	M	426
Capital Region	25-29		F	410
Capital Region	25-29		M	420
Capital Region	25-29	0	F	5656
Capital Region	25-29	0	M	5578
Capital Region	25-29	1	F	324
Capital Region	25-29	1	M	386
Capital Region	30-34		F	402
Capital Region	30-34		M	428
Capital Region	30-34	0	F	6437
Capital Region	30-34	0	M	6168
Capital Region	30-34	1	F	281
Capital Region	30-34	1	M	272
Capital Region	35-39		F	430
Capital Region	35-39		M	396
Capital Region	35-39	0	F	6399
Capital Region	35-39	0	M	6201
Capital Region	35-39	1	F	283
Capital Region	35-39	1	M	261
Capital Region	40-44		F	412
Capital Region	40-44		M	385
Capital Region	40-44	0	F	6195
Capital Region	40-44	0	M	5671
Capital Region	40-44	1	F	240
Capital Region	40-44	1	M	247
Capital Region	45-49		F	405
Capital Region	45-49		M	457
Capital Region	45-49	0	F	6872
Capital Region	45-49	0	M	6757
Capital Region	45-49	1	F	280
Capital Region	45-49	1	M	266
Capital Region	50-54		F	431
Capital Region	50-54		M	484
Capital Region	50-54	0	F	7776
Capital Region	50-54	0	M	7189
Capital Region	50-54	1	F	286
Capital Region	50-54	1	M	268
Capital Region	55-59		F	504
Capital Region	55-59		M	583
Capital Region	55-59	0	F	8032
Capital Region	55-59	0	M	7767
Capital Region	55-59	1	F	254
Capital Region	55-59	1	M	244
Capital Region	60-64		F	479
Capital Region	60-64		M	555
Capital Region	60-64	0	F	8365
Capital Region	60-64	0	M	8203
Capital Region	60-64	1	F	202
Capital Region	60-64	1	M	188
Capital Region	65+		F	1648
Capital Region	65+		M	1641
Capital Region	65+	0	F	25199
Capital Region	65+	0	M	24007
Capital Region	65+	1	F	368
Capital Region	65+	1	M	334
Central Coast	0-4		F	388
Central Coast	0-4		M	375
Central Coast	0-4	0	F	8092
Central Coast	0-4	0	M	8620
Central Coast	0-4	1	F	925
Central Coast	0-4	1	M	1010
Central Coast	5-9		F	465
Central Coast	5-9		M	502
Central Coast	5-9	0	F	8739
Central Coast	5-9	0	M	9404
Central Coast	5-9	1	F	937
Central Coast	5-9	1	M	1034
Central Coast	10-14		F	517
Central Coast	10-14		M	487
Central Coast	10-14	0	F	9105
Central Coast	10-14	0	M	9787
Central Coast	10-14	1	F	983
Central Coast	10-14	1	M	979
Central Coast	15-19		F	402
Central Coast	15-19		M	478
Central Coast	15-19	0	F	8513
Central Coast	15-19	0	M	9129
Central Coast	15-19	1	F	840
Central Coast	15-19	1	M	921
Central Coast	20-24		F	406
Central Coast	20-24		M	405
Central Coast	20-24	0	F	7971
Central Coast	20-24	0	M	8227
Central Coast	20-24	1	F	727
Central Coast	20-24	1	M	748
Central Coast	25-29		F	441
Central Coast	25-29		M	488
Central Coast	25-29	0	F	8254
Central Coast	25-29	0	M	8145
Central Coast	25-29	1	F	621
Central Coast	25-29	1	M	598
Central Coast	30-34		F	463
Central Coast	30-34		M	459
Central Coast	30-34	0	F	9183
Central Coast	30-34	0	M	8419
Central Coast	30-34	1	F	536
Central Coast	30-34	1	M	504
Central Coast	35-39		F	481
Central Coast	35-39		M	453
Central Coast	35-39	0	F	9852
Central Coast	35-39	0	M	9095
Central Coast	35-39	1	F	487
Central Coast	35-39	1	M	411
Central Coast	40-44		F	469
Central Coast	40-44		M	443
Central Coast	40-44	0	F	9712
Central Coast	40-44	0	M	9119
Central Coast	40-44	1	F	442
Central Coast	40-44	1	M	387
Central Coast	45-49		F	485
Central Coast	45-49		M	488
Central Coast	45-49	0	F	10445
Central Coast	45-49	0	M	9740
Central Coast	45-49	1	F	420
Central Coast	45-49	1	M	371
Central Coast	50-54		F	384
Central Coast	50-54		M	494
Central Coast	50-54	0	F	10623
Central Coast	50-54	0	M	9931
Central Coast	50-54	1	F	441
Central Coast	50-54	1	M	362
Central Coast	55-59		F	459
Central Coast	55-59		M	442
Central Coast	55-59	0	F	10814
Central Coast	55-59	0	M	10037
Central Coast	55-59	1	F	407
Central Coast	55-59	1	M	322
Central Coast	60-64		F	378
Central Coast	60-64		M	401
Central Coast	60-64	0	F	11225
Central Coast	60-64	0	M	9821
Central Coast	60-64	1	F	315
Central Coast	60-64	1	M	257
Central Coast	65+		F	2155
Central Coast	65+		M	1594
