SA4_NAME16	persons
Capital Region	238810
Central Coast	346596
Central West	212962
Coffs Harbour - Grafton	146127
Far West and Orana	115566
Hunter Valley exc Newcastle	291946
Illawarra	313842
Mid North Coast	229035
Murray	123552
New England and North West	185560
Newcastle and Lake Macquarie	390519
Richmond - Tweed	257061
Riverina	163656
Southern Highlands and Shoalhaven	161006
Sydney - Baulkham Hills and Hawkesbury	264371
Sydney - Blacktown	400997
Sydney - City and Inner South	331340
Sydney - Eastern Suburbs	261410
Sydney - Inner South West	605118
Sydney - Inner West	304771
Sydney - North Sydney and Hornsby	424045
Sydney - Northern Beaches	263554
Sydney - Outer South West	297292
Sydney - Outer West and Blue Mountains	332056
Sydney - Parramatta	493515
Sydney - Ryde	202038
Sydney - South West	474430
Sydney - Sutherland	229604
No usual address (NSW)	11371
Ballarat	173937
Bendigo	167764
Geelong	327878
Hume	184935
Latrobe - Gippsland	300848
Melbourne - Inner	617018
Melbourne - Inner East	373472
Melbourne - Inner South	422639
Melbourne - North East	540664
Melbourne - North West	424328
Melbourne - Outer East	518301
Melbourne - South East	860060
Melbourne - West	853054
Mornington Peninsula	308226
North West	155568
Shepparton	137618
Warrnambool and South West	128069
Migratory - Offshore - Shipping (Vic.)	38
No usual address (Vic.)	9089
Brisbane - East	239817
Brisbane - North	224598
Brisbane - South	371026
Brisbane - West	189213
Brisbane Inner City	292245
Cairns	253748
Darling Downs - Maranoa	128622
Central Queensland	228246
Gold Coast	640778
Ipswich	367126
Logan - Beaudesert	359767
Mackay - Isaac - Whitsunday	180894
Moreton Bay - North	264752
Moreton Bay - South	217700
Queensland - Outback	79827
Sunshine Coast	398840
Toowoomba	162059
Townsville	234283
Wide Bay	307745
Migratory - Offshore - Shipping (Qld)	183
No usual address (Qld)	14670
Adelaide - Central and Hills	312377
Adelaide - North	455707
Adelaide - South	374859
Adelaide - West	244347
Barossa - Yorke - Mid North	114487
South Australia - Outback	82646
South Australia - South East	193709
Migratory - Offshore - Shipping (SA)	12
No usual address (SA)	3377
Bunbury	188747
Mandurah	107641
Perth - Inner	182267
Perth - North East	276573
Perth - North West	577297
Perth - South East	529466
Perth - South West	443407
Western Australia - Wheat Belt	137175
Western Australia - Outback (North)	90128
Western Australia - Outback (South)	118758
Migratory - Offshore - Shipping (WA)	514
No usual address (WA)	8055
Hobart	247086
Launceston and North East	151195
South East	41734
West and North West	116156
Migratory - Offshore - Shipping (Tas.)	19
No usual address (Tas.)	1377
Darwin	139902
Northern Territory - Outback	89103
Migratory - Offshore - Shipping (NT)	99
No usual address (NT)	3500
Australian Capital Territory	453890
No usual address (ACT)	605
Other Territories	4778
No usual address (OT)	11
