CED_NAME16	Age5yr	ChildrenEverBorn	females
Bennelong	25-29		503
Bennelong	25-29	0	6453
Bennelong	25-29	1	541
Bennelong	25-29	2	174
Bennelong	25-29	3	41
Bennelong	25-29	4	7
Bennelong	30-34		440
Bennelong	30-34	0	5133
Bennelong	30-34	1	2035
Bennelong	30-34	2	1202
Bennelong	30-34	3	196
Bennelong	30-34	4	35
Bennelong	30-34	5	3
Bennelong	30-34	6	3
Bennelong	35-39		362
Bennelong	35-39	0	2606
Bennelong	35-39	1	2221
Bennelong	35-39	2	2873
Bennelong	35-39	3	579
Bennelong	35-39	4	101
Bennelong	35-39	5	14
Bennelong	35-39	6	7
Bennelong	40-44		255
Bennelong	40-44	0	1427
Bennelong	40-44	1	1548
Bennelong	40-44	2	2866
Bennelong	40-44	3	821
Bennelong	40-44	4	176
Bennelong	40-44	5	21
Bennelong	40-44	6	9
Bennelong	45-49		187
Bennelong	45-49	0	1130
Bennelong	45-49	1	1197
Bennelong	45-49	2	2570
Bennelong	45-49	3	834
Bennelong	45-49	4	191
Bennelong	45-49	5	35
Bennelong	45-49	6	20
Bennelong	50-54		199
Bennelong	50-54	0	960
Bennelong	50-54	1	1223
Bennelong	50-54	2	2266
Bennelong	50-54	3	857
Bennelong	50-54	4	180
Bennelong	50-54	5	38
Bennelong	50-54	6	12
Bennelong	55-59		171
Bennelong	55-59	0	869
Bennelong	55-59	1	1200
Bennelong	55-59	2	2325
Bennelong	55-59	3	874
Bennelong	55-59	4	198
Bennelong	55-59	5	44
Bennelong	55-59	6	19
Bennelong	60-64		190
Bennelong	60-64	0	776
Bennelong	60-64	1	1260
Bennelong	60-64	2	1941
Bennelong	60-64	3	835
Bennelong	60-64	4	256
Bennelong	60-64	5	58
Bennelong	60-64	6	36
Bennelong	65-69		145
Bennelong	65-69	0	601
Bennelong	65-69	1	1155
Bennelong	65-69	2	1648
Bennelong	65-69	3	737
Bennelong	65-69	4	242
Bennelong	65-69	5	53
Bennelong	65-69	6	38
Bennelong	70-74		171
Bennelong	70-74	0	436
Bennelong	70-74	1	579
Bennelong	70-74	2	1395
Bennelong	70-74	3	712
Bennelong	70-74	4	246
Bennelong	70-74	5	74
Bennelong	70-74	6	40
Bennelong	75-79		152
Bennelong	75-79	0	282
Bennelong	75-79	1	257
Bennelong	75-79	2	951
Bennelong	75-79	3	524
Bennelong	75-79	4	216
Bennelong	75-79	5	81
Bennelong	75-79	6	36
Bennelong	80-84		185
Bennelong	80-84	0	192
Bennelong	80-84	1	173
Bennelong	80-84	2	703
Bennelong	80-84	3	534
Bennelong	80-84	4	270
Bennelong	80-84	5	98
Bennelong	80-84	6	65
Bennelong	85+		417
Bennelong	85+	0	226
Bennelong	85+	1	215
Bennelong	85+	2	637
Bennelong	85+	3	586
Bennelong	85+	4	337
Bennelong	85+	5	149
Bennelong	85+	6	145
Berowra	15-19		239
Berowra	15-19	0	4830
Berowra	15-19	1	3
Berowra	20-24		189
Berowra	20-24	0	3857
Berowra	20-24	1	47
Berowra	20-24	2	9
Berowra	20-24	3	6
Berowra	25-29		122
Berowra	25-29	0	2333
Berowra	25-29	1	242
Berowra	25-29	2	117
Berowra	25-29	3	30
Berowra	25-29	4	3
Berowra	30-34		124
Berowra	30-34	0	1392
Berowra	30-34	1	870
Berowra	30-34	2	756
Berowra	30-34	3	201
Berowra	30-34	4	34
Berowra	30-34	5	12
Berowra	35-39		136
Berowra	35-39	0	774
Berowra	35-39	1	1056
Berowra	35-39	2	2065
Berowra	35-39	3	617
Berowra	35-39	4	142
