CED_NAME16	Age	HoursHousekeeping	Sex	adults
Banks	15-19		F	199
Banks	15-19		M	203
Banks	15-19	0	F	1632
Banks	15-19	0	M	2105
Banks	15-19	<5	F	1920
Banks	15-19	<5	M	1946
Banks	15-19	5-14	F	550
Banks	15-19	5-14	M	422
Banks	15-19	15-29	F	62
Banks	15-19	15-29	M	45
Banks	15-19	30+	F	25
Banks	15-19	30+	M	22
Banks	20-24		F	264
Banks	20-24		M	341
Banks	20-24	0	F	1806
Banks	20-24	0	M	2586
Banks	20-24	<5	F	1715
Banks	20-24	<5	M	1785
Banks	20-24	5-14	F	1149
Banks	20-24	5-14	M	823
Banks	20-24	15-29	F	240
Banks	20-24	15-29	M	120
Banks	20-24	30+	F	127
Banks	20-24	30+	M	69
Banks	25-34		F	666
Banks	25-34		M	735
Banks	25-34	0	F	3300
Banks	25-34	0	M	4398
Banks	25-34	<5	F	1866
Banks	25-34	<5	M	2713
Banks	25-34	5-14	F	2950
Banks	25-34	5-14	M	2628
Banks	25-34	15-29	F	1237
Banks	25-34	15-29	M	628
Banks	25-34	30+	F	1284
Banks	25-34	30+	M	352
Banks	35-44		F	548
Banks	35-44		M	593
Banks	35-44	0	F	2314
Banks	35-44	0	M	3103
Banks	35-44	<5	F	1005
Banks	35-44	<5	M	2118
Banks	35-44	5-14	F	3039
Banks	35-44	5-14	M	3230
Banks	35-44	15-29	F	2274
Banks	35-44	15-29	M	1137
Banks	35-44	30+	F	2269
Banks	35-44	30+	M	594
Banks	45-54		F	447
Banks	45-54		M	402
Banks	45-54	0	F	2053
Banks	45-54	0	M	2556
Banks	45-54	<5	F	917
Banks	45-54	<5	M	2183
Banks	45-54	5-14	F	3149
Banks	45-54	5-14	M	3220
Banks	45-54	15-29	F	2368
Banks	45-54	15-29	M	1038
Banks	45-54	30+	F	1984
Banks	45-54	30+	M	498
Banks	55-64		F	404
Banks	55-64		M	426
Banks	55-64	0	F	2410
Banks	55-64	0	M	2874
Banks	55-64	<5	F	943
Banks	55-64	<5	M	2038
Banks	55-64	5-14	F	2897
Banks	55-64	5-14	M	2983
Banks	55-64	15-29	F	2237
Banks	55-64	15-29	M	1117
Banks	55-64	30+	F	1721
Banks	55-64	30+	M	560
Banks	65-74		F	333
Banks	65-74		M	359
Banks	65-74	0	F	2264
Banks	65-74	0	M	2350
Banks	65-74	<5	F	614
Banks	65-74	<5	M	1191
Banks	65-74	5-14	F	1775
Banks	65-74	5-14	M	1939
Banks	65-74	15-29	F	1648
Banks	65-74	15-29	M	951
Banks	65-74	30+	F	1295
Banks	65-74	30+	M	438
Banks	75-84		F	412
Banks	75-84		M	285
Banks	75-84	0	F	1770
Banks	75-84	0	M	1498
Banks	75-84	<5	F	474
Banks	75-84	<5	M	651
Banks	75-84	5-14	F	933
Banks	75-84	5-14	M	888
Banks	75-84	15-29	F	703
Banks	75-84	15-29	M	418
Banks	75-84	30+	F	612
Banks	75-84	30+	M	218
