CED_NAME16	Age	UsualResidence	persons
Banks	0-14	Home	27352
Banks	0-14	Visitor from NSW	252
Banks	0-14	Visitor from VIC	7
Banks	0-14	Visitor same SA2	14
Banks	15-24	Home	19744
Banks	15-24	Visitor from ACT	5
Banks	15-24	Visitor from NSW	271
Banks	15-24	Visitor from QLD	7
Banks	15-24	Visitor from VIC	10
Banks	15-24	Visitor same SA2	6
Banks	25-34	Home	22154
Banks	25-34	Visitor from NSW	397
Banks	25-34	Visitor from QLD	3
Banks	25-34	Visitor from VIC	5
Banks	25-34	Visitor same SA2	10
Banks	35-44	Home	21813
Banks	35-44	Visitor from NSW	235
Banks	35-44	Visitor from QLD	3
Banks	35-44	Visitor from TAS	7
Banks	35-44	Visitor from VIC	3
Banks	35-44	Visitor same SA2	6
Banks	45-54	Home	20440
Banks	45-54	Visitor from NSW	213
Banks	45-54	Visitor from QLD	6
Banks	45-54	Visitor from SA	3
Banks	45-54	Visitor from VIC	4
Banks	45-54	Visitor same SA2	12
Banks	55-64	Home	20222
Banks	55-64	Visitor from ACT	7
Banks	55-64	Visitor from NSW	222
Banks	55-64	Visitor from QLD	10
Banks	55-64	Visitor from SA	4
Banks	55-64	Visitor from VIC	3
Banks	55-64	Visitor from WA	3
Banks	55-64	Visitor same SA2	17
Banks	65-74	Home	14776
Banks	65-74	Visitor from NSW	163
Banks	65-74	Visitor from QLD	15
Banks	65-74	Visitor from VIC	5
Banks	65-74	Visitor from WA	4
Banks	65-74	Visitor same SA2	24
Banks	75-84	Home	8552
Banks	75-84	Visitor from NSW	91
Banks	75-84	Visitor from QLD	3
Banks	75-84	Visitor from VIC	4
Banks	75-84	Visitor same SA2	17
Banks	85+	Home	4311
Banks	85+	Visitor from NSW	59
Banks	85+	Visitor from QLD	4
Banks	85+	Visitor same SA2	10
Barton	0-14	Home	27066
Barton	0-14	Visitor from NSW	347
Barton	0-14	Visitor from QLD	9
Barton	0-14	Visitor same SA2	15
Barton	15-24	Home	21470
Barton	15-24	Visitor from ACT	5
Barton	15-24	Visitor from NSW	376
Barton	15-24	Visitor from QLD	14
Barton	15-24	Visitor from SA	7
Barton	15-24	Visitor from VIC	5
Barton	15-24	Visitor from WA	3
Barton	15-24	Visitor same SA2	12
Barton	25-34	Home	34428
Barton	25-34	Visitor from ACT	5
Barton	25-34	Visitor from NSW	538
Barton	25-34	Visitor from QLD	14
Barton	25-34	Visitor from VIC	16
Barton	25-34	Visitor from WA	5
Barton	25-34	Visitor same SA2	16
Barton	35-44	Home	26724
Barton	35-44	Visitor from ACT	3
Barton	35-44	Visitor from NSW	414
Barton	35-44	Visitor from QLD	5
Barton	35-44	Visitor from SA	3
Barton	35-44	Visitor from VIC	12
Barton	35-44	Visitor from WA	3
Barton	35-44	Visitor same SA2	25
Barton	45-54	Home	21556
Barton	45-54	Visitor from ACT	8
Barton	45-54	Visitor from NSW	360
Barton	45-54	Visitor from QLD	20
Barton	45-54	Visitor from SA	3
Barton	45-54	Visitor from TAS	3
Barton	45-54	Visitor from VIC	7
Barton	45-54	Visitor from WA	5
Barton	45-54	Visitor same SA2	22
Barton	55-64	Home	18807
Barton	55-64	Visitor from NSW	366
Barton	55-64	Visitor from QLD	6
Barton	55-64	Visitor from SA	5
Barton	55-64	Visitor from VIC	7
Barton	55-64	Visitor from WA	5
Barton	55-64	Visitor same SA2	27
Barton	65-74	Home	14292
Barton	65-74	Visitor from ACT	5
Barton	65-74	Visitor from NSW	324
Barton	65-74	Visitor from QLD	8
Barton	65-74	Visitor from SA	6
Barton	65-74	Visitor from VIC	9
Barton	65-74	Visitor from WA	4
Barton	65-74	Visitor same SA2	28
Barton	75-84	Home	9054
Barton	75-84	Visitor from NSW	280
Barton	75-84	Visitor from QLD	3
Barton	75-84	Visitor same SA2	44
Barton	85+	Home	4247
Barton	85+	Visitor from NSW	208
Barton	85+	Visitor same SA2	29
Bennelong	0-14	Home	32194
Bennelong	0-14	Visitor from NSW	304
Bennelong	0-14	Visitor from QLD	3
Bennelong	0-14	Visitor from WA	3
Bennelong	15-24	Home	21041
