CED_NAME16	medianMortgageRepayment
Banks	30000
Barton	28596
Bennelong	31200
Berowra	33804
Blaxland	25320
Bradfield	37200
Calare	19764
Chifley	26400
Cook	33000
Cowper	19500
Cunningham	26004
Dobell	23484
Eden-Monaro	21840
Farrer	15600
Fowler	23400
Gilmore	20796
Grayndler	36000
Greenway	30000
Hughes	31200
Hume	26004
Hunter	20976
Kingsford Smith	34440
Lindsay	26004
Lyne	19500
Macarthur	26400
Mackellar	36396
Macquarie	26004
McMahon	26004
Mitchell	35880
New England	16800
Newcastle	24000
North Sydney	36396
Page	18204
Parkes	15600
Parramatta	26004
Paterson	20796
Reid	30000
Richmond	23400
Riverina	15708
Robertson	25800
Shortland	23400
Sydney	32400
Warringah	39600
Watson	26004
Wentworth	42000
Werriwa	26400
Whitlam	24960
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Aston	24000
Ballarat	18000
Bendigo	17424
Bruce	21600
Calwell	22008
Casey	23400
Chisholm	28800
Cooper	25200
Corangamite	21840
Corio	20400
Deakin	24840
Dunkley	22776
Flinders	23388
Fraser	22200
Gellibrand	25200
Gippsland	15600
Goldstein	33600
Gorton	22800
Hawke	20796
Higgins	29400
Holt	22800
Hotham	24000
Indi	16896
Isaacs	26004
Jagajaga	26004
Kooyong	35232
La Trobe	24000
Lalor	21768
Macnamara	26004
Mallee	12996
Maribyrnong	26004
McEwen	24000
Melbourne	25200
Menzies	28596
Monash	18000
Nicholls	15600
Scullin	21780
Wannon	15600
Wills	24384
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Blair	18204
Bonner	26004
Bowman	23400
Brisbane	26004
Capricornia	18204
Dawson	19500
Dickson	23016
Fadden	23400
Fairfax	22800
Fisher	23328
Flynn	18000
Forde	20796
Griffith	26004
Groom	18204
Herbert	18204
Hinkler	15600
Kennedy	17160
Leichhardt	19200
Lilley	24000
Longman	20796
Maranoa	14400
McPherson	24000
Moncrieff	22296
Moreton	24000
Oxley	20796
Petrie	21600
Rankin	19800
Ryan	26400
Wide Bay	17280
Wright	22200
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	20796
Barker	14040
Boothby	21600
Grey	13200
Hindmarsh	20796
Kingston	17424
Makin	18000
Mayo	19140
Spence	15600
Sturt	21936
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Brand	20796
Burt	20700
Canning	21600
Cowan	20400
Curtin	30000
Durack	20136
Forrest	20400
Fremantle	23664
Hasluck	23400
Moore	25896
O'Connor	16800
Pearce	23400
Perth	23868
Swan	22200
Tangney	25200
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	20796
Bass	15600
Braddon	14400
Clark	18204
Franklin	18204
Lyons	15600
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Lingiari	24000
Solomon	24000
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Bean	24648
Canberra	26004
Fenner	24072
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
