CED_NAME21	PrivateDwelling	persons
Banks	0	6265
Banks	1	155288
Barton	0	10065
Barton	1	171208
Bennelong	0	8567
Bennelong	1	181881
Berowra	0	4350
Berowra	1	147129
Blaxland	0	14114
Blaxland	1	174044
Bradfield	0	6210
Bradfield	1	162075
Calare	0	16883
Calare	1	152916
Chifley	0	12728
Chifley	1	188917
Cook	0	6615
Cook	1	141832
Cowper	0	16576
Cowper	1	156045
Cunningham	0	9254
Cunningham	1	151586
Dobell	0	9514
Dobell	1	152662
Eden-Monaro	0	18915
Eden-Monaro	1	148499
Farrer	0	17209
Farrer	1	155264
Fowler	0	11691
Fowler	1	161681
Gilmore	0	14816
Gilmore	1	149791
Grayndler	0	8635
Grayndler	1	139780
Greenway	0	9176
Greenway	1	192221
Hughes	0	5237
Hughes	1	143936
Hume	0	10210
Hume	1	161870
Hunter	0	12357
Hunter	1	161287
Kingsford Smith	0	13819
Kingsford Smith	1	167551
Lindsay	0	11919
Lindsay	1	175936
Lyne	0	11957
Lyne	1	145938
Macarthur	0	9321
Macarthur	1	195703
Mackellar	0	6429
Mackellar	1	147727
Macquarie	0	6937
Macquarie	1	138005
McMahon	0	9766
McMahon	1	165213
Mitchell	0	4990
Mitchell	1	182916
New England	0	16973
New England	1	142196
Newcastle	0	11384
Newcastle	1	153585
North Sydney	0	8795
North Sydney	1	156726
Page	0	16464
Page	1	154020
Parkes	0	23700
Parkes	1	134705
Parramatta	0	14139
Parramatta	1	189696
Paterson	0	8069
Paterson	1	166034
Reid	0	11263
Reid	1	190212
Richmond	0	16322
Richmond	1	152340
Riverina	0	16424
Riverina	1	146223
Robertson	0	8940
Robertson	1	143121
Shortland	0	6204
Shortland	1	144200
Sydney	0	28020
Sydney	1	180241
Warringah	0	5521
Warringah	1	142517
Watson	0	11518
Watson	1	170631
Wentworth	0	9620
Wentworth	1	132554
Werriwa	0	9884
Werriwa	1	188728
Whitlam	0	8291
Whitlam	1	159797
Migratory - Offshore - Shipping (NSW)	0	32
Aston	0	5903
Aston	1	152501
Ballarat	0	10313
Ballarat	1	140860
Bendigo	0	11369
Bendigo	1	140409
Bruce	0	10856
Bruce	1	168206
Calwell	0	9221
Calwell	1	178943
Casey	0	5889
Casey	1	149327
Chisholm	0	11050
Chisholm	1	171980
Cooper	0	7780
Cooper	1	146998
Corangamite	0	9327
Corangamite	1	141088
Corio	0	10812
Corio	1	147425
Deakin	0	6731
Deakin	1	158867
Dunkley	0	8723
Dunkley	1	148164
Flinders	0	12745
Flinders	1	136716
Fraser	0	11599
Fraser	1	164081
Gellibrand	0	9269
Gellibrand	1	179605
Gippsland	0	14872
Gippsland	1	138873
Goldstein	0	6173
Goldstein	1	146274
Gorton	0	9264
Gorton	1	168441
Hawke	0	8304
Hawke	1	156103
Higgins	0	8348
Higgins	1	144447
Holt	0	7925
Holt	1	178446
Hotham	0	9843
Hotham	1	185283
Indi	0	17787
Indi	1	141238
Isaacs	0	6016
Isaacs	1	153298
Jagajaga	0	6911
Jagajaga	1	151182
Kooyong	0	7491
Kooyong	1	153521
La Trobe	0	7264
La Trobe	1	161250
Lalor	0	10468
Lalor	1	190485
Macnamara	0	13361
Macnamara	1	153269
Mallee	0	15730
Mallee	1	151586
Maribyrnong	0	6927
Maribyrnong	1	145233
McEwen	0	6610
McEwen	1	151544
Melbourne	0	27009
Melbourne	1	175548
Menzies	0	6818
Menzies	1	165160
Monash	0	10958
Monash	1	133515
Nicholls	0	13831
Nicholls	1	144847
Scullin	0	7504
Scullin	1	162888
Wannon	0	14247
Wannon	1	139756
Wills	0	7619
Wills	1	149208
Migratory - Offshore - Shipping (Vic.)	0	565
Blair	0	12417
Blair	1	176725
Bonner	0	5828
Bonner	1	155973
Bowman	0	6329
Bowman	1	151320
Brisbane	0	19108
Brisbane	1	167447
Capricornia	0	33217
Capricornia	1	138095
Dawson	0	24520
Dawson	1	141726
Dickson	0	4404
Dickson	1	153126
Fadden	0	12123
Fadden	1	181188
Fairfax	0	12771
Fairfax	1	157473
Fisher	0	13288
Fisher	1	159030
Flynn	0	24436
Flynn	1	141382
Forde	0	11754
Forde	1	180345
Griffith	0	14984
Griffith	1	163808
Groom	0	12316
Groom	1	147973
Herbert	0	17945
Herbert	1	147310
Hinkler	0	15297
Hinkler	1	144261
Kennedy	0	36966
Kennedy	1	150348
Leichhardt	0	33261
Leichhardt	1	154524
Lilley	0	8351
Lilley	1	152864
Longman	0	11329
Longman	1	173184
Maranoa	0	24483
Maranoa	1	133614
McPherson	0	12227
McPherson	1	152034
Moncrieff	0	21450
Moncrieff	1	164802
Moreton	0	7182
Moreton	1	159763
Oxley	0	10981
Oxley	1	174238
Petrie	0	8113
Petrie	1	175313
Rankin	0	10623
Rankin	1	174929
Ryan	0	8856
Ryan	1	153146
Wide Bay	0	15942
Wide Bay	1	138692
Wright	0	10911
Wright	1	169350
Migratory - Offshore - Shipping (Qld)	0	354
Adelaide	0	16924
Adelaide	1	183408
Barker	0	15003
Barker	1	155206
Boothby	0	8761
Boothby	1	165357
Grey	0	26474
Grey	1	152879
Hindmarsh	0	7453
Hindmarsh	1	163297
Kingston	0	6025
Kingston	1	157359
Makin	0	6444
Makin	1	165612
Mayo	0	9156
Mayo	1	161279
Spence	0	10059
Spence	1	176858
Sturt	0	7870
Sturt	1	177797
Migratory - Offshore - Shipping (SA)	0	34
Brand	0	9638
Brand	1	166111
Burt	0	7893
Burt	1	171248
Canning	0	7537
Canning	1	145431
Cowan	0	6818
Cowan	1	170334
Curtin	0	12643
Curtin	1	157840
Durack	0	93753
Durack	1	162837
Forrest	0	12787
Forrest	1	141124
Fremantle	0	8123
Fremantle	1	155059
Hasluck	0	9451
Hasluck	1	161102
Moore	0	4743
Moore	1	155204
O'Connor	0	35858
O'Connor	1	149116
Pearce	0	5359
Pearce	1	166919
Perth	0	15888
Perth	1	165000
Swan	0	13522
Swan	1	173748
Tangney	0	7802
Tangney	1	173216
Migratory - Offshore - Shipping (WA)	0	3234
Migratory - Offshore - Shipping (WA)	1	15
Bass	0	8106
Bass	1	101373
Braddon	0	7740
Braddon	1	100586
Clark	0	8846
Clark	1	103548
Franklin	0	5795
Franklin	1	104306
Lyons	0	8338
Lyons	1	103861
Migratory - Offshore - Shipping (Tas.)	0	366
Lingiari	0	40385
Lingiari	1	104827
Solomon	0	18558
Solomon	1	99749
Migratory - Offshore - Shipping (NT)	0	470
Migratory - Offshore - Shipping (NT)	1	12
Bean	0	5630
Bean	1	145430
Canberra	0	17905
Canberra	1	128905
Fenner	0	4973
Fenner	1	152191
