CED_NAME16	AgeStudent	Sex	students
Banks	0-4	F	1286
Banks	0-4	M	1427
Banks	5-14	F	8708
Banks	5-14	M	9197
Banks	15-19	F	3832
Banks	15-19	M	3960
Banks	20-24	F	2754
Banks	20-24	M	2795
Banks	25+	F	4018
Banks	25+	M	2953
Barton	0-4	F	1413
Barton	0-4	M	1490
Barton	5-14	F	8049
Barton	5-14	M	8491
Barton	15-19	F	3386
Barton	15-19	M	3617
Barton	20-24	F	3463
Barton	20-24	M	3909
Barton	25+	F	6466
Barton	25+	M	5194
Bennelong	0-4	F	1617
Bennelong	0-4	M	1757
Bennelong	5-14	F	10239
Bennelong	5-14	M	10909
Bennelong	15-19	F	4078
Bennelong	15-19	M	4353
Bennelong	20-24	F	3591
Bennelong	20-24	M	3663
Bennelong	25+	F	6572
Bennelong	25+	M	4779
Berowra	0-4	F	1306
Berowra	0-4	M	1329
Berowra	5-14	F	10046
Berowra	5-14	M	11105
Berowra	15-19	F	4609
Berowra	15-19	M	4887
Berowra	20-24	F	2365
Berowra	20-24	M	2494
Berowra	25+	F	3342
Berowra	25+	M	2112
Blaxland	0-4	F	1509
Blaxland	0-4	M	1676
Blaxland	5-14	F	10992
Blaxland	5-14	M	11406
Blaxland	15-19	F	4609
Blaxland	15-19	M	4709
Blaxland	20-24	F	3597
Blaxland	20-24	M	3910
Blaxland	25+	F	4809
Blaxland	25+	M	4244
Bradfield	0-4	F	1520
Bradfield	0-4	M	1611
Bradfield	5-14	F	11467
Bradfield	5-14	M	12003
Bradfield	15-19	F	5188
Bradfield	15-19	M	5352
Bradfield	20-24	F	2903
Bradfield	20-24	M	2999
Bradfield	25+	F	4390
Bradfield	25+	M	2743
Calare	0-4	F	1435
Calare	0-4	M	1486
Calare	5-14	F	10195
Calare	5-14	M	10851
Calare	15-19	F	3519
Calare	15-19	M	3587
Calare	20-24	F	1397
Calare	20-24	M	1065
Calare	25+	F	3537
Calare	25+	M	1885
Chifley	0-4	F	1845
Chifley	0-4	M	1988
Chifley	5-14	F	13677
Chifley	5-14	M	14226
Chifley	15-19	F	4679
Chifley	15-19	M	4698
Chifley	20-24	F	2676
Chifley	20-24	M	2558
Chifley	25+	F	4942
Chifley	25+	M	3304
Cook	0-4	F	1322
Cook	0-4	M	1417
Cook	5-14	F	7983
Cook	5-14	M	8628
Cook	15-19	F	3616
Cook	15-19	M	3686
Cook	20-24	F	1839
Cook	20-24	M	1752
Cook	25+	F	2970
Cook	25+	M	1892
Cowper	0-4	F	1228
Cowper	0-4	M	1251
Cowper	5-14	F	9099
Cowper	5-14	M	9238
Cowper	15-19	F	3379
Cowper	15-19	M	3309
Cowper	20-24	F	1316
Cowper	20-24	M	945
Cowper	25+	F	3772
Cowper	25+	M	1925
Cunningham	0-4	F	1450
Cunningham	0-4	M	1478
Cunningham	5-14	F	8613
Cunningham	5-14	M	9092
Cunningham	15-19	F	4019
Cunningham	15-19	M	3904
Cunningham	20-24	F	3328
Cunningham	20-24	M	2980
Cunningham	25+	F	4420
Cunningham	25+	M	3132
Dobell	0-4	F	1542
Dobell	0-4	M	1621
Dobell	5-14	F	9631
Dobell	5-14	M	10263
Dobell	15-19	F	3631
Dobell	15-19	M	3621
Dobell	20-24	F	1573
Dobell	20-24	M	1300
Dobell	25+	F	3493
Dobell	25+	M	1770
Eden-Monaro	0-4	F	1265
Eden-Monaro	0-4	M	1283
Eden-Monaro	5-14	F	8753
Eden-Monaro	5-14	M	9599
Eden-Monaro	15-19	F	3153
Eden-Monaro	15-19	M	3279
Eden-Monaro	20-24	F	1185
Eden-Monaro	20-24	M	975
Eden-Monaro	25+	F	3726
Eden-Monaro	25+	M	2102
Farrer	0-4	F	1407
Farrer	0-4	M	1424
Farrer	5-14	F	9672
Farrer	5-14	M	10150
Farrer	15-19	F	3620
Farrer	15-19	M	3447
Farrer	20-24	F	1290
Farrer	20-24	M	922
Farrer	25+	F	3315
Farrer	25+	M	1612
Fowler	0-4	F	1037
Fowler	0-4	M	1117
Fowler	5-14	F	9207
Fowler	5-14	M	9985
Fowler	15-19	F	4577
Fowler	15-19	M	4366
Fowler	20-24	F	2828
Fowler	20-24	M	2525
Fowler	25+	F	4329
Fowler	25+	M	2945
Gilmore	0-4	F	1151
Gilmore	0-4	M	1362
Gilmore	5-14	F	7958
Gilmore	5-14	M	8313
Gilmore	15-19	F	2810
Gilmore	15-19	M	2896
Gilmore	20-24	F	971
Gilmore	20-24	M	835
Gilmore	25+	F	3062
Gilmore	25+	M	1478
Grayndler	0-4	F	1193
Grayndler	0-4	M	1251
Grayndler	5-14	F	6935
Grayndler	5-14	M	7185
Grayndler	15-19	F	2571
Grayndler	15-19	M	2730
Grayndler	20-24	F	2499
Grayndler	20-24	M	2191
Grayndler	25+	F	5398
Grayndler	25+	M	3900
Greenway	0-4	F	2136
Greenway	0-4	M	2264
Greenway	5-14	F	14081
Greenway	5-14	M	14863
Greenway	15-19	F	4903
Greenway	15-19	M	5044
Greenway	20-24	F	2960
Greenway	20-24	M	2923
Greenway	25+	F	5117
Greenway	25+	M	3539
Hughes	0-4	F	1591
Hughes	0-4	M	1687
Hughes	5-14	F	9872
Hughes	5-14	M	10385
Hughes	15-19	F	4058
Hughes	15-19	M	4212
Hughes	20-24	F	1886
Hughes	20-24	M	1831
Hughes	25+	F	3025
Hughes	25+	M	1877
Hume	0-4	F	1801
Hume	0-4	M	1897
Hume	5-14	F	10977
Hume	5-14	M	11719
Hume	15-19	F	4045
Hume	15-19	M	4073
Hume	20-24	F	1633
Hume	20-24	M	1241
Hume	25+	F	3219
Hume	25+	M	1640
Hunter	0-4	F	1628
Hunter	0-4	M	1628
Hunter	5-14	F	10338
Hunter	5-14	M	10893
Hunter	15-19	F	3513
Hunter	15-19	M	3487
Hunter	20-24	F	1479
Hunter	20-24	M	1226
Hunter	25+	F	3614
Hunter	25+	M	1761
Kingsford Smith	0-4	F	1399
