CED_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
Banks				6658
Banks		0	0	1430
Banks		0	1	126
Banks		1	0	67
Banks		1	1	337
Banks	Australian			336
Banks	Australian		1	19904
Banks	Australian	0	0	2639
Banks	Australian	0	1	4108
Banks	Australian	1	0	3040
Banks	Australian Aboriginal			18
Banks	Australian Aboriginal	0	0	39
Banks	Australian Aboriginal	0	1	151
Banks	Australian Aboriginal	1	0	72
Banks	Australian Aboriginal	1	1	1248
Banks	Chinese			143
Banks	Chinese	0	0	30790
Banks	Chinese	0	1	455
Banks	Chinese	1	0	718
Banks	Chinese	1	1	490
Banks	Croatian			16
Banks	Croatian	0	0	1384
Banks	Croatian	0	1	150
Banks	Croatian	1	0	132
Banks	Croatian	1	1	531
Banks	Dutch			5
Banks	Dutch	0	0	336
Banks	Dutch	0	1	103
Banks	Dutch	1	0	91
Banks	Dutch	1	1	228
Banks	English			254
Banks	English	0	0	6592
Banks	English	0	1	3104
Banks	English	1	0	2074
Banks	English	1	1	18008
Banks	Filipino			13
Banks	Filipino	0	0	3304
Banks	Filipino	0	1	98
Banks	Filipino	1	0	326
Banks	Filipino	1	1	70
Banks	French	0	0	342
Banks	French	0	1	70
Banks	French	1	0	39
Banks	French	1	1	199
Banks	German			16
Banks	German	0	0	873
Banks	German	0	1	236
Banks	German	1	0	148
Banks	German	1	1	1480
Banks	Greek			51
Banks	Greek	0	0	5233
Banks	Greek	0	1	943
Banks	Greek	1	0	485
Banks	Greek	1	1	3084
Banks	Hungarian			6
Banks	Hungarian	0	0	326
Banks	Hungarian	0	1	57
Banks	Hungarian	1	0	32
Banks	Hungarian	1	1	73
Banks	Indian			6
Banks	Indian	0	0	3027
Banks	Indian	0	1	110
Banks	Indian	1	0	99
Banks	Indian	1	1	58
Banks	Irish			67
Banks	Irish	0	0	1459
Banks	Irish	0	1	817
Banks	Irish	1	0	511
Banks	Irish	1	1	7125
Banks	Italian			30
Banks	Italian	0	0	2938
Banks	Italian	0	1	889
Banks	Italian	1	0	428
Banks	Italian	1	1	2408
Banks	Korean	0	0	682
Banks	Korean	0	1	17
Banks	Korean	1	0	58
Banks	Korean	1	1	12
Banks	Lebanese			40
Banks	Lebanese	0	0	5095
Banks	Lebanese	0	1	1070
Banks	Lebanese	1	0	541
Banks	Lebanese	1	1	1326
Banks	Macedonian			13
Banks	Macedonian	0	0	2932
Banks	Macedonian	0	1	399
Banks	Macedonian	1	0	252
Banks	Macedonian	1	1	791
Banks	Maltese			11
Banks	Maltese	0	0	586
Banks	Maltese	0	1	175
Banks	Maltese	1	0	94
Banks	Maltese	1	1	417
Banks	Maori			13
Banks	Maori	0	0	971
Banks	Maori	0	1	151
Banks	Maori	1	0	126
Banks	Maori	1	1	36
Banks	NZ			4
Banks	NZ	0	0	485
Banks	NZ	0	1	203
Banks	NZ	1	0	107
Banks	NZ	1	1	91
Banks	(Other)			161
Banks	(Other)	0	0	24698
Banks	(Other)	0	1	1882
Banks	(Other)	1	0	1518
Banks	(Other)	1	1	2093
Banks	Polish	0	0	553
Banks	Polish	0	1	85
Banks	Polish	1	0	56
Banks	Polish	1	1	162
Banks	Russian	0	0	478
Banks	Russian	0	1	42
Banks	Russian	1	0	30
Banks	Russian	1	1	75
Banks	Samoan			10
Banks	Samoan	0	0	522
Banks	Samoan	0	1	78
Banks	Samoan	1	0	25
Banks	Samoan	1	1	16
Banks	Scottish			50
Banks	Scottish	0	0	1222
Banks	Scottish	0	1	670
Banks	Scottish	1	0	422
Banks	Scottish	1	1	4989
Banks	Serbian	0	0	535
Banks	Serbian	0	1	50
Banks	Serbian	1	0	36
Banks	Serbian	1	1	70
Banks	South African	0	0	349
Banks	South African	0	1	67
