CED_NAME16	Age	IncomeTotPersonal.max	Sex	adults
Banks	15-19		F	212
Banks	15-19		M	211
Banks	15-19	0	F	2195
Banks	15-19	0	M	2611
Banks	15-19	7875	F	766
Banks	15-19	7875	M	598
Banks	15-19	15750	F	479
Banks	15-19	15750	M	448
Banks	15-19	21000	F	240
Banks	15-19	21000	M	182
Banks	15-19	26250	F	180
Banks	15-19	26250	M	152
Banks	15-19	34125	F	128
Banks	15-19	34125	M	239
Banks	15-19	42000	F	105
Banks	15-19	42000	M	158
Banks	15-19	52500	F	52
Banks	15-19	52500	M	79
Banks	15-19	65625	F	21
Banks	15-19	65625	M	45
Banks	15-19	78750	F	7
Banks	15-19	78750	M	10
Banks	15-19	91875	F	5
Banks	15-19	91875	M	11
Banks	15-19	105000	F	3
Banks	15-19	157500	M	9
Banks	20-24		F	276
Banks	20-24		M	350
Banks	20-24	0	F	464
Banks	20-24	0	M	639
Banks	20-24	7875	F	237
Banks	20-24	7875	M	218
Banks	20-24	15750	F	456
Banks	20-24	15750	M	413
Banks	20-24	21000	F	429
Banks	20-24	21000	M	389
Banks	20-24	26250	F	439
Banks	20-24	26250	M	427
Banks	20-24	34125	F	632
Banks	20-24	34125	M	636
Banks	20-24	42000	F	583
Banks	20-24	42000	M	682
Banks	20-24	52500	F	619
Banks	20-24	52500	M	688
Banks	20-24	65625	F	552
Banks	20-24	65625	M	614
Banks	20-24	78750	F	382
Banks	20-24	78750	M	360
Banks	20-24	91875	F	141
Banks	20-24	91875	M	165
Banks	20-24	105000	F	46
Banks	20-24	105000	M	80
Banks	20-24	157500	F	37
Banks	20-24	157500	M	62
Banks	20-24	183750	F	5
Banks	20-24	183750	M	7
Banks	20-24	Inf	F	4
Banks	20-24	Inf	M	3
Banks	25-34		F	689
Banks	25-34		M	736
Banks	25-34	0	F	855
Banks	25-34	0	M	529
Banks	25-34	7875	F	163
Banks	25-34	7875	M	83
Banks	25-34	15750	F	313
Banks	25-34	15750	M	187
Banks	25-34	21000	F	438
Banks	25-34	21000	M	308
Banks	25-34	26250	F	502
Banks	25-34	26250	M	359
Banks	25-34	34125	F	793
Banks	25-34	34125	M	573
Banks	25-34	42000	F	1010
Banks	25-34	42000	M	806
Banks	25-34	52500	F	1203
Banks	25-34	52500	M	1331
Banks	25-34	65625	F	1459
Banks	25-34	65625	M	1644
Banks	25-34	78750	F	1160
Banks	25-34	78750	M	1299
Banks	25-34	91875	F	1030
Banks	25-34	91875	M	1103
Banks	25-34	105000	F	649
Banks	25-34	105000	M	788
Banks	25-34	157500	F	862
Banks	25-34	157500	M	1210
Banks	25-34	183750	F	93
Banks	25-34	183750	M	229
Banks	25-34	Inf	F	91
Banks	25-34	Inf	M	278
Banks	35-44		F	552
Banks	35-44		M	596
Banks	35-44	0	F	1010
Banks	35-44	0	M	358
Banks	35-44	7875	F	228
Banks	35-44	7875	M	46
Banks	35-44	15750	F	385
Banks	35-44	15750	M	139
Banks	35-44	21000	F	503
Banks	35-44	21000	M	268
Banks	35-44	26250	F	506
Banks	35-44	26250	M	257
Banks	35-44	34125	F	731
Banks	35-44	34125	M	332
Banks	35-44	42000	F	900
Banks	35-44	42000	M	515
Banks	35-44	52500	F	975
Banks	35-44	52500	M	816
Banks	35-44	65625	F	1159
Banks	35-44	65625	M	1257
Banks	35-44	78750	F	997
Banks	35-44	78750	M	1006
Banks	35-44	91875	F	876
Banks	35-44	91875	M	979
Banks	35-44	105000	F	754
Banks	35-44	105000	M	854
Banks	35-44	157500	F	1302
Banks	35-44	157500	M	1945
Banks	35-44	183750	F	239
Banks	35-44	183750	M	587
Banks	35-44	Inf	F	337
Banks	35-44	Inf	M	827
Banks	45-54		F	491
Banks	45-54		M	448
Banks	45-54	0	F	921
Banks	45-54	0	M	351
Banks	45-54	7875	F	245
Banks	45-54	7875	M	81
Banks	45-54	15750	F	384
Banks	45-54	15750	M	183
Banks	45-54	21000	F	582
Banks	45-54	21000	M	323
Banks	45-54	26250	F	593
Banks	45-54	26250	M	298
Banks	45-54	34125	F	752
Banks	45-54	34125	M	363
Banks	45-54	42000	F	884
