CED_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Banks		3937	3
Banks		5250	10
Banks		7875	3
Banks		14437	3
Banks		18375	20
Banks		23625	5
Banks		34125	4
Banks	(Other)	52	7
Banks	(Other)	3937	4
Banks	(Other)	5250	12
Banks	(Other)	7875	13
Banks	(Other)	10500	10
Banks	(Other)	11812	48
Banks	(Other)	14437	45
Banks	(Other)	18375	44
Banks	(Other)	23625	54
Banks	(Other)	28875	21
Banks	(Other)	34125	3
Banks	(Other)	39375	8
Banks	(Other)	44625	3
Banks	Co-op/church group etc	52	11
Banks	Co-op/church group etc	3937	20
Banks	Co-op/church group etc	5250	130
Banks	Co-op/church group etc	7875	192
Banks	Co-op/church group etc	10500	64
Banks	Co-op/church group etc	11812	97
Banks	Co-op/church group etc	14437	65
Banks	Co-op/church group etc	18375	83
Banks	Co-op/church group etc	23625	24
Banks	Co-op/church group etc	28875	5
Banks	Person not in same household	52	8
Banks	Person not in same household	3937	8
Banks	Person not in same household	5250	45
Banks	Person not in same household	7875	101
Banks	Person not in same household	10500	85
Banks	Person not in same household	11812	94
Banks	Person not in same household	14437	209
Banks	Person not in same household	18375	453
Banks	Person not in same household	23625	457
Banks	Person not in same household	28875	216
Banks	Person not in same household	34125	95
Banks	Person not in same household	39375	62
Banks	Person not in same household	44625	14
Banks	Person not in same household	49875	30
Banks	Real estate agent	52	16
Banks	Real estate agent	3937	4
Banks	Real estate agent	5250	26
Banks	Real estate agent	7875	37
Banks	Real estate agent	10500	43
Banks	Real estate agent	11812	129
Banks	Real estate agent	14437	722
Banks	Real estate agent	18375	3340
Banks	Real estate agent	23625	3530
Banks	Real estate agent	28875	2066
Banks	Real estate agent	34125	1156
Banks	Real estate agent	39375	456
Banks	Real estate agent	44625	136
Banks	Real estate agent	49875	140
Banks	State or territory housing authority	52	88
Banks	State or territory housing authority	3937	189
Banks	State or territory housing authority	5250	1356
Banks	State or territory housing authority	7875	587
Banks	State or territory housing authority	10500	265
Banks	State or territory housing authority	11812	258
Banks	State or territory housing authority	14437	206
Banks	State or territory housing authority	18375	142
Banks	State or territory housing authority	23625	93
Banks	State or territory housing authority	28875	40
Banks	State or territory housing authority	34125	5
Barton		3937	3
Barton		5250	4
Barton		14437	3
Barton		18375	13
Barton		23625	15
Barton		28875	3
Barton	(Other)	52	4
Barton	(Other)	3937	5
Barton	(Other)	5250	17
Barton	(Other)	7875	25
Barton	(Other)	10500	20
Barton	(Other)	11812	41
Barton	(Other)	14437	44
Barton	(Other)	18375	84
Barton	(Other)	23625	105
Barton	(Other)	28875	60
Barton	(Other)	34125	23
Barton	(Other)	39375	8
Barton	(Other)	49875	7
Barton	Co-op/church group etc	52	17
Barton	Co-op/church group etc	3937	13
Barton	Co-op/church group etc	5250	76
Barton	Co-op/church group etc	7875	123
Barton	Co-op/church group etc	10500	50
Barton	Co-op/church group etc	11812	51
Barton	Co-op/church group etc	14437	46
Barton	Co-op/church group etc	18375	58
Barton	Co-op/church group etc	23625	34
Barton	Co-op/church group etc	28875	8
Barton	Co-op/church group etc	34125	6
Barton	Person not in same household	52	12
Barton	Person not in same household	3937	19
Barton	Person not in same household	5250	68
Barton	Person not in same household	7875	111
Barton	Person not in same household	10500	115
Barton	Person not in same household	11812	169
Barton	Person not in same household	14437	298
Barton	Person not in same household	18375	637
Barton	Person not in same household	23625	658
Barton	Person not in same household	28875	431
Barton	Person not in same household	34125	232
Barton	Person not in same household	39375	97
Barton	Person not in same household	44625	38
Barton	Person not in same household	49875	40
Barton	Real estate agent	52	17
Barton	Real estate agent	3937	6
Barton	Real estate agent	5250	48
Barton	Real estate agent	7875	77
Barton	Real estate agent	10500	93
Barton	Real estate agent	11812	312
Barton	Real estate agent	14437	1113
Barton	Real estate agent	18375	4904
Barton	Real estate agent	23625	6471
Barton	Real estate agent	28875	3765
Barton	Real estate agent	34125	1605
Barton	Real estate agent	39375	588
Barton	Real estate agent	44625	281
Barton	Real estate agent	49875	283
Barton	State or territory housing authority	52	20
Barton	State or territory housing authority	3937	41
Barton	State or territory housing authority	5250	437
Barton	State or territory housing authority	7875	187
Barton	State or territory housing authority	10500	68
Barton	State or territory housing authority	11812	118
Barton	State or territory housing authority	14437	52
Barton	State or territory housing authority	18375	59
Barton	State or territory housing authority	23625	34
Barton	State or territory housing authority	28875	21
Barton	State or territory housing authority	34125	5
Barton	State or territory housing authority	39375	4
Bennelong		7875	6
Bennelong		11812	3
Bennelong		14437	8
Bennelong		18375	12
Bennelong		23625	10
Bennelong		34125	5
Bennelong		44625	4
Bennelong	(Other)	5250	11
Bennelong	(Other)	7875	25
Bennelong	(Other)	10500	27
Bennelong	(Other)	11812	194
Bennelong	(Other)	14437	87
Bennelong	(Other)	18375	94
Bennelong	(Other)	23625	70
Bennelong	(Other)	28875	33
Bennelong	(Other)	34125	26
Bennelong	(Other)	39375	9
Bennelong	(Other)	49875	4
Bennelong	Co-op/church group etc	52	6
Bennelong	Co-op/church group etc	3937	20
Bennelong	Co-op/church group etc	5250	70
Bennelong	Co-op/church group etc	7875	201
Bennelong	Co-op/church group etc	10500	70
Bennelong	Co-op/church group etc	11812	109
Bennelong	Co-op/church group etc	14437	70
Bennelong	Co-op/church group etc	18375	70
Bennelong	Co-op/church group etc	23625	40
Bennelong	Co-op/church group etc	28875	13
Bennelong	Co-op/church group etc	34125	8
Bennelong	Co-op/church group etc	39375	3
Bennelong	Person not in same household	52	9
Bennelong	Person not in same household	3937	4
Bennelong	Person not in same household	5250	51
Bennelong	Person not in same household	7875	137
Bennelong	Person not in same household	10500	118
Bennelong	Person not in same household	11812	154
Bennelong	Person not in same household	14437	261
Bennelong	Person not in same household	18375	641
Bennelong	Person not in same household	23625	640
Bennelong	Person not in same household	28875	377
Bennelong	Person not in same household	34125	225
Bennelong	Person not in same household	39375	115
Bennelong	Person not in same household	44625	57
Bennelong	Person not in same household	49875	84
Bennelong	Real estate agent	52	18
Bennelong	Real estate agent	5250	41
Bennelong	Real estate agent	7875	79
Bennelong	Real estate agent	10500	83
Bennelong	Real estate agent	11812	233
Bennelong	Real estate agent	14437	1485
Bennelong	Real estate agent	18375	5567
Bennelong	Real estate agent	23625	6213
Bennelong	Real estate agent	28875	4338
Bennelong	Real estate agent	34125	1816
Bennelong	Real estate agent	39375	871
Bennelong	Real estate agent	44625	467
Bennelong	Real estate agent	49875	525
Bennelong	State or territory housing authority	52	57
Bennelong	State or territory housing authority	3937	63
Bennelong	State or territory housing authority	5250	388
Bennelong	State or territory housing authority	7875	358
Bennelong	State or territory housing authority	10500	147
Bennelong	State or territory housing authority	11812	164
Bennelong	State or territory housing authority	14437	114
Bennelong	State or territory housing authority	18375	94
Bennelong	State or territory housing authority	23625	73
Bennelong	State or territory housing authority	28875	24
Bennelong	State or territory housing authority	34125	5
Bennelong	State or territory housing authority	44625	3
Berowra		10500	6
Berowra		11812	6
Berowra		18375	6
Berowra		23625	4
Berowra		28875	4
Berowra	(Other)	52	6
Berowra	(Other)	5250	15
Berowra	(Other)	7875	11
Berowra	(Other)	10500	10
Berowra	(Other)	11812	24
Berowra	(Other)	14437	27
Berowra	(Other)	18375	26
Berowra	(Other)	23625	19
Berowra	(Other)	28875	11
Berowra	(Other)	34125	6
Berowra	(Other)	39375	4
Berowra	(Other)	49875	9
Berowra	Co-op/church group etc	52	6
Berowra	Co-op/church group etc	3937	10
Berowra	Co-op/church group etc	5250	51
Berowra	Co-op/church group etc	7875	52
Berowra	Co-op/church group etc	10500	34
Berowra	Co-op/church group etc	11812	68
Berowra	Co-op/church group etc	14437	32
Berowra	Co-op/church group etc	18375	56
Berowra	Co-op/church group etc	23625	23
Berowra	Co-op/church group etc	28875	3
Berowra	Person not in same household	52	9
Berowra	Person not in same household	3937	9
Berowra	Person not in same household	5250	29
Berowra	Person not in same household	7875	33
Berowra	Person not in same household	10500	53
Berowra	Person not in same household	11812	80
Berowra	Person not in same household	14437	161
Berowra	Person not in same household	18375	227
Berowra	Person not in same household	23625	226
Berowra	Person not in same household	28875	182
Berowra	Person not in same household	34125	141
Berowra	Person not in same household	39375	55
Berowra	Person not in same household	44625	46
Berowra	Person not in same household	49875	51
Berowra	Real estate agent	5250	4
Berowra	Real estate agent	7875	12
Berowra	Real estate agent	10500	13
Berowra	Real estate agent	11812	59
Berowra	Real estate agent	14437	195
Berowra	Real estate agent	18375	778
Berowra	Real estate agent	23625	1230
Berowra	Real estate agent	28875	1173
Berowra	Real estate agent	34125	1015
Berowra	Real estate agent	39375	620
Berowra	Real estate agent	44625	339
Berowra	Real estate agent	49875	289
Berowra	State or territory housing authority	52	7
Berowra	State or territory housing authority	3937	8
Berowra	State or territory housing authority	5250	41
Berowra	State or territory housing authority	7875	68
Berowra	State or territory housing authority	10500	18
Berowra	State or territory housing authority	11812	30
Berowra	State or territory housing authority	14437	29
Berowra	State or territory housing authority	18375	34
Berowra	State or territory housing authority	23625	6
Berowra	State or territory housing authority	28875	8
Blaxland		5250	11
Blaxland		7875	6
Blaxland		11812	5
Blaxland		14437	10
Blaxland		18375	10
Blaxland		23625	17
Blaxland		28875	9
Blaxland		34125	4
Blaxland	(Other)	52	6
Blaxland	(Other)	3937	3
Blaxland	(Other)	5250	28
Blaxland	(Other)	7875	41
Blaxland	(Other)	10500	28
Blaxland	(Other)	11812	41
Blaxland	(Other)	14437	102
Blaxland	(Other)	18375	218
Blaxland	(Other)	23625	273
Blaxland	(Other)	28875	104
Blaxland	(Other)	34125	27
Blaxland	(Other)	39375	13
Blaxland	(Other)	49875	8
Blaxland	Co-op/church group etc	52	20
Blaxland	Co-op/church group etc	3937	40
Blaxland	Co-op/church group etc	5250	121
Blaxland	Co-op/church group etc	7875	170
Blaxland	Co-op/church group etc	10500	63
Blaxland	Co-op/church group etc	11812	117
Blaxland	Co-op/church group etc	14437	133
Blaxland	Co-op/church group etc	18375	145
Blaxland	Co-op/church group etc	23625	44
Blaxland	Co-op/church group etc	28875	23
Blaxland	Co-op/church group etc	34125	7
Blaxland	Person not in same household	52	12
Blaxland	Person not in same household	3937	5
Blaxland	Person not in same household	5250	64
Blaxland	Person not in same household	7875	128
Blaxland	Person not in same household	10500	147
Blaxland	Person not in same household	11812	148
Blaxland	Person not in same household	14437	316
Blaxland	Person not in same household	18375	854
Blaxland	Person not in same household	23625	728
Blaxland	Person not in same household	28875	286
Blaxland	Person not in same household	34125	114
Blaxland	Person not in same household	39375	48
Blaxland	Person not in same household	44625	13
Blaxland	Person not in same household	49875	23
Blaxland	Real estate agent	52	19
Blaxland	Real estate agent	3937	6
Blaxland	Real estate agent	5250	69
Blaxland	Real estate agent	7875	74
Blaxland	Real estate agent	10500	109
Blaxland	Real estate agent	11812	311
Blaxland	Real estate agent	14437	1201
Blaxland	Real estate agent	18375	4551
Blaxland	Real estate agent	23625	4007
Blaxland	Real estate agent	28875	1757
Blaxland	Real estate agent	34125	670
Blaxland	Real estate agent	39375	244
Blaxland	Real estate agent	44625	69
Blaxland	Real estate agent	49875	60
Blaxland	State or territory housing authority	52	119
Blaxland	State or territory housing authority	3937	314
Blaxland	State or territory housing authority	5250	1330
Blaxland	State or territory housing authority	7875	723
Blaxland	State or territory housing authority	10500	307
Blaxland	State or territory housing authority	11812	373
Blaxland	State or territory housing authority	14437	211
Blaxland	State or territory housing authority	18375	221
Blaxland	State or territory housing authority	23625	129
Blaxland	State or territory housing authority	28875	27
Blaxland	State or territory housing authority	44625	3
Bradfield		7875	3
Bradfield		10500	7
Bradfield		11812	7
Bradfield		14437	5
Bradfield		18375	11
Bradfield		23625	5
Bradfield		34125	4
Bradfield		39375	5
Bradfield		49875	6
Bradfield	(Other)	5250	3
Bradfield	(Other)	7875	7
Bradfield	(Other)	10500	3
Bradfield	(Other)	11812	20
Bradfield	(Other)	14437	22
Bradfield	(Other)	18375	50
Bradfield	(Other)	23625	43
Bradfield	(Other)	28875	28
Bradfield	(Other)	34125	18
Bradfield	(Other)	39375	5
Bradfield	(Other)	44625	5
Bradfield	(Other)	49875	16
Bradfield	Co-op/church group etc	52	8
Bradfield	Co-op/church group etc	3937	13
Bradfield	Co-op/church group etc	5250	32
Bradfield	Co-op/church group etc	7875	66
Bradfield	Co-op/church group etc	10500	23
Bradfield	Co-op/church group etc	11812	37
Bradfield	Co-op/church group etc	14437	28
Bradfield	Co-op/church group etc	18375	34
Bradfield	Co-op/church group etc	23625	12
Bradfield	Co-op/church group etc	28875	6
Bradfield	Co-op/church group etc	44625	3
Bradfield	Person not in same household	52	4
Bradfield	Person not in same household	3937	3
Bradfield	Person not in same household	5250	28
Bradfield	Person not in same household	7875	45
Bradfield	Person not in same household	10500	63
Bradfield	Person not in same household	11812	73
Bradfield	Person not in same household	14437	123
Bradfield	Person not in same household	18375	256
Bradfield	Person not in same household	23625	341
Bradfield	Person not in same household	28875	234
Bradfield	Person not in same household	34125	173
Bradfield	Person not in same household	39375	85
Bradfield	Person not in same household	44625	79
Bradfield	Person not in same household	49875	248
Bradfield	Real estate agent	52	16
Bradfield	Real estate agent	5250	16
Bradfield	Real estate agent	7875	14
Bradfield	Real estate agent	10500	22
Bradfield	Real estate agent	11812	54
Bradfield	Real estate agent	14437	218
Bradfield	Real estate agent	18375	2097
Bradfield	Real estate agent	23625	3144
Bradfield	Real estate agent	28875	2261
Bradfield	Real estate agent	34125	1122
Bradfield	Real estate agent	39375	843
Bradfield	Real estate agent	44625	691
Bradfield	Real estate agent	49875	1891
Bradfield	State or territory housing authority	52	3
Bradfield	State or territory housing authority	3937	14
Bradfield	State or territory housing authority	5250	44
Bradfield	State or territory housing authority	7875	69
Bradfield	State or territory housing authority	10500	26
Bradfield	State or territory housing authority	11812	21
Bradfield	State or territory housing authority	14437	17
Bradfield	State or territory housing authority	18375	24
Bradfield	State or territory housing authority	23625	19
Bradfield	State or territory housing authority	28875	8
Calare		5250	7
Calare		7875	7
Calare		10500	7
Calare		11812	9
Calare		14437	11
Calare		18375	13
Calare	(Other)	52	46
Calare	(Other)	3937	13
Calare	(Other)	5250	41
Calare	(Other)	7875	52
Calare	(Other)	10500	35
Calare	(Other)	11812	44
Calare	(Other)	14437	78
Calare	(Other)	18375	46
Calare	(Other)	23625	20
Calare	(Other)	28875	4
Calare	(Other)	49875	3
Calare	Co-op/church group etc	52	18
Calare	Co-op/church group etc	3937	28
Calare	Co-op/church group etc	5250	114
Calare	Co-op/church group etc	7875	124
Calare	Co-op/church group etc	10500	59
Calare	Co-op/church group etc	11812	56
Calare	Co-op/church group etc	14437	55
Calare	Co-op/church group etc	18375	19
Calare	Co-op/church group etc	23625	3
Calare	Co-op/church group etc	28875	3
Calare	Person not in same household	52	40
Calare	Person not in same household	3937	22
Calare	Person not in same household	5250	193
Calare	Person not in same household	7875	295
Calare	Person not in same household	10500	371
Calare	Person not in same household	11812	490
Calare	Person not in same household	14437	672
Calare	Person not in same household	18375	482
Calare	Person not in same household	23625	146
Calare	Person not in same household	28875	38
Calare	Person not in same household	34125	12
Calare	Person not in same household	39375	11
Calare	Person not in same household	49875	12
Calare	Real estate agent	52	12
Calare	Real estate agent	3937	12
Calare	Real estate agent	5250	133
Calare	Real estate agent	7875	443
Calare	Real estate agent	10500	543
Calare	Real estate agent	11812	1417
Calare	Real estate agent	14437	2984
Calare	Real estate agent	18375	3384
Calare	Real estate agent	23625	1417
Calare	Real estate agent	28875	242
Calare	Real estate agent	34125	39
Calare	Real estate agent	39375	5
Calare	Real estate agent	44625	6
Calare	Real estate agent	49875	20
Calare	State or territory housing authority	52	57
Calare	State or territory housing authority	3937	112
Calare	State or territory housing authority	5250	595
Calare	State or territory housing authority	7875	408
Calare	State or territory housing authority	10500	187
Calare	State or territory housing authority	11812	209
Calare	State or territory housing authority	14437	224
Calare	State or territory housing authority	18375	61
Calare	State or territory housing authority	23625	10
Chifley		3937	5
Chifley		5250	11
Chifley		7875	6
Chifley		10500	3
Chifley		11812	9
Chifley		14437	11
Chifley		18375	26
Chifley		23625	13
Chifley		28875	3
Chifley		39375	3
Chifley	(Other)	3937	8
Chifley	(Other)	5250	14
Chifley	(Other)	7875	25
Chifley	(Other)	10500	9
Chifley	(Other)	11812	40
