CED_NAME16	Age	persons
Banks	0-4	8868
Banks	5-14	18924
Banks	15-19	9139
Banks	20-24	11023
Banks	25-34	22767
Banks	35-44	22229
Banks	45-54	20812
Banks	55-64	20615
Banks	65-74	15152
Banks	75-84	8857
Banks	85+	4515
Barton	0-4	9848
Barton	5-14	17651
Barton	15-19	8255
Barton	20-24	13703
Barton	25-34	35274
Barton	35-44	27276
Barton	45-54	21959
Barton	55-64	19253
Barton	65-74	14612
Barton	75-84	9357
Barton	85+	4459
Bennelong	0-4	10569
Bennelong	5-14	22066
Bennelong	15-19	9295
Bennelong	20-24	12422
Bennelong	25-34	32784
Bennelong	35-44	31319
Bennelong	45-54	22907
Bennelong	55-64	21079
Bennelong	65-74	15766
Bennelong	75-84	8557
Bennelong	85+	4449
Berowra	0-4	7012
Berowra	5-14	21749
Berowra	15-19	10623
Berowra	20-24	8767
Berowra	25-34	12432
Berowra	35-44	19980
Berowra	45-54	22631
Berowra	55-64	20148
Berowra	65-74	15702
Berowra	75-84	9461
Berowra	85+	4070
Blaxland	0-4	13322
Blaxland	5-14	25283
Blaxland	15-19	11724
Blaxland	20-24	15369
Blaxland	25-34	31675
Blaxland	35-44	24842
Blaxland	45-54	21465
Blaxland	55-64	20086
Blaxland	65-74	13887
Blaxland	75-84	7429
Blaxland	85+	3523
Bradfield	0-4	8228
Bradfield	5-14	24142
Bradfield	15-19	11279
Bradfield	20-24	9400
Bradfield	25-34	15818
Bradfield	35-44	24709
Bradfield	45-54	24628
Bradfield	55-64	19602
Bradfield	65-74	15435
Bradfield	75-84	10492
Bradfield	85+	5448
Calare	0-4	10004
Calare	5-14	22924
Calare	15-19	10167
Calare	20-24	9063
Calare	25-34	20457
Calare	35-44	19654
Calare	45-54	21049
Calare	55-64	21909
Calare	65-74	19023
Calare	75-84	10926
Calare	85+	4049
Chifley	0-4	15819
Chifley	5-14	30886
Chifley	15-19	12586
Chifley	20-24	13850
Chifley	25-34	30830
Chifley	35-44	31791
Chifley	45-54	23248
Chifley	55-64	19794
Chifley	65-74	14213
Chifley	75-84	6589
Chifley	85+	2464
Cook	0-4	8231
Cook	5-14	17406
Cook	15-19	8537
Cook	20-24	8298
Cook	25-34	18049
Cook	35-44	19311
Cook	45-54	20639
Cook	55-64	18747
Cook	65-74	15129
Cook	75-84	10008
Cook	85+	5094
Cowper	0-4	8104
Cowper	5-14	20031
Cowper	15-19	9679
Cowper	20-24	7729
Cowper	25-34	16670
Cowper	35-44	17863
Cowper	45-54	20566
Cowper	55-64	24368
Cowper	65-74	24373
Cowper	75-84	14808
Cowper	85+	6018
Cunningham	0-4	8770
Cunningham	5-14	18672
Cunningham	15-19	9767
Cunningham	20-24	12639
Cunningham	25-34	21802
Cunningham	35-44	20029
Cunningham	45-54	20382
Cunningham	55-64	19750
Cunningham	65-74	15558
Cunningham	75-84	9837
Cunningham	85+	4479
Dobell	0-4	9752
Dobell	5-14	21227
Dobell	15-19	10033
Dobell	20-24	9114
Dobell	25-34	19020
Dobell	35-44	19708
Dobell	45-54	20457
Dobell	55-64	19907
Dobell	65-74	17745
Dobell	75-84	10959
Dobell	85+	4801
Eden-Monaro	0-4	8838
Eden-Monaro	5-14	19741
Eden-Monaro	15-19	8718
Eden-Monaro	20-24	7493
Eden-Monaro	25-34	18847
Eden-Monaro	35-44	19388
Eden-Monaro	45-54	22010
Eden-Monaro	55-64	23536
Eden-Monaro	65-74	19654
Eden-Monaro	75-84	9855
Eden-Monaro	85+	3452
Farrer	0-4	10242
Farrer	5-14	21862
Farrer	15-19	10298
Farrer	20-24	8948
Farrer	25-34	20376
Farrer	35-44	19463
Farrer	45-54	20990
Farrer	55-64	23306
Farrer	65-74	20824
Farrer	75-84	12114
Farrer	85+	4701
Fowler	0-4	9738
Fowler	5-14	21319
Fowler	15-19	11236
Fowler	20-24	12460
Fowler	25-34	24843
Fowler	35-44	22062
Fowler	45-54	22132
Fowler	55-64	22246
Fowler	65-74	16092
Fowler	75-84	7871
Fowler	85+	3531
Gilmore	0-4	7903
Gilmore	5-14	17779
Gilmore	15-19	8273
Gilmore	20-24	6842
Gilmore	25-34	15593
Gilmore	35-44	16466
Gilmore	45-54	18925
Gilmore	55-64	24979
Gilmore	65-74	26616
Gilmore	75-84	14966
Gilmore	85+	5405
Grayndler	0-4	7687
Grayndler	5-14	14683
Grayndler	15-19	6069
Grayndler	20-24	9095
Grayndler	25-34	29123
Grayndler	35-44	25666
Grayndler	45-54	21719
Grayndler	55-64	16191
Grayndler	65-74	11617
Grayndler	75-84	6214
Grayndler	85+	2659
Greenway	0-4	14626
Greenway	5-14	30554
Greenway	15-19	11895
Greenway	20-24	12810
Greenway	25-34	29697
Greenway	35-44	37663
Greenway	45-54	24846
Greenway	55-64	18229
Greenway	65-74	13110
Greenway	75-84	6111
Greenway	85+	1995
Hughes	0-4	9266
Hughes	5-14	20930
Hughes	15-19	9699
Hughes	20-24	8704
Hughes	25-34	16829
Hughes	35-44	21063
Hughes	45-54	21011
Hughes	55-64	17935
Hughes	65-74	13793
Hughes	75-84	7886
Hughes	85+	3181
Hume	0-4	11854
Hume	5-14	24129
Hume	15-19	10914
Hume	20-24	9573
Hume	25-34	21582
Hume	35-44	21855
Hume	45-54	22428
Hume	55-64	20748
Hume	65-74	17034
Hume	75-84	8874
Hume	85+	3108
Hunter	0-4	10562
Hunter	5-14	22564
Hunter	15-19	10422
Hunter	20-24	9941
Hunter	25-34	22251
Hunter	35-44	21046
Hunter	45-54	21516
Hunter	55-64	21629
Hunter	65-74	19128
Hunter	75-84	10968
Hunter	85+	4383
Kingsford Smith	0-4	9558
Kingsford Smith	5-14	17842
Kingsford Smith	15-19	8753
Kingsford Smith	20-24	14389
Kingsford Smith	25-34	36721
Kingsford Smith	35-44	27612
Kingsford Smith	45-54	22576
Kingsford Smith	55-64	18246
Kingsford Smith	65-74	13670
Kingsford Smith	75-84	8778
Kingsford Smith	85+	3791
Lindsay	0-4	13743
Lindsay	5-14	26393
Lindsay	15-19	11509
Lindsay	20-24	12890
Lindsay	25-34	28860
Lindsay	35-44	27817
Lindsay	45-54	23115
Lindsay	55-64	19113
Lindsay	65-74	14685
Lindsay	75-84	7278
Lindsay	85+	2446
Lyne	0-4	6844
Lyne	5-14	17928
Lyne	15-19	8337
Lyne	20-24	5989
Lyne	25-34	12603
Lyne	35-44	14663
Lyne	45-54	18632
Lyne	55-64	24506
Lyne	65-74	26639
Lyne	75-84	15676
Lyne	85+	5529
Macarthur	0-4	17040
Macarthur	5-14	30837
Macarthur	15-19	12600
Macarthur	20-24	12938
Macarthur	25-34	32135
Macarthur	35-44	31773
Macarthur	45-54	23413
Macarthur	55-64	20815
Macarthur	65-74	15452
Macarthur	75-84	6723
Macarthur	85+	1764
Mackellar	0-4	8055
Mackellar	5-14	20211
Mackellar	15-19	9840
Mackellar	20-24	8252
Mackellar	25-34	14602
Mackellar	35-44	19477
Mackellar	45-54	23204
Mackellar	55-64	19874
Mackellar	65-74	15853
Mackellar	75-84	11157
Mackellar	85+	4854
Macquarie	0-4	8035
Macquarie	5-14	18446
Macquarie	15-19	9058
Macquarie	20-24	7669
Macquarie	25-34	15957
Macquarie	35-44	17502
Macquarie	45-54	20142
Macquarie	55-64	19851
Macquarie	65-74	16878
Macquarie	75-84	8817
Macquarie	85+	2981
McMahon	0-4	11486
McMahon	5-14	24198
McMahon	15-19	11462
McMahon	20-24	11602
McMahon	25-34	24808
McMahon	35-44	23745
McMahon	45-54	21659
McMahon	55-64	20657
McMahon	65-74	15028
McMahon	75-84	7987
McMahon	85+	3016
Mitchell	0-4	11482
Mitchell	5-14	29213
Mitchell	15-19	12409
Mitchell	20-24	10772
Mitchell	25-34	19730
Mitchell	35-44	31629
Mitchell	45-54	26366
Mitchell	55-64	19508
Mitchell	65-74	15586
Mitchell	75-84	8628
Mitchell	85+	2888
New England	0-4	8759
New England	5-14	20795
New England	15-19	10205
New England	20-24	8576
New England	25-34	18332
New England	35-44	17346
New England	45-54	18887
New England	55-64	20989
New England	65-74	19028
New England	75-84	11547
New England	85+	4170
Newcastle	0-4	8693
Newcastle	5-14	18465
Newcastle	15-19	9686
Newcastle	20-24	14233
Newcastle	25-34	26362
Newcastle	35-44	21715
Newcastle	45-54	20481
Newcastle	55-64	19021
Newcastle	65-74	14886
Newcastle	75-84	8421
Newcastle	85+	4195
North Sydney	0-4	8856
North Sydney	5-14	18836
North Sydney	15-19	8001
North Sydney	20-24	8384
North Sydney	25-34	26637
North Sydney	35-44	28485
North Sydney	45-54	22770
North Sydney	55-64	18016
North Sydney	65-74	14675
North Sydney	75-84	8564
North Sydney	85+	3978
Page	0-4	8258
Page	5-14	20556
Page	15-19	9286
Page	20-24	7703
Page	25-34	16948
Page	35-44	18220
Page	45-54	21285
Page	55-64	25491
Page	65-74	23867
Page	75-84	12398
Page	85+	4765
Parkes	0-4	10186
Parkes	5-14	21158
Parkes	15-19	8622
Parkes	20-24	8098
Parkes	25-34	20378
Parkes	35-44	17408
Parkes	45-54	18177
Parkes	55-64	20522
Parkes	65-74	16652
Parkes	75-84	9984
Parkes	85+	3784
Parramatta	0-4	13866
Parramatta	5-14	24586
Parramatta	15-19	9165
Parramatta	20-24	14787
Parramatta	25-34	41351
Parramatta	35-44	35876
Parramatta	45-54	21774
Parramatta	55-64	18912
Parramatta	65-74	13183
Parramatta	75-84	7022
Parramatta	85+	2750
Paterson	0-4	10744
Paterson	5-14	23388
Paterson	15-19	10202
