CED_NAME21	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Banks					860
Banks	0	0	0	1	3318
Banks	0	0	1	0	758
Banks	0	0	1	1	397
Banks	0	1	0	0	1858
Banks	0	1	0	1	161
Banks	0	1	1	0	418
Banks	0	1	1	1	76
Banks	1	0	0	1	4759
Banks	1	0	1	0	2203
Banks	1	0	1	1	1399
Banks	1	1	0	0	10638
Banks	1	1	0	1	416
Banks	1	1	1	0	1949
Banks	1	1	1	1	305
Barton					1200
Barton	0	0	0	1	3461
Barton	0	0	1	0	871
Barton	0	0	1	1	344
Barton	0	1	0	0	2049
Barton	0	1	0	1	162
Barton	0	1	1	0	370
Barton	0	1	1	1	81
Barton	1	0	0	1	4623
Barton	1	0	1	0	1857
Barton	1	0	1	1	1163
Barton	1	1	0	0	11372
Barton	1	1	0	1	358
Barton	1	1	1	0	1724
Barton	1	1	1	1	306
Bennelong					985
Bennelong	0	0	0	1	2692
Bennelong	0	0	1	0	967
Bennelong	0	0	1	1	297
Bennelong	0	1	0	0	2022
Bennelong	0	1	0	1	93
Bennelong	0	1	1	0	384
Bennelong	0	1	1	1	32
Bennelong	1	0	0	1	4391
Bennelong	1	0	1	0	2768
Bennelong	1	0	1	1	1351
Bennelong	1	1	0	0	14648
Bennelong	1	1	0	1	268
Bennelong	1	1	1	0	2204
Bennelong	1	1	1	1	171
Berowra					327
Berowra	0	0	0	1	1888
Berowra	0	0	1	0	621
Berowra	0	0	1	1	301
Berowra	0	1	0	0	1230
Berowra	0	1	0	1	88
Berowra	0	1	1	0	317
Berowra	0	1	1	1	51
Berowra	1	0	0	1	4865
Berowra	1	0	1	0	2947
Berowra	1	0	1	1	1714
Berowra	1	1	0	0	11111
Berowra	1	1	0	1	347
Berowra	1	1	1	0	2788
Berowra	1	1	1	1	312
Blaxland					1082
Blaxland	0	0	0	1	3636
Blaxland	0	0	1	0	804
Blaxland	0	0	1	1	482
Blaxland	0	1	0	0	2468
Blaxland	0	1	0	1	320
Blaxland	0	1	1	0	607
Blaxland	0	1	1	1	215
Blaxland	1	0	0	1	4861
Blaxland	1	0	1	0	1671
Blaxland	1	0	1	1	1512
Blaxland	1	1	0	0	11065
