CED_NAME21	Age	Sex	persons
Banks	0-4	F	4196
Banks	0-4	M	4673
Banks	5-14	F	9222
Banks	5-14	M	9699
Banks	15-19	F	4391
Banks	15-19	M	4748
Banks	20-24	F	5304
Banks	20-24	M	5722
Banks	25-34	F	11309
Banks	25-34	M	11459
Banks	35-44	F	11446
Banks	35-44	M	10778
Banks	45-54	F	10912
Banks	45-54	M	9903
Banks	55-64	F	10613
Banks	55-64	M	10000
Banks	65-74	F	7934
Banks	65-74	M	7221
Banks	75-84	F	4901
Banks	75-84	M	3956
Banks	85+	F	2801
Banks	85+	M	1708
Barton	0-4	F	4725
Barton	0-4	M	5116
Barton	5-14	F	8572
Barton	5-14	M	9074
Barton	15-19	F	3875
Barton	15-19	M	4379
Barton	20-24	F	6453
Barton	20-24	M	7254
Barton	25-34	F	17474
Barton	25-34	M	17800
Barton	35-44	F	13496
Barton	35-44	M	13783
Barton	45-54	F	11368
Barton	45-54	M	10595
Barton	55-64	F	9928
Barton	55-64	M	9324
Barton	65-74	F	7618
Barton	65-74	M	6993
Barton	75-84	F	5043
Barton	75-84	M	4312
Barton	85+	F	2581
Barton	85+	M	1877
Bennelong	0-4	F	5160
Bennelong	0-4	M	5407
Bennelong	5-14	F	10682
Bennelong	5-14	M	11387
Bennelong	15-19	F	4479
Bennelong	15-19	M	4820
Bennelong	20-24	F	6060
Bennelong	20-24	M	6369
Bennelong	25-34	F	16760
Bennelong	25-34	M	16022
Bennelong	35-44	F	15883
Bennelong	35-44	M	15438
Bennelong	45-54	F	11904
Bennelong	45-54	M	11005
Bennelong	55-64	F	11054
Bennelong	55-64	M	10025
Bennelong	65-74	F	8296
Bennelong	65-74	M	7472
Bennelong	75-84	F	4725
Bennelong	75-84	M	3832
Bennelong	85+	F	2710
Bennelong	85+	M	1736
Berowra	0-4	F	3436
Berowra	0-4	M	3577
Berowra	5-14	F	10329
Berowra	5-14	M	11415
Berowra	15-19	F	5080
Berowra	15-19	M	5546
Berowra	20-24	F	4109
Berowra	20-24	M	4655
Berowra	25-34	F	6248
Berowra	25-34	M	6187
