CED_NAME16	Age.min	Sex	persons
Banks	0	F	811
Banks	0	M	891
Banks	1	F	800
Banks	1	M	954
Banks	2	F	885
Banks	2	M	945
Banks	3	F	830
Banks	3	M	935
Banks	4	F	873
Banks	4	M	945
Banks	5	F	912
Banks	5	M	1026
Banks	6	F	919
Banks	6	M	908
Banks	7	F	874
Banks	7	M	1059
Banks	8	F	920
Banks	8	M	961
Banks	9	F	1000
Banks	9	M	1008
Banks	10	F	898
Banks	10	M	978
Banks	11	F	919
Banks	11	M	955
Banks	12	F	915
Banks	12	M	925
Banks	13	F	975
Banks	13	M	936
Banks	14	F	893
Banks	14	M	946
Banks	15	F	808
Banks	15	M	937
Banks	16	F	889
Banks	16	M	959
Banks	17	F	956
Banks	17	M	914
Banks	18	F	856
Banks	18	M	968
Banks	19	F	877
Banks	19	M	963
Banks	20	F	958
Banks	20	M	1086
Banks	21	F	1050
Banks	21	M	1147
Banks	22	F	1125
Banks	22	M	1237
Banks	23	F	1072
Banks	23	M	1129
Banks	24	F	1093
Banks	24	M	1128
Banks	25	F	1122
Banks	25	M	1168
Banks	26	F	1062
Banks	26	M	1177
Banks	27	F	1093
Banks	27	M	1184
Banks	28	F	1112
Banks	28	M	1178
Banks	29	F	1135
Banks	29	M	1097
Banks	30	F	1135
Banks	30	M	1110
Banks	31	F	1217
Banks	31	M	1174
Banks	32	F	1155
Banks	32	M	1153
Banks	33	F	1135
Banks	33	M	1092
Banks	34	F	1140
Banks	34	M	1115
Banks	35	F	1154
Banks	35	M	1136
Banks	36	F	1208
Banks	36	M	1154
Banks	37	F	1205
Banks	37	M	1157
Banks	38	F	1237
Banks	38	M	1144
Banks	39	F	1162
Banks	39	M	1144
Banks	40	F	1177
Banks	40	M	1061
Banks	41	F	1069
Banks	41	M	1017
Banks	42	F	1068
Banks	42	M	1006
Banks	43	F	1050
Banks	43	M	944
Banks	44	F	1113
Banks	44	M	1014
Banks	45	F	1021
Banks	45	M	961
Banks	46	F	1102
Banks	46	M	1025
Banks	47	F	1094
Banks	47	M	1000
Banks	48	F	1142
Banks	48	M	986
Banks	49	F	1177
Banks	49	M	1077
Banks	50	F	1127
Banks	50	M	1017
Banks	51	F	1042
Banks	51	M	986
Banks	52	F	1074
Banks	52	M	941
Banks	53	F	1129
Banks	53	M	1015
Banks	54	F	998
Banks	54	M	906
Banks	55	F	1030
Banks	55	M	989
Banks	56	F	1077
Banks	56	M	1013
Banks	57	F	1118
Banks	57	M	1053
Banks	58	F	1094
Banks	58	M	1068
Banks	59	F	1099
Banks	59	M	1051
Banks	60	F	1127
Banks	60	M	1086
Banks	61	F	1048
Banks	61	M	983
Banks	62	F	946
Banks	62	M	877
Banks	63	F	1051
Banks	63	M	981
Banks	64	F	1029
Banks	64	M	920
Banks	65	F	929
Banks	65	M	851
Banks	66	F	904
Banks	66	M	882
Banks	67	F	843
Banks	67	M	763
Banks	68	F	847
Banks	68	M	774
Banks	69	F	754
Banks	69	M	655
Banks	70	F	737
Banks	70	M	721
Banks	71	F	766
Banks	71	M	695
Banks	72	F	748
Banks	72	M	634
Banks	73	F	717
Banks	73	M	647
Banks	74	F	679
Banks	74	M	599
Banks	75	F	638
Banks	75	M	522
Banks	76	F	562
Banks	76	M	518
Banks	77	F	543
Banks	77	M	500
Banks	78	F	491
Banks	78	M	427
Banks	79	F	461
Banks	79	M	381
Banks	80	F	2204
Banks	80	M	1614
Banks	85	F	1590
Banks	90	M	492
Banks	95	F	268
Banks	95	M	101
Banks	100	F	47
Banks	100	M	10
Barton	0	F	962
Barton	0	M	1089
Barton	1	F	970
Barton	1	M	1014
Barton	2	F	902
Barton	2	M	999
Barton	3	F	938
Barton	3	M	1001
Barton	4	F	956
Barton	4	M	1004
Barton	5	F	938
Barton	5	M	932
Barton	6	F	835
Barton	6	M	940
Barton	7	F	857
Barton	7	M	945
Barton	8	F	840
Barton	8	M	880
Barton	9	F	891
Barton	9	M	968
Barton	10	F	828
Barton	10	M	883
Barton	11	F	841
Barton	11	M	893
Barton	12	F	902
Barton	12	M	861
