CED_NAME21	AustCitizen	persons
Banks	0	30017
Banks	1	132876
Barton	0	46723
Barton	1	134920
Bennelong	0	48713
Bennelong	1	142506
Berowra	0	18676
Berowra	1	133895
Blaxland	0	48960
Blaxland	1	139647
Bradfield	0	32120
Bradfield	1	137062
Calare	0	18918
Calare	1	150314
Chifley	0	42241
Chifley	1	159822
Cook	0	14964
Cook	1	134486
Cowper	0	18678
Cowper	1	151527
Cunningham	0	19399
Cunningham	1	142277
Dobell	0	15888
Dobell	1	146834
Eden-Monaro	0	17167
Eden-Monaro	1	144363
Farrer	0	23273
Farrer	1	149843
Fowler	0	37862
Fowler	1	135661
Gilmore	0	16474
Gilmore	1	147269
Grayndler	0	23725
Grayndler	1	127004
Greenway	0	41685
Greenway	1	159857
Hughes	0	12078
Hughes	1	138222
Hume	0	15122
Hume	1	156972
Hunter	0	15678
Hunter	1	158742
Kingsford Smith	0	46362
Kingsford Smith	1	135571
Lindsay	0	25677
Lindsay	1	162174
Lyne	0	13163
Lyne	1	144184
Macarthur	0	29700
Macarthur	1	175801
Mackellar	0	18571
Mackellar	1	136816
Macquarie	0	12275
Macquarie	1	133055
McMahon	0	36970
McMahon	1	138679
Mitchell	0	28699
Mitchell	1	159513
New England	0	20437
New England	1	138212
Newcastle	0	18246
Newcastle	1	147916
North Sydney	0	32307
North Sydney	1	134902
Page	0	18186
Page	1	150598
Parkes	0	23556
Parkes	1	131411
Parramatta	0	69156
Parramatta	1	134122
Paterson	0	13761
Paterson	1	161817
Reid	0	61951
Reid	1	139869
Richmond	0	21849
Richmond	1	145587
Riverina	0	17631
Riverina	1	143718
Robertson	0	16462
Robertson	1	135511
Shortland	0	10929
Shortland	1	140993
Sydney	0	72787
Sydney	1	131428
Warringah	0	23597
Warringah	1	127222
Watson	0	44447
Watson	1	138707
Wentworth	0	28817
Wentworth	1	117285
Werriwa	0	31545
Werriwa	1	167627
Whitlam	0	15931
Whitlam	1	152614
No usual address (NSW)	0	4802
No usual address (NSW)	1	6569
Migratory - Offshore - Shipping (NSW)	0	0
Migratory - Offshore - Shipping (NSW)	1	0
Aston	0	22967
Aston	1	136136
Ballarat	0	14811
Ballarat	1	137432
Bendigo	0	15676
Bendigo	1	136879
Bruce	0	38093
Bruce	1	141046
Calwell	0	43138
Calwell	1	145344
Casey	0	14693
Casey	1	142751
Chisholm	0	48800
Chisholm	1	134855
Cooper	0	25268
Cooper	1	131011
Corangamite	0	14757
Corangamite	1	137995
Corio	0	21427
Corio	1	137815
Deakin	0	25064
Deakin	1	142046
Dunkley	0	19197
Dunkley	1	138815
Flinders	0	15431
Flinders	1	134924
Fraser	0	42757
Fraser	1	133631
Gellibrand	0	44647
Gellibrand	1	145337
Gippsland	0	18408
Gippsland	1	135949
Goldstein	0	21212
Goldstein	1	133524
Gorton	0	32775
Gorton	1	145325
Hawke	0	24677
Hawke	1	140712
Higgins	0	28908
Higgins	1	126154
Holt	0	39801
Holt	1	147454
Hotham	0	51934
Hotham	1	143656
Indi	0	15944
Indi	1	140676
Isaacs	0	21445
Isaacs	1	139081
Jagajaga	0	17190
Jagajaga	1	141679
Kooyong	0	26255
Kooyong	1	137099
La Trobe	0	27012
La Trobe	1	142457
Lalor	0	54479
Lalor	1	146844
Macnamara	0	42554
Macnamara	1	125526
Mallee	0	22539
Mallee	1	145100
Maribyrnong	0	20345
Maribyrnong	1	133063
McEwen	0	17922
McEwen	1	141972
Melbourne	0	70876
Melbourne	1	129088
Menzies	0	34161
Menzies	1	138694
Monash	0	15292
Monash	1	131057
Nicholls	0	21283
Nicholls	1	138224
Scullin	0	31581
Scullin	1	138818
Wannon	0	17000
Wannon	1	137555
Wills	0	28923
Wills	1	129396
No usual address (Vic.)	0	4396
No usual address (Vic.)	1	4693
Migratory - Offshore - Shipping (Vic.)	0	27
Migratory - Offshore - Shipping (Vic.)	1	11
Blair	0	26250
