CED_NAME21	medianTotalPersonalIncome
Banks	40664
Barton	42276
Bennelong	48984
Berowra	49920
Blaxland	28912
Bradfield	55224
Calare	39364
Chifley	38948
Cook	51532
Cowper	32708
Cunningham	40560
Dobell	37336
Eden-Monaro	45396
Farrer	38688
Fowler	27092
Gilmore	34060
Grayndler	65208
Greenway	48412
Hughes	51844
Hume	44460
Hunter	37960
Kingsford Smith	54184
Lindsay	45032
Lyne	31200
Macarthur	41912
Mackellar	52936
Macquarie	43576
McMahon	31304
Mitchell	53352
New England	35880
Newcastle	45084
North Sydney	72904
Page	33020
Parkes	39156
Parramatta	42276
Paterson	37544
Reid	49816
Richmond	36348
Riverina	38168
Robertson	39572
Shortland	38740
Sydney	63856
Warringah	69160
Watson	32552
Wentworth	78884
Werriwa	34892
Whitlam	37960
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	85748
Aston	41444
Ballarat	38168
Bendigo	38064
Bruce	35932
Calwell	32396
Casey	42068
Chisholm	38168
Cooper	46176
Corangamite	42224
Corio	39676
Deakin	43264
Dunkley	42588
Flinders	38740
Fraser	37284
Gellibrand	48672
Gippsland	33488
Goldstein	55536
Gorton	38584
Hawke	40404
Higgins	63336
Holt	40976
Hotham	36140
Indi	38272
Isaacs	46332
Jagajaga	48308
Kooyong	55016
La Trobe	44304
Lalor	41652
Macnamara	64532
Mallee	34424
Maribyrnong	48412
McEwen	45812
Melbourne	54860
Menzies	39988
Monash	34476
Nicholls	35568
Scullin	36088
Wannon	37284
Wills	47112
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	114400
Blair	39728
Bonner	47164
Bowman	40872
Brisbane	59280
Capricornia	43160
Dawson	43732
Dickson	46124
Fadden	40040
Fairfax	39676
Fisher	38896
Flynn	38116
Forde	40144
Griffith	57304
Groom	39468
Herbert	44148
Hinkler	29952
Kennedy	37336
Leichhardt	40352
Lilley	48672
Longman	35828
Maranoa	34476
McPherson	41496
Moncrieff	39936
Moreton	42900
Oxley	40924
Petrie	40456
Rankin	36920
Ryan	51116
Wide Bay	31200
Wright	39104
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	62192
Adelaide	42120
Barker	35464
Boothby	42848
Grey	33436
Hindmarsh	40352
Kingston	37596
Makin	37544
Mayo	37804
Spence	33020
Sturt	42952
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	94224
Brand	41184
Burt	38844
Canning	36088
Cowan	37648
Curtin	57980
Durack	48256
Forrest	39468
Fremantle	48568
Hasluck	45084
Moore	47996
O'Connor	40144
Pearce	44616
Perth	52884
Swan	46644
Tangney	43888
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	110396
Bass	35100
Braddon	33124
Clark	40560
Franklin	40300
Lyons	33904
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	116948
Lingiari	37752
Solomon	57720
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	76856
Bean	61516
Canberra	67028
Fenner	59540
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
