CED_NAME21	persons
Banks	162893
Barton	181643
Bennelong	191219
Berowra	152571
Blaxland	188607
Bradfield	169182
Calare	169232
Chifley	202063
Cook	149450
Cowper	170205
Cunningham	161676
Dobell	162722
Eden-Monaro	161530
Farrer	173116
Fowler	173523
Gilmore	163743
Grayndler	150729
Greenway	201542
Hughes	150300
Hume	172094
Hunter	174420
Kingsford Smith	181933
Lindsay	187851
Lyne	157347
Macarthur	205501
Mackellar	155387
Macquarie	145330
McMahon	175649
Mitchell	188212
New England	158649
Newcastle	166162
North Sydney	167209
Page	168784
Parkes	154967
Parramatta	203278
Paterson	175578
Reid	201820
Richmond	167436
Riverina	161349
Robertson	151973
Shortland	151922
Sydney	204215
Warringah	150819
Watson	183154
Wentworth	146102
Werriwa	199172
Whitlam	168545
No usual address (NSW)	11371
Aston	159103
Ballarat	152243
Bendigo	152555
Bruce	179139
Calwell	188482
Casey	157444
Chisholm	183655
Cooper	156279
Corangamite	152752
Corio	159242
Deakin	167110
Dunkley	158012
Flinders	150355
Fraser	176388
Gellibrand	189984
Gippsland	154357
Goldstein	154736
Gorton	178100
Hawke	165389
Higgins	155062
Holt	187255
Hotham	195590
Indi	156620
Isaacs	160526
Jagajaga	158869
Kooyong	163354
La Trobe	169469
Lalor	201323
Macnamara	168080
Mallee	167639
Maribyrnong	153408
McEwen	159894
Melbourne	199964
Menzies	172855
Monash	146349
Nicholls	159507
Scullin	170399
Wannon	154555
Wills	158319
No usual address (Vic.)	9089
Migratory - Offshore - Shipping (Vic.)	38
Blair	189948
Bonner	162883
Bowman	159222
Brisbane	183255
Capricornia	159792
Dawson	162083
Dickson	159571
Fadden	194617
Fairfax	169466
Fisher	172185
Flynn	158677
Forde	193345
Griffith	177589
Groom	160864
Herbert	164046
Hinkler	156565
Kennedy	171402
Leichhardt	175620
Lilley	161558
Longman	186589
Maranoa	151422
McPherson	163608
Moncrieff	182143
Moreton	168476
Oxley	186519
Petrie	185285
Rankin	186856
Ryan	163797
Wide Bay	152236
Wright	181665
No usual address (Qld)	14670
Migratory - Offshore - Shipping (Qld)	183
Adelaide	197621
Barker	171687
Boothby	175626
Grey	171485
Hindmarsh	172532
Kingston	166105
Makin	173757
Mayo	173735
Spence	188227
Sturt	187354
No usual address (SA)	3377
Migratory - Offshore - Shipping (SA)	12
Brand	181547
Burt	182330
Canning	159946
Cowan	180177
Curtin	173040
Durack	201445
Forrest	157999
Fremantle	166782
Hasluck	174739
Moore	164113
O'Connor	176071
Pearce	177513
Perth	181928
Swan	189872
Tangney	183959
No usual address (WA)	8055
Migratory - Offshore - Shipping (WA)	514
Bass	109977
Braddon	109556
Clark	111750
Franklin	111833
Lyons	113067
No usual address (Tas.)	1377
Migratory - Offshore - Shipping (Tas.)	19
Lingiari	121004
Solomon	110288
No usual address (NT)	3500
Migratory - Offshore - Shipping (NT)	99
Bean	152610
Canberra	145507
Fenner	158267
No usual address (ACT)	605
No usual address (OT)	11
